"","top_hit","gene_id","length","eValue","bitscore","simMean","UniProtKB_entry","status","protein_names","gene_names","organism","GO_IDs","GO_terms"
"14","XP_027046544.1","Pver_g14.t1",98,4.7e-40,174.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"15","XP_027046531.1","Pver_g15.t1",361,5.6e-131,478.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"16","XP_027046529.1","Pver_g16.t1",414,1.4e-226,796.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"17","RMX59542.1","Pver_g17.t1",664,0,1292.7,98.04,"A0A3M6V0X4_POCDA","unreviewed","Uncharacterized protein (Fragment)","pdam_00003651","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0016539; C:GO:0016021;GO:0016021; GO:0016539","P:intein-mediated protein splicing; C:integral component of membrane;integral component of membrane [GO:0016021]; intein-mediated protein splicing [GO:0016539]"
"18","XP_027046520.1","Pver_g18.t1",626,0,1219.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"19","RMX59541.1","Pver_g19.t1",791,0,1337.4,99.24,"A0A3M6V0T0_POCDA","unreviewed","C2 domain-containing protein","pdam_00003650","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","C:GO:0005929;GO:0005929","C:cilium;cilium [GO:0005929]"
"20","XP_027046540.1","Pver_g20.t2",294,1.5e-163,587.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"21","RMX59577.1","Pver_g21.t1",778,0,1570.4,97.94,"A0A3M6V104_POCDA","unreviewed","Uncharacterized protein","pdam_00003646","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0005506; F:GO:0005509; F:GO:0016705; F:GO:0031418; F:GO:0051213;GO:0005506; GO:0005509; GO:0016705; GO:0031418; GO:0051213","F:iron ion binding; F:calcium ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:L-ascorbic acid binding; F:dioxygenase activity;calcium ion binding [GO:0005509]; dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
"22","RMX59579.1","Pver_g22.t1",470,8.3e-265,923.3,95.53,NA,NA,NA,NA,NA,"F:GO:0016671;NA","F:oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor;NA"
"23","RMX59580.1","Pver_g23.t1",761,0,1182.9,80.55,"A0A3M6V114_POCDA","unreviewed","Uncharacterized protein (Fragment)","pdam_00003643","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0005506; F:GO:0016705; F:GO:0031418; F:GO:0051213;GO:0005506; GO:0016705; GO:0031418; GO:0051213","F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:L-ascorbic acid binding; F:dioxygenase activity;dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
"24","XP_027046524.1","Pver_g24.t1",434,6.9e-261,910.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"25","RMX59582.1","Pver_g25.t1",864,0,1142.9,70.14,"A0A3M6V113_POCDA","unreviewed","Uncharacterized protein","pdam_00003641","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0016491; F:GO:0046872;GO:0005506; GO:0005509; GO:0005576; GO:0016705; GO:0031418; GO:0042151; GO:0051213; GO:0090729","F:oxidoreductase activity; F:metal ion binding;extracellular region [GO:0005576]; nematocyst [GO:0042151]; calcium ion binding [GO:0005509]; dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; toxin activity [GO:0090729]"
"26","RMX59583.1","Pver_g26.t1",352,3.5e-163,585.1,83.24,"A0A3M6V0W9_POCDA","unreviewed","Uncharacterized protein","pdam_00003640","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0005506; F:GO:0005509; F:GO:0016705; F:GO:0031418; F:GO:0051213;GO:0005506; GO:0005509; GO:0016705; GO:0031418; GO:0051213","F:iron ion binding; F:calcium ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:L-ascorbic acid binding; F:dioxygenase activity;calcium ion binding [GO:0005509]; dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
"27","XP_027046491.1","Pver_g27.t1",445,4.3e-266,927.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"28","XP_027046546.1","Pver_g28.t1",488,2.1e-189,672.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"29","XP_027046548.1","Pver_g29.t1",655,0,1251.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"30","XP_027046568.1","Pver_g30.t1",709,0,1282.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"31","XP_027046569.1","Pver_g31.t1",573,0,1109.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"32","XP_027046558.1","Pver_g32.t1",687,0,1260.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"33","PFX31427.1","Pver_g33.t1",554,1.6e-254,889.4,81.05,"A0A2B4SSI3_STYPI","unreviewed","Uncharacterized protein","AWC38_SpisGene3807","Stylophora pistillata (Smooth cauliflower coral)","C:GO:0016021;GO:0016021","C:integral component of membrane;integral component of membrane [GO:0016021]"
"34","XP_027046592.1","Pver_g34.t1",140,1.3e-70,276.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"35","XP_027046599.1","Pver_g35.t1",907,0,1583.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"36","XP_027046559.1","Pver_g36.t1",509,2.2e-205,726.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"37","RMX59603.1","Pver_g37.t1",2209,0,1717.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"38","XP_027046589.1","Pver_g38.t1",782,0,1503,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"39","XP_027046590.1","Pver_g39.t1",751,0,1456.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"40","XP_027046493.1","Pver_g40.t1",237,4.5e-137,498,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"41","XP_027046495.1","Pver_g41.t1",1503,0,2577.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"42","RMX59585.1","Pver_g42.t1",886,0,1528.8,98.76,"A0A3M6V0Y3_POCDA","unreviewed","Metalloendopeptidase (EC 3.4.24.-)","pdam_00003615","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0006508; P:GO:0035821; F:GO:0004222; F:GO:0008270; F:GO:0090729; C:GO:0005576; C:GO:0042151;GO:0004222; GO:0005576; GO:0008270; GO:0042151; GO:0090729","P:proteolysis; P:modulation of process of other organism; F:metalloendopeptidase activity; F:zinc ion binding; F:toxin activity; C:extracellular region; C:nematocyst;extracellular region [GO:0005576]; nematocyst [GO:0042151]; metalloendopeptidase activity [GO:0004222]; toxin activity [GO:0090729]; zinc ion binding [GO:0008270]"
"43","XP_027046497.1","Pver_g43.t1",428,8.8e-176,627.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"44","XP_027046515.1","Pver_g44.t1",559,0,1092.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"45","XP_027046516.1","Pver_g45.t1",245,8.2e-134,487.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"46","RMX59530.1","Pver_g46.t1.1.5de5c94e",1096,0,1708.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"47","XP_027046572.1","Pver_g47.t1",386,2.3e-223,785.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"48","XP_027046573.1","Pver_g48.t1",250,2.3e-131,479.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"49","RMX59538.1","Pver_g49.t1",101,2.7e-46,195.3,99.01,"A0A3M6V1V4_POCDA","unreviewed","Uncharacterized protein","pdam_00003604","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","C:GO:0016021;GO:0016021","C:integral component of membrane;integral component of membrane [GO:0016021]"
"50","XP_027046564.1","Pver_g50.t1",245,8.8e-104,387.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"51","XP_027046551.1","Pver_g51.t1",221,2.2e-114,422.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"52","XP_027046496.1","Pver_g52.t1",210,8.6e-108,400.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"53","XP_027046596.1","Pver_g53.t1",879,0,1375.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"54","XP_027046502.1","Pver_g54.t1",609,0,1219.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"55","XP_022804437.1","Pver_g55.t2",812,1.2e-264,924.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"56","XP_022804437.1","Pver_g56.t1",1032,1.8e-247,867.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"57","PFX15448.1","Pver_g57.t1",356,5.5e-97,366.3,50.84,"A0A2B4RGE4_STYPI","unreviewed","Putative RNA-directed DNA polymerase from transposon BS","RTase AWC38_SpisGene20336","Stylophora pistillata (Smooth cauliflower coral)","P:GO:0006278; F:GO:0003964; F:GO:0005201;GO:0003964; GO:0005201","P:RNA-dependent DNA biosynthetic process; F:RNA-directed DNA polymerase activity; F:extracellular matrix structural constituent;extracellular matrix structural constituent [GO:0005201]; RNA-directed DNA polymerase activity [GO:0003964]"
"58","PFX16148.1","Pver_g58.t2",300,2.5e-88,337.4,57.33,"A0A2B4RIF0_STYPI","unreviewed","Fibrillin-2 (Fragment)","Fbn2 AWC38_SpisGene19598","Stylophora pistillata (Smooth cauliflower coral)","F:GO:0005509;GO:0005509","F:calcium ion binding;calcium ion binding [GO:0005509]"
"59","XP_027035833.1","Pver_g59.t1",175,1.2e-85,327,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"60","XP_022801954.1","Pver_g60.t2",2911,0,3264.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"61","PFX18453.1","Pver_g61.t1",1683,0,1655.2,55.79,"A0A2B4RNS3_STYPI","unreviewed","Lactadherin","MFGE8 AWC38_SpisGene17176","Stylophora pistillata (Smooth cauliflower coral)","C:GO:0016020; C:GO:0016021;GO:0016021","C:membrane; C:integral component of membrane;integral component of membrane [GO:0016021]"
"62","XP_027035826.1","Pver_g62.t1",190,1.7e-93,354,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"63","PFX34920.1","Pver_g63.t1",243,8.4e-114,421.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"64","XP_027050343.1","Pver_g64.t1",154,2.1e-66,263.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"65","XP_027050342.1","Pver_g65.t1",340,1.3e-190,676.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"66","XP_022795095.1","Pver_g66.t1",369,1.8e-193,686,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"67","RMX40709.1","Pver_g67.t1",138,1.1e-57,233.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"68","PFX11526.1","Pver_g68.t2",2021,0,2081.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"69","XP_027048092.1","Pver_g70.t1",632,0,1252.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"70","XP_027048089.1","Pver_g71.t1",242,4.6e-129,471.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"71","XP_027048090.1","Pver_g72.t1",189,5.8e-95,357.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"72","XP_027054435.1","Pver_g73.t1",1813,0,2699.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"73","XP_027054422.1","Pver_g74.t1",1147,0,2155.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"74","XP_027054429.1","Pver_g75.t1",224,3e-121,446,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"75","RMX37325.1","Pver_g76.t1",504,2.3e-244,855.5,99.01,"A0A3M6T7C8_POCDA","unreviewed","Arf-GAP domain-containing protein (Fragment)","pdam_00008949","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0050790; F:GO:0005096;GO:0005096; GO:0043547","P:regulation of catalytic activity; F:GTPase activator activity;GTPase activator activity [GO:0005096]; positive regulation of GTPase activity [GO:0043547]"
"76","XP_027054428.1","Pver_g77.t1",268,2.7e-146,528.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"77","XP_027054426.1","Pver_g78.t1",382,8.4e-186,660.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"78","XP_027054442.1","Pver_g79.t1",1185,0,1820.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"79","XP_027054454.1","Pver_g80.t1",292,9.3e-161,577,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"80","XP_027057617.1","Pver_g81.t1",666,1.1e-297,1033.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"81","XP_027057616.1","Pver_g82.t2",1751,0,3236.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"82","XP_027057638.1","Pver_g83.t2",251,4.3e-130,474.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"83","XP_027057634.1","Pver_g84.t2",464,2.6e-275,958.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"84","RMX57380.1","Pver_g85.t1",438,2.7e-260,908.3,99.77,"A0A3M6UUR2_POCDA","unreviewed","Metallophos domain-containing protein","pdam_00016016","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0016787; C:GO:0016021;GO:0016021; GO:0016787","F:hydrolase activity; C:integral component of membrane;integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]"
"85","XP_022794351.1","Pver_g86.t1",194,1.5e-74,290,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"86","XP_027057613.1","Pver_g87.t1",271,1.3e-116,430.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"87","RMX57378.1","Pver_g88.t1",371,5.6e-193,684.5,94.61,"A0A3M6UVM9_POCDA","unreviewed","MFS domain-containing protein","pdam_00016014","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0055085; F:GO:0022857; C:GO:0016021;GO:0016021; GO:0022857","P:transmembrane transport; F:transmembrane transporter activity; C:integral component of membrane;integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]"
"88","RMX57377.1","Pver_g89.t1",524,2e-286,996.1,98.09,"A0A3M6UUU6_POCDA","unreviewed","G_PROTEIN_RECEP_F1_2 domain-containing protein","pdam_00016013","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0007186; F:GO:0004930; C:GO:0016021;GO:0004930; GO:0016021","P:G protein-coupled receptor signaling pathway; F:G protein-coupled receptor activity; C:integral component of membrane;integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]"
"89","XP_027048074.1","Pver_g90.t2",731,0,1255.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"90","XP_027048082.1","Pver_g91.t1",1493,0,2749.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"91","XP_027048081.1","Pver_g92.t1",446,1.4e-264,922.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"92","XP_027048069.1","Pver_g93.t1",101,2.8e-48,201.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"93","RMX42637.1","Pver_g94.t1",558,4.3e-306,1067.4,98.03,"A0A3M6TMM3_POCDA","unreviewed","Nicalin","pdam_00010284","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0006508; P:GO:0009966; F:GO:0008235; C:GO:0016021;GO:0008235; GO:0009966; GO:0016021","P:proteolysis; P:regulation of signal transduction; F:metalloexopeptidase activity; C:integral component of membrane;integral component of membrane [GO:0016021]; metalloexopeptidase activity [GO:0008235]; regulation of signal transduction [GO:0009966]"
"94","RMX46455.1","Pver_g95.t1",1035,6.3e-215,759.2,64.73,"A0A3M6TYF4_POCDA","unreviewed","Uncharacterized protein","pdam_00000548","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0005509;GO:0005509","F:calcium ion binding;calcium ion binding [GO:0005509]"
"95","RMX46454.1","Pver_g96.t1",356,9.1e-131,477.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"96","XP_027043630.1","Pver_g97.t1",515,5.5e-233,817.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"97","XP_027043539.1","Pver_g98.t1",281,4.5e-80,308.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"98","XP_027043538.1","Pver_g99.t1",1027,0,1957.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"99","RMX46383.1","Pver_g100.t1",273,2.5e-152,549.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"100","XP_027043433.1","Pver_g101.t1",618,0,1204.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"101","XP_027043434.1","Pver_g102.t2",211,1.2e-115,427.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"102","XP_027043557.1","Pver_g103.t1",957,0,1879.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"103","RMX46380.1","Pver_g104.t1",1124,0,1583.5,88.52,"A0A3M6TYC6_POCDA","unreviewed","ANK_REP_REGION domain-containing protein","pdam_00000559","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0034220; F:GO:0005216; C:GO:0016021;GO:0005216; GO:0016021","P:ion transmembrane transport; F:ion channel activity; C:integral component of membrane;integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]"
"104","RMX46308.1","Pver_g105.t1",1208,0,2438.7,99.17,"A0A3M6TYE4_POCDA","unreviewed","Uncharacterized protein","pdam_00000560","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0005509;GO:0005509","F:calcium ion binding;calcium ion binding [GO:0005509]"
"105","XP_027043391.1","Pver_g106.t1",1092,0,1839.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"106","XP_027043638.1","Pver_g107.t1",336,2.7e-190,676,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"107","XP_027043519.1","Pver_g108.t1",163,1.6e-85,326.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"108","XP_027043518.1","Pver_g109.t1",540,3e-298,1034.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"109","XP_027043471.1","Pver_g110.t1",911,0,1756.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"110","RMX46309.1","Pver_g111.t1",308,3.3e-124,455.7,80.84,"A0A3M6TYF2_POCDA","unreviewed","G_PROTEIN_RECEP_F1_2 domain-containing protein","pdam_00000567","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0007186; F:GO:0004930; C:GO:0016021;GO:0004930; GO:0016021","P:G protein-coupled receptor signaling pathway; F:G protein-coupled receptor activity; C:integral component of membrane;integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]"
"111","RMX46304.1","Pver_g112.t1",252,4e-144,521.5,99.6,"A0A3M6TYD0_POCDA","unreviewed","Phosphomannomutase (EC 5.4.2.8)","pdam_00000568","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0009298; F:GO:0004615; C:GO:0005737;GO:0004615; GO:0005737; GO:0009298","P:GDP-mannose biosynthetic process; F:phosphomannomutase activity; C:cytoplasm;cytoplasm [GO:0005737]; phosphomannomutase activity [GO:0004615]; GDP-mannose biosynthetic process [GO:0009298]"
"112","RMX46303.1","Pver_g113.t1",434,1.1e-269,939.5,99.31,"A0A3M6TXZ1_POCDA","unreviewed","Alpha-L-fucosidase (EC 3.2.1.51)","pdam_00000569","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0006004; F:GO:0004560;GO:0004560; GO:0006004","P:fucose metabolic process; F:alpha-L-fucosidase activity;alpha-L-fucosidase activity [GO:0004560]; fucose metabolic process [GO:0006004]"
"113","RMX46303.1","Pver_g114.t1",128,2.2e-62,249.6,98.44,"A0A3M6TXZ1_POCDA","unreviewed","Alpha-L-fucosidase (EC 3.2.1.51)","pdam_00000569","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0006004; F:GO:0004560;GO:0004560; GO:0006004","P:fucose metabolic process; F:alpha-L-fucosidase activity;alpha-L-fucosidase activity [GO:0004560]; fucose metabolic process [GO:0006004]"
"114","XP_027043398.1","Pver_g115.t1",354,1.1e-200,709.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"115","RMX46435.1","Pver_g116.t1",921,0,1769.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"116","XP_022784194.1","Pver_g117.t1",737,7.3e-295,1023.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"117","XP_027043620.1","Pver_g118.t1",131,3.2e-23,119,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"118","PFX29553.1","Pver_g119.t1",980,0,1440.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"119","XP_027043639.1","Pver_g120.t1",395,7.1e-156,560.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"120","XP_020615982.1","Pver_g121.t1",79,3.6e-19,104.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"121","RMX46438.1","Pver_g122.t1",96,2.7e-48,201.8,98.96,"A0A3M6TYU4_POCDA","unreviewed","BPTI/Kunitz inhibitor domain-containing protein (Fragment)","pdam_00000578","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0010951; F:GO:0004867; C:GO:0016021; C:GO:0042151;GO:0004867; GO:0016021; GO:0042151","P:negative regulation of endopeptidase activity; F:serine-type endopeptidase inhibitor activity; C:integral component of membrane; C:nematocyst;integral component of membrane [GO:0016021]; nematocyst [GO:0042151]; serine-type endopeptidase inhibitor activity [GO:0004867]"
"122","RMX46451.1","Pver_g123.t2",405,1.7e-225,793.1,98.77,"A0A3M6TYM5_POCDA","unreviewed","Septin","pdam_00000581","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0005525;GO:0005525","F:GTP binding;GTP binding [GO:0005525]"
"123","XP_027043587.1","Pver_g124.t1",528,2.5e-297,1031.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"124","XP_027043588.1","Pver_g125.t1",303,1e-158,570.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"125","XP_027043421.1","Pver_g126.t1",2965,0,5639.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"126","XP_027043370.1","Pver_g127.t1",256,1.5e-146,529.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"127","XP_027043373.1","Pver_g128.t1",338,2.5e-161,579.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"128","XP_027043528.1","Pver_g129.t1",809,0,1502.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"129","XP_027043597.1","Pver_g130.t1",366,5.4e-190,674.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"130","XP_027043425.1","Pver_g131.t1",406,2.2e-229,805.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"131","XP_027043426.1","Pver_g132.t1",258,5.4e-120,441.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"132","XP_027043424.1","Pver_g133.t1",600,0,1176.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"133","XP_027043430.1","Pver_g134.t1",255,1.9e-146,529.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"134","XP_027043446.1","Pver_g135.t1",498,9e-281,976.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"135","XP_027043449.1","Pver_g136.t1",488,2.2e-276,961.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
