,Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names,InterPro IDs,InterPro GO IDs,InterPro GO Names
TRUE,[BLASTED],Pver_g34.t1,XP_027046592.1,141,1,1.30E-70,98.57,,,,,,,,
TRUE,[BLASTED],Pver_g35.t1,XP_027046599.1,907,1,0,96.91,,,,,,,,
TRUE,[BLASTED],Pver_g36.t1,XP_027046559.1,510,1,2.20E-205,99.61,,,,,,,,
TRUE,[BLASTED],Pver_g37.t1,RMX59603.1,2284,1,0,92.94,,,,,,,,
TRUE,[BLASTED],Pver_g38.t1,XP_027046589.1,783,1,0,94.63,,,,,,,,
TRUE,[BLASTED],Pver_g39.t1,XP_027046590.1,752,1,0,99.87,,,,,,,,
TRUE,[BLASTED],Pver_g40.t1,XP_027046493.1,238,1,4.50E-137,100,,,,,,,,
TRUE,[BLASTED],Pver_g41.t1,XP_027046495.1,1401,1,0,89.16,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g42.t1,RMX59585.1,888,1,0,98.76,7,P:GO:0006508; P:GO:0035821; F:GO:0004222; F:GO:0008270; F:GO:0090729; C:GO:0005576; C:GO:0042151,P:proteolysis; P:modulation of process of other organism; F:metalloendopeptidase activity; F:zinc ion binding; F:toxin activity; C:extracellular region; C:nematocyst,EC:3.4.24,Acting on peptide bonds (peptidases),,,
TRUE,[BLASTED],Pver_g43.t1,XP_027046497.1,429,1,8.80E-176,98.13,,,,,,,,
TRUE,[BLASTED],Pver_g44.t1,XP_027046515.1,786,1,0,99.46,,,,,,,,
TRUE,[BLASTED],Pver_g45.t1,XP_027046516.1,249,1,8.20E-134,97.55,,,,,,,,
TRUE,[BLASTED],Pver_g46.t1.1.5de5c94e,RMX59530.1,1097,1,0,98.36,,,,,,,,
TRUE,[BLASTED],Pver_g47.t1,XP_027046572.1,387,1,2.30E-223,100,,,,,,,,
TRUE,[BLASTED],Pver_g48.t1,XP_027046573.1,251,1,2.30E-131,98,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g49.t1,RMX59538.1,102,1,2.70E-46,99.01,1,C:GO:0016021,C:integral component of membrane,,,,,
TRUE,[BLASTED],Pver_g50.t1,XP_027046564.1,246,1,8.80E-104,87.76,,,,,,,,
TRUE,[BLASTED],Pver_g51.t1,XP_027046551.1,222,1,2.20E-114,99.1,,,,,,,,
TRUE,[BLASTED],Pver_g52.t1,XP_027046496.1,211,1,8.60E-108,98.57,,,,,,,,
TRUE,[BLASTED],Pver_g53.t1,XP_027046596.1,880,1,0,97.84,,,,,,,,
TRUE,[BLASTED],Pver_g54.t1,XP_027046502.1,610,1,0,95.57,,,,,,,,
TRUE,[BLASTED],Pver_g55.t2,XP_022804437.1,1154,1,1.20E-264,63.42,,,,,,,,
TRUE,[BLASTED],Pver_g56.t1,XP_022804437.1,1147,1,1.80E-247,51.65,,,,,,,,
TRUE,"[BLASTED, MAPPED]",Pver_g57.t1,PFX15448.1,647,1,5.50E-97,50.84,3,P:GO:0006278; F:GO:0003964; F:GO:0005201,P:RNA-dependent DNA biosynthetic process; F:RNA-directed DNA polymerase activity; F:extracellular matrix structural constituent,,,,,
TRUE,"[BLASTED, MAPPED]",Pver_g58.t2,PFX16148.1,598,1,2.50E-88,57.33,1,F:GO:0005509,F:calcium ion binding,,,,,
TRUE,[BLASTED],Pver_g59.t1,XP_027035833.1,207,1,1.20E-85,94.86,,,,,,,,
TRUE,[BLASTED],Pver_g60.t2,XP_022801954.1,3550,1,0,59.36,,,,,,,,
TRUE,"[BLASTED, MAPPED]",Pver_g61.t1,PFX18453.1,1500,1,0,55.79,2,C:GO:0016020; C:GO:0016021,C:membrane; C:integral component of membrane,,,,,
TRUE,[BLASTED],Pver_g62.t1,XP_027035826.1,395,1,1.70E-93,93.68,,,,,,,,
TRUE,[BLASTED],Pver_g63.t1,PFX34920.1,375,1,8.40E-114,88.48,,,,,,,,
TRUE,[BLASTED],Pver_g64.t1,XP_027050343.1,204,1,2.10E-66,84.42,,,,,,,,
TRUE,[BLASTED],Pver_g65.t1,XP_027050342.1,341,1,1.30E-190,99.12,,,,,,,,
TRUE,[BLASTED],Pver_g66.t1,XP_022795095.1,370,1,1.80E-193,94.58,,,,,,,,
TRUE,[BLASTED],Pver_g67.t1,RMX40709.1,131,1,1.10E-57,90.58,,,,,,,,
TRUE,[BLASTED],Pver_g68.t2,PFX11526.1,2015,1,0,56.56,,,,,,,,
TRUE,[BLASTED],Pver_g70.t1,XP_027048092.1,633,1,0,99.37,,,,,,,,
TRUE,[BLASTED],Pver_g71.t1,XP_027048089.1,243,1,4.60E-129,99.59,,,,,,,,
TRUE,[BLASTED],Pver_g72.t1,XP_027048090.1,192,1,5.80E-95,100,,,,,,,,
TRUE,[BLASTED],Pver_g73.t1,XP_027054435.1,1814,1,0,98.12,,,,,,,,
TRUE,[BLASTED],Pver_g74.t1,XP_027054422.1,1148,1,0,97.65,,,,,,,,
TRUE,[BLASTED],Pver_g75.t1,XP_027054429.1,350,1,3.00E-121,100,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g76.t1,RMX37325.1,505,1,2.30E-244,99.01,2,P:GO:0050790; F:GO:0005096,P:regulation of catalytic activity; F:GTPase activator activity,,,,,
TRUE,[BLASTED],Pver_g77.t1,XP_027054428.1,269,1,2.70E-146,100,,,,,,,,
TRUE,[BLASTED],Pver_g78.t1,XP_027054426.1,383,1,8.40E-186,98.69,,,,,,,,
TRUE,[BLASTED],Pver_g79.t1,XP_027054442.1,1161,1,0,91.14,,,,,,,,
TRUE,[BLASTED],Pver_g80.t1,XP_027054454.1,293,1,9.30E-161,94.86,,,,,,,,
TRUE,[BLASTED],Pver_g81.t1,XP_027057617.1,694,1,1.10E-297,77.48,,,,,,,,
TRUE,[BLASTED],Pver_g82.t2,XP_027057616.1,5518,1,0,93.09,,,,,,,,
TRUE,[BLASTED],Pver_g83.t2,XP_027057638.1,251,1,4.30E-130,97.61,,,,,,,,
TRUE,[BLASTED],Pver_g84.t2,XP_027057634.1,682,1,2.60E-275,99.35,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g85.t1,RMX57380.1,451,1,2.70E-260,99.77,2,F:GO:0016787; C:GO:0016021,F:hydrolase activity; C:integral component of membrane,EC:3,Hydrolases,,,
TRUE,[BLASTED],Pver_g86.t1,XP_022794351.1,195,1,1.50E-74,73.2,,,,,,,,
TRUE,[BLASTED],Pver_g87.t1,XP_027057613.1,272,1,1.30E-116,97.79,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g88.t1,RMX57378.1,396,1,5.60E-193,94.61,3,P:GO:0055085; F:GO:0022857; C:GO:0016021,P:transmembrane transport; F:transmembrane transporter activity; C:integral component of membrane,EC:7,Translocases,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g89.t1,RMX57377.1,890,1,2.00E-286,98.09,3,P:GO:0007186; F:GO:0004930; C:GO:0016021,P:G protein-coupled receptor signaling pathway; F:G protein-coupled receptor activity; C:integral component of membrane,,,,,
TRUE,[BLASTED],Pver_g90.t2,XP_027048074.1,741,1,0,99.59,,,,,,,,
TRUE,[BLASTED],Pver_g91.t1,XP_027048082.1,1493,1,0,94.24,,,,,,,,
TRUE,[BLASTED],Pver_g92.t1,XP_027048081.1,447,1,1.40E-264,98.88,,,,,,,,
TRUE,[BLASTED],Pver_g93.t1,XP_027048069.1,102,1,2.80E-48,98.02,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g94.t1,RMX42637.1,552,1,4.30E-308,98.03,4,P:GO:0006508; P:GO:0009966; F:GO:0008235; C:GO:0016021,P:proteolysis; P:regulation of signal transduction; F:metalloexopeptidase activity; C:integral component of membrane,EC:3.4,Acting on peptide bonds (peptidases),,,
TRUE,"[BLASTED, MAPPED]",Pver_g95.t1,RMX46455.1,1395,1,6.30E-215,64.73,1,F:GO:0005509,F:calcium ion binding,,,,,
TRUE,[BLASTED],Pver_g96.t1,RMX46454.1,267,1,9.10E-131,73.03,,,,,,,,
TRUE,[BLASTED],Pver_g97.t1,XP_027043630.1,516,1,5.50E-233,97.86,,,,,,,,
TRUE,[BLASTED],Pver_g98.t1,XP_027043539.1,282,1,4.50E-80,93.24,,,,,,,,
TRUE,[BLASTED],Pver_g99.t1,XP_027043538.1,1028,1,0,98.15,,,,,,,,
TRUE,[BLASTED],Pver_g100.t1,RMX46383.1,461,1,2.50E-152,99.27,,,,,,,,
TRUE,[BLASTED],Pver_g101.t1,XP_027043433.1,619,1,0,97.9,,,,,,,,
TRUE,[BLASTED],Pver_g102.t2,XP_027043434.1,304,1,1.20E-115,98.58,,,,,,,,
TRUE,[BLASTED],Pver_g103.t1,XP_027043557.1,958,1,0,99.27,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g104.t1,RMX46380.1,1125,1,0,88.52,3,P:GO:0034220; F:GO:0005216; C:GO:0016021,P:ion transmembrane transport; F:ion channel activity; C:integral component of membrane,EC:7,Translocases,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g105.t1,RMX46308.1,1209,1,0,99.17,1,F:GO:0005509,F:calcium ion binding,,,,,
TRUE,[BLASTED],Pver_g106.t1,XP_027043391.1,1089,1,0,95.79,,,,,,,,
TRUE,[BLASTED],Pver_g107.t1,XP_027043638.1,543,1,2.70E-190,98.81,,,,,,,,
TRUE,[BLASTED],Pver_g108.t1,XP_027043519.1,164,1,1.60E-85,99.39,,,,,,,,
TRUE,[BLASTED],Pver_g109.t1,XP_027043518.1,541,1,3.00E-298,98.7,,,,,,,,
TRUE,[BLASTED],Pver_g110.t1,XP_027043471.1,912,1,0,98.57,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g111.t1,RMX46309.1,306,1,3.30E-124,80.84,3,P:GO:0007186; F:GO:0004930; C:GO:0016021,P:G protein-coupled receptor signaling pathway; F:G protein-coupled receptor activity; C:integral component of membrane,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g112.t1,RMX46304.1,253,1,4.00E-144,99.6,3,P:GO:0009298; F:GO:0004615; C:GO:0005737,P:GDP-mannose biosynthetic process; F:phosphomannomutase activity; C:cytoplasm,EC:5.4.2.8,Phosphomannomutase,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g113.t1,RMX46303.1,454,1,1.10E-269,99.31,2,P:GO:0006004; F:GO:0004560,P:fucose metabolic process; F:alpha-L-fucosidase activity,EC:3.2.1.51,Alpha-L-fucosidase,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g114.t1,RMX46303.1,191,1,2.20E-62,98.44,2,P:GO:0006004; F:GO:0004560,P:fucose metabolic process; F:alpha-L-fucosidase activity,EC:3.2.1.51,Alpha-L-fucosidase,,,
TRUE,[BLASTED],Pver_g115.t1,XP_027043398.1,355,1,1.10E-200,100,,,,,,,,
TRUE,[BLASTED],Pver_g116.t1,RMX46435.1,922,1,0,96.85,,,,,,,,
TRUE,[BLASTED],Pver_g117.t1,XP_022784194.1,742,1,7.30E-295,79.38,,,,,,,,
TRUE,[BLASTED],Pver_g118.t1,XP_027043620.1,136,1,3.20E-23,100,,,,,,,,
TRUE,[BLASTED],Pver_g119.t1,PFX29553.1,1035,1,0,74.49,,,,,,,,
TRUE,[BLASTED],Pver_g120.t1,XP_027043639.1,301,1,7.10E-156,73.92,,,,,,,,
TRUE,[BLASTED],Pver_g121.t1,XP_020615982.1,79,1,3.60E-19,56.96,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g122.t1,RMX46438.1,97,1,2.70E-48,98.96,4,P:GO:0010951; F:GO:0004867; C:GO:0016021; C:GO:0042151,P:negative regulation of endopeptidase activity; F:serine-type endopeptidase inhibitor activity; C:integral component of membrane; C:nematocyst,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g123.t2,RMX46451.1,604,1,1.70E-225,98.77,1,F:GO:0005525,F:GTP binding,,,,,
TRUE,[BLASTED],Pver_g124.t1,XP_027043587.1,529,1,2.50E-297,98.48,,,,,,,,
TRUE,[BLASTED],Pver_g125.t1,XP_027043588.1,347,1,1.00E-158,98.02,,,,,,,,
TRUE,[BLASTED],Pver_g126.t1,XP_027043421.1,2973,1,0,99.16,,,,,,,,
TRUE,[BLASTED],Pver_g127.t1,XP_027043370.1,257,1,1.50E-146,98.44,,,,,,,,
TRUE,[BLASTED],Pver_g128.t1,XP_027043373.1,391,1,2.50E-161,99.11,,,,,,,,
TRUE,[BLASTED],Pver_g129.t1,XP_027043528.1,810,1,0,99.26,,,,,,,,
TRUE,[BLASTED],Pver_g130.t1,XP_027043597.1,367,1,5.40E-190,98.63,,,,,,,,
TRUE,[BLASTED],Pver_g131.t1,XP_027043425.1,407,1,2.20E-229,98.28,,,,,,,,
TRUE,[BLASTED],Pver_g132.t1,XP_027043426.1,259,1,5.40E-120,88.37,,,,,,,,
TRUE,[BLASTED],Pver_g133.t1,XP_027043424.1,601,1,0,99.5,,,,,,,,
TRUE,[BLASTED],Pver_g134.t1,XP_027043430.1,256,1,1.90E-146,99.22,,,,,,,,
TRUE,[BLASTED],Pver_g135.t1,XP_027043446.1,499,1,9.00E-281,98.19,,,,,,,,
TRUE,[BLASTED],Pver_g136.t1,XP_027043449.1,489,1,2.20E-276,98.98,,,,,,,,
TRUE,[BLASTED],Pver_g137.t1,XP_027043447.1,574,1,6.00E-196,99.15,,,,,,,,
TRUE,[BLASTED],Pver_g138.t1,XP_027043547.1,351,1,2.00E-202,99.71,,,,,,,,
TRUE,[BLASTED],Pver_g139.t2,XP_027043481.1,897,1,0,97.35,,,,,,,,
TRUE,[BLASTED],Pver_g140.t1,XP_027043483.1,238,1,4.90E-136,99.16,,,,,,,,
TRUE,[BLASTED],Pver_g141.t1,XP_027043492.1,595,1,4.60E-183,99.08,,,,,,,,
TRUE,[BLASTED],Pver_g142.t1,XP_027043491.1,451,1,3.00E-259,98.89,,,,,,,,
TRUE,[BLASTED],Pver_g143.t2,RMX39806.1,224,1,1.30E-77,92.67,,,,,,,,
TRUE,[BLASTED],Pver_g144.t1,XP_027058276.1,864,1,0,99.65,,,,,,,,
TRUE,[BLASTED],Pver_g145.t1,PFX24675.1,373,1,2.10E-48,45.45,,,,,,,,
TRUE,[BLASTED],Pver_g146.t1,XP_027058362.1,573,1,1.30E-09,53.09,,,,,,,,
TRUE,[BLASTED],Pver_g147.t1,XP_027058362.1,385,1,6.70E-34,98.57,,,,,,,,
TRUE,[BLASTED],Pver_g148.t1,RMX53613.1,732,1,3.60E-145,95.95,,,,,,,,
TRUE,[BLASTED],Pver_g150.t1,RMX53613.1,210,1,3.80E-116,94.74,,,,,,,,
TRUE,[BLASTED],Pver_g151.t1,XP_027058335.1,333,1,2.50E-93,97.64,,,,,,,,
TRUE,[BLASTED],Pver_g152.t1,XP_027058322.1,839,1,4.40E-123,88.66,,,,,,,,
TRUE,[BLASTED],Pver_g153.t1,PFX20505.1,357,1,5.70E-128,71.11,,,,,,,,
TRUE,[BLASTED],Pver_g154.t1,XP_027059015.1,1679,1,0,95.95,,,,,,,,
TRUE,[BLASTED],Pver_g155.t1,RMX53616.1,421,1,2.30E-181,87.38,,,,,,,,
TRUE,[BLASTED],Pver_g156.t2,XP_027059703.1,141,1,2.30E-72,100,,,,,,,,
TRUE,[BLASTED],Pver_g157.t1,XP_022798669.1,117,1,2.20E-28,86.42,,,,,,,,
TRUE,[BLASTED],Pver_g158.t1,XP_020606715.1,976,1,0,84.15,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g159.t1,RMX53620.1,440,1,6.40E-190,97.27,3,P:GO:0016560; C:GO:0005778; C:GO:0016021,"P:protein import into peroxisome matrix, docking; C:peroxisomal membrane; C:integral component of membrane",,,,,
TRUE,[BLASTED],Pver_g160.t1,XP_027059468.1,381,1,1.30E-215,99.21,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g161.t1,RMX53822.1,80,1,1.10E-39,97.47,2,C:GO:0005743; C:GO:0070469,C:mitochondrial inner membrane; C:respirasome,,,,,
TRUE,[BLASTED],Pver_g162.t1_g164.t1,XP_027059389.1,1249,1,0,97.37,,,,,,,,
TRUE,[BLASTED],Pver_g163.t1,XP_027059369.1,259,1,1.20E-140,97.67,,,,,,,,
TRUE,[BLASTED],Pver_g165.t1,XP_027059398.1,808,1,0,98.14,,,,,,,,
TRUE,[BLASTED],Pver_g166.t1,XP_027059410.1,599,1,0,98.59,,,,,,,,
TRUE,[BLASTED],Pver_g167.t1,XP_027059339.1,331,1,2.20E-102,98.48,,,,,,,,
TRUE,[BLASTED],Pver_g168.t2,XP_027059625.1,138,1,4.10E-66,98.54,,,,,,,,
TRUE,[BLASTED],Pver_g169.t1,XP_022798667.1,337,1,1.60E-116,72.49,,,,,,,,
TRUE,[BLASTED],Pver_g170.t1,XP_027058494.1,389,1,2.40E-220,98.45,,,,,,,,
TRUE,[BLASTED],Pver_g171.t1,XP_027058502.1,177,1,1.20E-94,98.3,,,,,,,,
TRUE,[BLASTED],Pver_g172.t1,XP_027057792.1,210,1,3.60E-114,99.04,,,,,,,,
TRUE,[BLASTED],Pver_g173.t1,XP_022798661.1,484,1,7.40E-264,96.47,,,,,,,,
TRUE,[BLASTED],Pver_g174.t1,RMX53763.1,368,1,2.20E-183,99.45,,,,,,,,
TRUE,[BLASTED],Pver_g175.t1,XP_027058434.1,458,1,3.40E-218,98.69,,,,,,,,
TRUE,[BLASTED],Pver_g176.t1,XP_027058410.1,479,1,2.60E-245,97.28,,,,,,,,
TRUE,[BLASTED],Pver_g177.t1,XP_027058459.1,399,1,1.50E-233,96.98,,,,,,,,
TRUE,[BLASTED],Pver_g178.t1,XP_027058441.1,168,1,4.30E-78,98.2,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g179.t1,RMX53623.1,782,1,0,94.3,4,P:GO:0006508; F:GO:0004177; F:GO:0008237; F:GO:0008270,P:proteolysis; F:aminopeptidase activity; F:metallopeptidase activity; F:zinc ion binding,EC:3.4.11,Acting on peptide bonds (peptidases),,,
TRUE,[BLASTED],Pver_g180.t1,XP_022798678.1,981,1,0,95.92,,,,,,,,
TRUE,[BLASTED],Pver_g181.t1,XP_027059868.1,2485,1,0,97.21,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g182.t1,RMX53638.1,623,1,4.00E-52,75.36,1,C:GO:0016020,C:membrane,,,,,
TRUE,[BLASTED],Pver_g183.t1,XP_015762460.1,403,1,5.30E-199,92.29,,,,,,,,
TRUE,[BLASTED],Pver_g184.t1,XP_027059773.1,358,1,7.30E-200,98.88,,,,,,,,
TRUE,[BLASTED],Pver_g185.t1,XP_027059816.1,201,1,2.20E-100,99.5,,,,,,,,
TRUE,[BLASTED],Pver_g186.t1,XP_027059807.1,208,1,1.50E-91,100,,,,,,,,
TRUE,[BLASTED],Pver_g187.t1,XP_027059796.1,275,1,8.20E-159,98.54,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g188.t1,RMX53666.1,67,1,3.80E-17,80,2,P:GO:0006122; C:GO:0005750,"P:mitochondrial electron transport, ubiquinol to cytochrome c; C:mitochondrial respiratory chain complex III",,,,,
TRUE,[BLASTED],Pver_g189.t1,XP_027059834.1,151,1,1.80E-75,98.67,,,,,,,,
TRUE,[BLASTED],Pver_g190.t1,XP_027059845.1,299,1,1.00E-167,96.98,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g191.t1,PFX31150.1,724,1,0,79.25,4,P:GO:0006506; F:GO:0016757; C:GO:0000139; C:GO:0016021,P:GPI anchor biosynthetic process; F:glycosyltransferase activity; C:Golgi membrane; C:integral component of membrane,EC:2.4,Glycosyltransferases,,,
TRUE,[BLASTED],Pver_g192.t1,XP_027057517.1,189,1,1.20E-97,99.47,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g193.t2,RMX53716.1,205,1,1.30E-113,100,5,P:GO:0015031; P:GO:0042147; C:GO:0005829; C:GO:0010008; C:GO:0030904,"P:protein transport; P:retrograde transport, endosome to Golgi; C:cytosol; C:endosome membrane; C:retromer complex",,,,,
TRUE,[BLASTED],Pver_g194.t1,XP_027059074.1,414,1,1.90E-204,100,,,,,,,,
TRUE,[BLASTED],Pver_g195.t1,XP_027058284.1,441,1,6.10E-124,93.89,,,,,,,,
TRUE,[BLASTED],Pver_g196.t1,XP_027058302.1,350,1,6.90E-179,97.99,,,,,,,,
TRUE,[BLASTED],Pver_g197.t1,XP_027058265.1,534,1,2.40E-276,93.23,,,,,,,,
TRUE,[BLASTED],Pver_g198.t1,XP_027059601.1,371,1,1.50E-200,99.73,,,,,,,,
TRUE,[BLASTED],Pver_g199.t1,XP_027057927.1,682,1,1.30E-269,97.8,,,,,,,,
TRUE,[BLASTED],Pver_g200.t1,XP_027058624.1,720,1,0,97.5,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g201.t1,RMX53802.1,376,1,4.60E-213,99.73,2,P:GO:0006338; C:GO:0000228,P:chromatin remodeling; C:nuclear chromosome,,,,,
TRUE,[BLASTED],Pver_g202.t1_g204.t1,XP_027058055.1,825,1,0,99.51,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g203.t1,RMX53732.1,1040,1,0,90.12,2,F:GO:0003924; F:GO:0005525,F:GTPase activity; F:GTP binding,EC:3.6.1,Acting on acid anhydrides,,,
TRUE,[BLASTED],Pver_g205.t1,XP_027059280.1,387,1,3.40E-211,97.67,,,,,,,,
TRUE,[BLASTED],Pver_g206.t1,XP_027059552.1,421,1,4.10E-133,99.05,,,,,,,,
TRUE,[BLASTED],Pver_g207.t1,XP_027059932.1,274,1,7.70E-117,98.59,,,,,,,,
