	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED, MAPPED]	Pver_g107.t1	A7SH45_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g212204 PE=3 SV=1	543	5	0.0	74.7	6	P:GO:0007165; P:GO:0007186; F:GO:0004930; C:GO:0005886; C:GO:0016020; C:GO:0016021	P:signal transduction; P:G protein-coupled receptor signaling pathway; F:G protein-coupled receptor activity; C:plasma membrane; C:membrane; C:integral component of membrane					
true	[NO-BLAST]	Pver_g108.t1	---NA---	164											
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g114.t1	A0A3M6TXZ1_POCDAAlpha-L-fucosidase OS=Pocillopora damicornis OX=46731 GN=pdam_00000569 PE=3 SV=1	191	4	3.04507E-83	66.84	2	P:GO:0006004; F:GO:0004560	P:fucose metabolic process; F:alpha-L-fucosidase activity	EC:3.2.1.51	Alpha-L-fucosidase			
true	[BLASTED]	Pver_g116.t1	A0A3M6TYD8_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00000571 PE=4 SV=1	922	2	0.0	83.72								
true	[BLASTED]	Pver_g118.t1	A0A3M6TYG5_POCDAUncharacterized protein (Fragment) OS=Pocillopora damicornis OX=46731 GN=pdam_00000574 PE=4 SV=1	136	3	1.30972E-87	78.4								
true	[BLASTED]	Pver_g119.t1	A0A2B4SKE0_STYPIUncharacterized protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene5681 PE=4 SV=1	1035	5	0.0	82.78								
true	[BLASTED]	Pver_g120.t1	A0A3M6TYE6_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00000577 PE=4 SV=1	301	5	5.4009E-103	80.58								
true	[BLASTED, MAPPED]	Pver_g128.t1	A0A2B4SU14_STYPIFibrinogen C-terminal domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene3327 PE=4 SV=1	391	5	5.9654E-110	62.88	3	F:GO:0005201; F:GO:0005509; C:GO:0005581	F:extracellular matrix structural constituent; F:calcium ion binding; C:collagen trimer					
true	[BLASTED]	Pver_g141.t1	A0A3M6TYG8_POCDANERD domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00000602 PE=4 SV=1	595	5	0.0	81.8								
true	[BLASTED, MAPPED]	Pver_g145.t1	A0A3M6UX95_POCDAPDDEXK_1 domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00000069 PE=4 SV=1	373	5	8.71811E-59	56.28	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
true	[NO-BLAST]	Pver_g149.t1	---NA---	345											
true	[BLASTED]	Pver_g150.t1	A0A3M6UIT8_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00000250 PE=4 SV=1	210	3	4.98148E-142	92.23								
true	[BLASTED]	Pver_g153.t1	A0A2B4RW84_STYPIUncharacterized protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene15029 PE=4 SV=1	357	1	1.21519E-161	80.56								
true	[BLASTED]	Pver_g155.t1	A0A2B4RSB6_STYPIFibronectin type-II domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene15031 PE=4 SV=1	421	5	0.0	67.96								
true	[BLASTED]	Pver_g163.t1	A0A3M6UJG0_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00000263 PE=4 SV=1	259	3	0.0	83.73								
true	[BLASTED]	Pver_g165.t1	A0A2B4RW02_STYPIUncharacterized protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene15042 PE=4 SV=1	808	5	0.0	85.43								
true	[BLASTED]	Pver_g167.t1	A0A2B4RSD4_STYPIDynein heavy chain-like protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene15044 PE=4 SV=1	331	2	0.0	86.31								
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g169.t1	A7RM63_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g239303 PE=4 SV=1	337	5	2.43725E-142	66.05	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g170.t1	A0A2B4RWC0_STYPIUncharacterized protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene15047 PE=4 SV=1	389	5	0.0	79.31	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	Pver_g177.t1	A7RVD8_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g240951 PE=4 SV=1	399	5	0.0	79.88								
true	[BLASTED]	Pver_g184.t1	A7SAK0_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g209294 PE=4 SV=1	358	5	0.0	70.22								
true	[BLASTED]	Pver_g197.t1	A0A3M6UJJ1_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00000301 PE=4 SV=1	534	5	0.0	73.84								
true	[BLASTED]	Pver_g205.t1	A7RV95_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g202660 PE=4 SV=1	387	5	0.0	69.05								
true	[BLASTED]	Pver_g223.t1	A7SV78_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g247602 PE=4 SV=1	172	4	2.87139E-120	76.25								
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g226.t1	A7SY04_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g219291 PE=4 SV=1	818	5	0.0	84.23	2	C:GO:0005740; C:GO:0016021	C:mitochondrial envelope; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g227.t1	A0A3M6UJC6_POCDANucleic_acid_bd domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00000338 PE=4 SV=1	994	5	0.0	86.43	4	P:GO:0045944; F:GO:0030374; C:GO:0005667; C:GO:0035097	P:positive regulation of transcription by RNA polymerase II; F:nuclear receptor coactivator activity; C:transcription regulator complex; C:histone methyltransferase complex					
true	[BLASTED, MAPPED]	Pver_g261.t1	A7S2Z8_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g242487 PE=4 SV=1	333	5	4.79677E-130	72.19	1	C:GO:0005576	C:extracellular region					
true	[BLASTED]	Pver_g263.t1	A7S2Z8_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g242487 PE=4 SV=1	1138	5	0.0	62.18								
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g268.t1	A7S8V4_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g243644 PE=4 SV=1	154	5	5.71116E-108	84.11	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	Pver_g269.t1	A0A2B4SV34_STYPIUncharacterized protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene2248 PE=4 SV=1	595	5	5.63259E-67	55.89								
true	[BLASTED, MAPPED]	Pver_g274.t2	A0A2B4SUC7_STYPIILEI domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene2242 PE=4 SV=1	359	5	5.96238E-101	73.06	1	F:GO:0005509	F:calcium ion binding					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g282.t1	A0A3M6UJG3_POCDAEF-hand domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00000401 PE=4 SV=1	887	5	0.0	75.49	1	F:GO:0005509	F:calcium ion binding					
true	[BLASTED]	Pver_g296.t1	A0A3M6UDA3_POCDAANK_REP_REGION domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00008135 PE=4 SV=1	1542	5	0.0	65.23								
true	[BLASTED]	Pver_g297.t1	A0A2B4SWV8_STYPIANK_REP_REGION domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene2208 PE=4 SV=1	726	5	0.0	70.8								
true	[BLASTED]	Pver_g298.t1	A0A3M6UDA3_POCDAANK_REP_REGION domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00008135 PE=4 SV=1	836	5	0.0	69.4								
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g300.t1	A0A3M6UDB9_POCDATIR domain-containing protein (Fragment) OS=Pocillopora damicornis OX=46731 GN=pdam_00008133 PE=4 SV=1	324	5	0.0	85.75	2	P:GO:0007165; F:GO:0003953	P:signal transduction; F:NAD+ nucleosidase activity	EC:3.2.2	Glycosylases			
true	[BLASTED]	Pver_g301.t1	A0A6P8ITD4_ACTTEFK506-binding protein 15-like OS=Actinia tenebrosa OX=6105 GN=LOC116304825 PE=4 SV=1	819	2	0.0	59.8								
true	[BLASTED]	Pver_g302.t1	A0A3M6UDD5_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00008132 PE=4 SV=1	135	2	1.01168E-80	97.01								
true	[BLASTED]	Pver_g303.t1	A0A2B4SUY8_STYPIRAMA domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene2203 PE=4 SV=1	634	2	0.0	85.52								
true	[BLASTED]	Pver_g306.t1	A0A6P8I6A5_ACTTEspindle pole body component 110-like OS=Actinia tenebrosa OX=6105 GN=LOC116296374 PE=4 SV=1	385	5	0.0	74.39								
true	[BLASTED]	Pver_g310.t1	A0A1Y1WVJ1_9FUNGUncharacterized protein OS=Basidiobolus meristosporus CBS 931.73 OX=1314790 GN=K493DRAFT_321353 PE=4 SV=1	145	5	8.92283E-9	73.51								
true	[BLASTED]	Pver_g317.t1	A0A6P8IQP4_ACTTEgolgin subfamily A member 6-like protein 22 OS=Actinia tenebrosa OX=6105 GN=LOC116303340 PE=4 SV=1	1441	5	0.0	80.35								
true	[BLASTED]	Pver_g324.t1	A0A1A8R450_9TELERing finger protein 40 OS=Nothobranchius rachovii OX=451742 GN=RNF40 PE=4 SV=1	296	5	0.0	60.0								
true	[BLASTED]	Pver_g328.t1	A0A1S3J1H9_LINUNvon Willebrand factor A domain-containing protein 2 OS=Lingula unguis OX=7574 GN=LOC106169392 PE=4 SV=1	182	5	9.55915E-130	80.08								
true	[BLASTED]	Pver_g329.t1	A0A1S3J1H9_LINUNvon Willebrand factor A domain-containing protein 2 OS=Lingula unguis OX=7574 GN=LOC106169392 PE=4 SV=1	161	5	4.11891E-81	74.14								
true	[BLASTED]	Pver_g330.t1	A0A2B4RF97_STYPIUncharacterized protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene19910 PE=4 SV=1	126	1	9.79708E-26	56.89								
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g333.t2	A0A3M6U8D5_POCDADeath domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00009161 PE=4 SV=1	478	5	0.0	70.36	1	P:GO:0007165	P:signal transduction					
true	[NO-BLAST]	Pver_g346.t1	---NA---	77											
true	[NO-BLAST]	Pver_g353.t1	---NA---	70											
true	[BLASTED, MAPPED]	Pver_g355.t1	A0A6P8IGD5_ACTTEapoptosis regulatory protein Siva-like isoform X1 OS=Actinia tenebrosa OX=6105 GN=LOC116300942 PE=4 SV=1	186	5	2.37131E-132	74.0	2	P:GO:0097191; F:GO:0005175	P:extrinsic apoptotic signaling pathway; F:CD27 receptor binding					
true	[BLASTED]	Pver_g359.t1	A0A2B4RLA9_STYPIUncharacterized protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene18075 PE=4 SV=1	328	5	1.11258E-90	66.06								
true	[BLASTED]	Pver_g360.t1	A0A2B4RGU5_STYPITransposon Ty3-I Gag-Pol polyprotein OS=Stylophora pistillata OX=50429 GN=TY3B-I PE=4 SV=1	174	4	1.76235E-124	76.86								
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g362.t1	A0A2B4SJR7_STYPILRAT domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene5921 PE=4 SV=1	538	5	3.68962E-165	67.74	1	C:GO:0016020	C:membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g365.t1	A0A2B4SPZ2_STYPI3 beta-hydroxysteroid dehydrogenase/Delta 5--	514	5	0.0	78.65	5	P:GO:0006694; F:GO:0003854; F:GO:0016853; C:GO:0005634; C:GO:0016021	P:steroid biosynthetic process; F:3-beta-hydroxy-delta5-steroid dehydrogenase activity; F:isomerase activity; C:nucleus; C:integral component of membrane	EC:1.1.1.145; EC:5	3-beta-hydroxy-Delta(5)-steroid dehydrogenase; Isomerases			
true	[BLASTED]	Pver_g371.t1	A0A3M6TRZ4_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00005302 PE=4 SV=1	2038	5	0.0	63.62								
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g372.t1	A7SFH0_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g211472 PE=4 SV=1	296	5	0.0	86.33	1	F:GO:0005509	F:calcium ion binding					
true	[BLASTED]	Pver_g387.t1	A0A3M6TSD0_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00005284 PE=4 SV=1	206	2	2.91463E-143	76.66								
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g388.t1	A0A6P8J2W9_ACTTEproline-rich transmembrane protein 4-like OS=Actinia tenebrosa OX=6105 GN=LOC116308085 PE=4 SV=1	375	5	0.0	64.1	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g415.t1	A0A3M6TGG2_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00009456 PE=4 SV=1	779	5	0.0	65.85	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	Pver_g426.t1	A0A3M6TGD7_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00009440 PE=4 SV=1	435	5	0.0	72.19								
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g434.t1	A0A2B4S351_STYPIMultidrug resistance-associated protein 4 OS=Stylophora pistillata OX=50429 GN=ABCC4 PE=4 SV=1	422	5	1.74176E-139	80.97	11	P:GO:0000724; P:GO:0006260; P:GO:0006289; P:GO:0006810; F:GO:0000166; F:GO:0003697; F:GO:0140359; C:GO:0000781; C:GO:0005662; C:GO:0016020; C:GO:0035861	P:double-strand break repair via homologous recombination; P:DNA replication; P:nucleotide-excision repair; P:transport; F:nucleotide binding; F:single-stranded DNA binding; F:ABC-type transporter activity; C:chromosome, telomeric region; C:DNA replication factor A complex; C:membrane; C:site of double-strand break	EC:7	Translocases			
true	[NO-BLAST]	Pver_g438.t1	---NA---	108											
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g447.t1	A7S110_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g242093 PE=4 SV=1	273	5	1.26076E-92	64.7	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	Pver_g449.t1	A0A3M6TTC0_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00002754 PE=4 SV=1	569	3	0.0	83.13								
true	[BLASTED, MAPPED]	Pver_g468.t1	A7SHL9_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g245328 PE=4 SV=1	269	5	3.14018E-143	68.76	1	P:GO:0042981	P:regulation of apoptotic process					
true	[BLASTED]	Pver_g475.t1	A0A3M6TSK8_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00015992 PE=4 SV=1	132	3	2.608E-88	92.84								
true	[NO-BLAST]	Pver_g476.t1	---NA---	239											
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g486.t1	A7STY2_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g247396 PE=4 SV=1	537	5	0.0	68.12	4	P:GO:0002755; P:GO:0043123; F:GO:0070976; C:GO:0016021	P:MyD88-dependent toll-like receptor signaling pathway; P:positive regulation of I-kappaB kinase/NF-kappaB signaling; F:TIR domain binding; C:integral component of membrane					
true	[BLASTED, MAPPED]	Pver_g500.t1	A0A3M6U7Y9_POCDAUncharacterized protein (Fragment) OS=Pocillopora damicornis OX=46731 GN=pdam_00009111 PE=4 SV=1	131	4	1.56427E-84	62.88	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
true	[BLASTED]	Pver_g512.t1	A7RQ69_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g200466 PE=4 SV=1	159	5	1.61052E-24	76.8								
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g516.t1	A0A3M6UVF1_POCDARING-type domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00015730 PE=4 SV=1	173	4	1.12389E-80	74.87	5	P:GO:0007131; P:GO:0016567; F:GO:0046872; F:GO:0061630; C:GO:0000795	P:reciprocal meiotic recombination; P:protein ubiquitination; F:metal ion binding; F:ubiquitin protein ligase activity; C:synaptonemal complex	EC:2	Transferases			
true	[BLASTED]	Pver_g517.t1	A0A1V0CMH4_ACRDISkeletal matrix protein 11 OS=Acropora digitifera OX=70779 PE=2 SV=1	165	5	6.2362E-38	63.34								
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g525.t1	A0A2B4SXK1_STYPICyclin-dependent kinase 2 OS=Stylophora pistillata OX=50429 GN=cdk2 PE=4 SV=1	337	5	1.19068E-57	71.82	1	F:GO:0008270	F:zinc ion binding					
true	[BLASTED]	Pver_g529.t1	A0A3M6UKX4_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00015329 PE=4 SV=1	553	5	0.0	70.62								
true	[NO-BLAST]	Pver_g530.t1	---NA---	74											
true	[BLASTED]	Pver_g532.t2	A0A2B4RGU5_STYPITransposon Ty3-I Gag-Pol polyprotein OS=Stylophora pistillata OX=50429 GN=TY3B-I PE=4 SV=1	181	5	1.18467E-68	69.27								
true	[BLASTED]	Pver_g534.t1	A0A3M6UL11_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00011986 PE=4 SV=1	338	5	1.47448E-166	85.46								
true	[BLASTED]	Pver_g538.t1	A0A2B4SU50_STYPIUncharacterized protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene2810 PE=4 SV=1	195	1	3.26015E-91	90.51								
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g546.t1	A0A3M6U1E9_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00002123 PE=4 SV=1	430	4	0.0	69.14	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g547.t1	A0A3M6U1M2_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00002124 PE=4 SV=1	389	4	0.0	68.15	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g556.t1	A0A3M6U1G1_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00002134 PE=4 SV=1	83	5	1.33658E-51	74.74	1	C:GO:0005753	C:mitochondrial proton-transporting ATP synthase complex					
true	[NO-BLAST]	Pver_g559.t1	---NA---	171											
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g568.t1	A0A2B4T159_STYPITransmembrane protein 35 OS=Stylophora pistillata OX=50429 GN=tmem35 PE=3 SV=1	145	5	2.70042E-98	73.0	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g573.t1	A0A2B4T1L8_STYPICoiled-coil domain-containing protein 15 OS=Stylophora pistillata OX=50429 GN=Ccdc15 PE=3 SV=1	429	5	0.0	72.17	3	P:GO:0006355; F:GO:0003677; C:GO:0005634	P:regulation of transcription, DNA-templated; F:DNA binding; C:nucleus					
true	[BLASTED]	Pver_g579.t1	A0A3M6TVQ5_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00000891 PE=4 SV=1	861	2	0.0	79.31								
true	[NO-BLAST]	Pver_g581.t1	---NA---	107											
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g584.t1	A0A3M6TFM5_POCDATHAP-type domain-containing protein (Fragment) OS=Pocillopora damicornis OX=46731 GN=pdam_00023786 PE=3 SV=1	205	5	2.67698E-37	94.61	5	P:GO:0007049; F:GO:0043565; F:GO:0046872; C:GO:0005654; C:GO:0016021	P:cell cycle; F:sequence-specific DNA binding; F:metal ion binding; C:nucleoplasm; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g597.t1	A0A2B4SQD3_STYPIIntegrase catalytic domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene3906 PE=4 SV=1	1058	5	0.0	63.27	1	F:GO:0005488	F:binding					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g599.t1	A0A3M6UHH8_POCDASerine protease OS=Pocillopora damicornis OX=46731 GN=pdam_00015565 PE=3 SV=1	701	5	0.0	72.97	2	P:GO:0006508; F:GO:0008236	P:proteolysis; F:serine-type peptidase activity	EC:3.4	Acting on peptide bonds (peptidases)			
true	[NO-BLAST]	Pver_g600.t1	---NA---	145											
true	[BLASTED, MAPPED]	Pver_g616.t1	A0A3M6UZJ7_POCDAIlGF domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00009959 PE=4 SV=1	145	5	2.09934E-76	57.48	3	P:GO:0007165; F:GO:0005179; C:GO:0005576	P:signal transduction; F:hormone activity; C:extracellular region					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g619.t1	A0A3M6TKM9_POCDAIlGF domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00006634 PE=4 SV=1	161	5	3.2753E-76	71.05	3	P:GO:0007165; F:GO:0005179; C:GO:0005576	P:signal transduction; F:hormone activity; C:extracellular region					
true	[NO-BLAST]	Pver_g621.t1	---NA---	144											
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g628.t1	A0A2B4S9L1_STYPIGuanylate cyclase OS=Stylophora pistillata OX=50429 GN=Grm3 PE=3 SV=1	361	5	0.0	84.09	6	P:GO:0006796; P:GO:0044238; P:GO:1901564; F:GO:0000166; F:GO:0016829; C:GO:0016020	P:phosphate-containing compound metabolic process; P:primary metabolic process; P:organonitrogen compound metabolic process; F:nucleotide binding; F:lyase activity; C:membrane	EC:4	Lyases			
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g637.t1	A0A2B4S1B0_STYPIE3 ubiquitin-protein ligase DZIP3 OS=Stylophora pistillata OX=50429 GN=DZIP3 PE=4 SV=1	896	5	0.0	76.81	1	P:GO:0007165	P:signal transduction					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g639.t1	A0A3M6TWR4_POCDASAM domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00023456 PE=4 SV=1	328	5	2.70625E-59	79.86	1	C:GO:0016021	C:integral component of membrane					
