"","Function","Hypothesis.driven.connection","References","gene_id"
"114","Protein binding","Stress response","(Rädecker et al. 2021)","Pver_g7810"
"115","Protein binding","Stress response","(Rädecker et al. 2021)","Pver_g13420"
"116","Protein binding","Stress response","(Rädecker et al. 2021)","Pver_g2137"
"117","Protein binding","Stress response","(Rädecker et al. 2021)","Pver_g2135"
"118","Protein binding","Stress response","(Rädecker et al. 2021)","Pver_g1442"
"119","Nitrate metabolic process","Nitrogen metabolism and transport","(Rädecker et al. 2021)","Pver_g16126"
"120","Nitrate metabolic process","Nitrogen metabolism and transport","(Rädecker et al. 2021)","Pver_g16124"
"121","Nitrate metabolic process","Nitrogen metabolism and transport","(Rädecker et al. 2021)","Pver_g16125"
"122","Nitrate metabolic process","Nitrogen metabolism","(Rädecker et al. 2021)","Pver_g16125"
"123","Glutamate dehydrogenase (NAD+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g23889"
"124","Glutamate dehydrogenase (NAD+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g25411"
"125","Glutamate dehydrogenase (NAD+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g24588"
"126","Glutamate dehydrogenase (NAD+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g25211"
"127","Glutamate dehydrogenase (NAD+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g25475"
"128","Detoxification of nitrogen compound","Nitrogen metabolism and transport","(Rädecker et al. 2021)","Pver_g6636"
"129","Nitrate catabolic activity ","Nitrogen metabolism","(Rädecker et al. 2021)","Pver_g12781"
"130","Nitrate catabolic activity ","Nitrogen metabolism","(Rädecker et al. 2021)","Pver_g6842"
"131","Nitrate metabolic activity ","Nitrogen metabolism","(Rädecker et al. 2021)","Pver_g2246"
"132","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)  (Tivey et al. 2020)","Pver_g1503"
"133","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)  (Tivey et al. 2020)","Pver_g15458"
"134","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)  (Tivey et al. 2020)","Pver_g2080"
"135","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)  (Tivey et al. 2020)","Pver_g9722"
"136","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)  (Tivey et al. 2020)","Pver_g3044"
"137","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)  (Tivey et al. 2020)","Pver_g3045"
"138","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)  (Tivey et al. 2020)","Pver_g13424"
"139","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)  (Tivey et al. 2020)","Pver_g25757"
"140","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)  (Tivey et al. 2020)","Pver_g3037"
"141","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)  (Tivey et al. 2020)","Pver_g3038"
"142","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)  (Tivey et al. 2020)","Pver_3040"
"143","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)  (Tivey et al. 2020)","Pver_g3041"
"144","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)  (Tivey et al. 2020)","Pver_g3409"
"145","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)  (Tivey et al. 2020)","Pver_g3039"
"146","Glutathione catabolic process","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g11755"
"147","Cell signal transduction","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g100"
"148","GTPase activity, exocytosis","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g71"
"149","Transmembrane transporter activity","Carbohydrate transport and storage","(Lehnert et al. 2014; Matthews et al. 2017)","Pver_g23612"
"150","Transmembrane transporter activity","Carbohydrate transport and storage","(Lehnert et al. 2014; Matthews et al. 2017)","Pver_g26072"
"151","Glucose transmembrane transport","Carbohydrate transport and storage","(Li et al. 2018) (Matthews et al. 2017)","Pver_g5841"
"152","Glucose transporter","Carbohydrate transport and storage","(Li et al. 2018) (Matthews et al. 2017)","Pver_g2345"
"153","Glucose metabolic process","Carbohydrate transport and storage","(Lehnert et al. 2014; Matthews et al. 2017)","Pver_g10343"
"154","Glucose metabolic process","Carbohydrate transport and storage","(Lehnert et al. 2014; Matthews et al. 2017)","Pver_g10340"
"155","Glutathione biosynthetic process","Stress response, symbiont regulation","(Rädecker et al. 2021) (Azevedo-martins et al. 2014)","Pver_g26406"
"156","Amine transport","Nitrogen metabolism/ammonium transport","(Matthews et al. 2017)","Pver_g7971"
"157","Amine transport","Nitrogen metabolism/ammonium transport","(Matthews et al. 2017)","Pver_g11755"
"158","Response to nutrient levels","Nutrient response","(Rosic et al. 2014)","Pver_g26453"
"159","Pyrimidine nucleotide-sugar transmembrane transport","Carbohydrate transport and storage","(Lehnert et al. 2014; Matthews et al. 2017)","Pver_g15600."
"160","Galactose metabolism","Symbiosis establishment, breakdown, regulation, central metabolism","(Li et al. 2018) (Matthews et al. 2017)","Pver_g24152"
"161","Protein glycosylation","Carbohydrate transport and storage","(Lehnert et al. 2014; Matthews et al. 2017)","Pver_g905"
"162","Nitrogen compound metabolic process","Nitrogen metabolism","(Lehnert et al. 2014; Matthews et al. 2017)","Pver_g14200"
"163","Nitrogen compound metabolic process","Nitrogen metabolism","(Lehnert et al. 2014; Matthews et al. 2017)","Pver_g14202"
"164","Pyrophosphatase activity","Transcription","(Lehnert et al. 2014; Matthews et al. 2017)","Pver_g2836"
"165","Pyrophosphatase activity","Transcription","(Lehnert et al. 2014; Matthews et al. 2017)","Pver_g15121"
"166","Involved in Wnt signaling pathway","Cell proliferation regulation, signal transduction; wnt signaling pathway","(Khalturin et al.2019)","Pver_g14948"
"167","Detoxification of nitrogen compound","Purine pathway/major route for assimilation of nitrogen","(Rädecker et al. 2021)","Pver_g2509"
"168","Detoxification of nitrogen compound","Purine pathway/major route for assimilation of nitrogen","(Rädecker et al. 2021)","Pver_g11531"
"169","Detoxification of nitrogen compound","Purine pathway/major route for assimilation of nitrogen","(Rädecker et al. 2021)","Pver_g2246"
"170","Signal transduction","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g13153"
"171","Regulation of stress-activated MAPK cascade","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g13340"
"172","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g26358"
"173","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g1830"
"174","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g12266"
"175","DNA repair and general transcription","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g5826"
"176","DNA repair and general transcription","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g2105"
"177","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g5728"
"178","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g12996"
"179","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g13682"
"180","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g17490"
"181","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g23690"
"182","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g26263"
"183","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g26272"
"184","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_novel_770_5de57afd"
"185","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g24836"
"186","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g7317"
"187","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g7318"
"188","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g19533"
"189","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g7319"
"190","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g7320"
"191","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g19795"
"192","DNA repair","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g20664"
"193","DNA repair and recommbination","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g3356"
"194","DNA repair and recommbination","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g3721"
"195","DNA repair and recommbination","Stress response","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g13189"
"196","Histone phosphorylation","Nutrient response/stress response","(Rodriguez-Casariego et al. 2018)","Pver_g15024"
"197","Histone phosphorylation","Nutrient response/stress response","(Rodriguez-Casariego et al. 2018)","Pver_g15028"
"198","Histone phosphorylation","Nutrient response/stress response","(Rodriguez-Casariego et al. 2018)","Pver_g5125"
"199","Histone phosphorylation","Nutrient response/stress response","(Rodriguez-Casariego et al. 2018)","Pver_g10218"
"200","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g21421"
"201","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g2258"
"202","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g2647"
"203","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g9748"
"204","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g11034"
"205","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g14604"
"206","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g15254"
"207","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g22014"
"208","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g20617"
"209","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g2420"
"210","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g4805"
"211","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g2313"
"212","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g13967"
"213","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g13934"
"214","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g5804"
"215","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g17762"
"216","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g15253"
"217","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g7837"
"218","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g18677"
"219","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g13989"
"220","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g23020"
"221","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g10712"
"222","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g13001"
"223","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g8451"
"224","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g24069"
"225","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g24895"
"226","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g18868"
