"gene"	"pval.treatment"	"adj.pval.treatment"	"SWISS_Description"	"SWISS_Length"	"SWISS_.Hits"	"SWISS_e.Value"	"SWISS_sim.mean"	"SWISS_.GO"	"SWISS_GO.IDs"	"SWISS_GO.Names"	"SWISS_Enzyme.Codes"	"SWISS_Enzyme.Names"	"TREMBL_Description"	"TREMBL_Length"	"TREMBL_.Hits"	"TREMBL_e.Value"	"TREMBL_sim.mean"	"TREMBL_.GO"	"TREMBL_GO.IDs"	"TREMBL_GO.Names"	"TREMBL_Enzyme.Codes"	"TREMBL_Enzyme.Names"	"INTERPRO_Length"	"InterPro.IDs"	"InterPro.GO.IDs"	"InterPro.GO.Names"	"BLAST_Description"	"BLAST_Length"	"BLAST_.Hits"	"BLAST_e.Value"	"BLAST_sim.mean"	"BLAST_.GO"	"BLAST_GO.IDs"	"BLAST_GO.Names"	"BLAST_Enzyme.Codes"	"BLAST_Enzyme.Names"
"Pver_gene_g18325"	5.01099620022707e-11	1.03705834404699e-09	"YI31B_YEASTTransposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-I PE=1 SV=2"	1735	5	3.8e-71	46.06	4	"P:GO:0090304; F:GO:0016787; F:GO:0097159; F:GO:1901363"	"P:nucleic acid metabolic process; F:hydrolase activity; F:organic cyclic compound binding; F:heterocyclic compound binding"	"EC:3"	"Hydrolases"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1734	"Coil (COILS); IPR004875 (PFAM); IPR041373 (PFAM); G3DSA:3.10.20.370 (GENE3D); IPR043128 (G3DSA:3.30.70.GENE3D); IPR036397 (G3DSA:3.30.420.GENE3D); G3DSA:1.10.340.70 (GENE3D); IPR043128 (G3DSA:3.30.70.GENE3D); IPR000477 (PFAM); IPR041588 (PFAM); G3DSA:3.10.10.10 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24559:SF324 (PANTHER); PTHR24559 (PANTHER); IPR000477 (PROSITE_PROFILES); cd00303 (CDD); cd01647 (CDD); cd09274 (CDD); IPR012337 (SUPERFAMILY); IPR043502 (SUPERFAMILY)"	"F:GO:0003676"	"F:nucleic acid binding"	"XP_027041632.1"	1735	1	0	91.44	NA	NA	NA	NA	NA
"Pver_gene_g21043"	5.35988364652226e-11	1.09733531859983e-09	NA	384	NA	NA	NA	NA	NA	NA	NA	NA	"A0A2B4R5G7_STYPISWIM-type domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene23087 PE=4 SV=1"	384	5	0	84.03	1	"F:GO:0008270"	"F:zinc ion binding"	NA	NA	384	"IPR003034 (SMART); IPR011604 (G3DSA:3.90.320.GENE3D); IPR036361 (G3DSA:1.10.720.GENE3D); IPR034720 (PFAM); IPR003034 (PFAM); PTHR47526 (PANTHER); IPR007527 (PROSITE_PROFILES); IPR036361 (SUPERFAMILY)"	"F:GO:0008270"	"F:zinc ion binding"	"XP_022809687.1"	384	1	9.8e-219	99.21	NA	NA	NA	NA	NA
"Pver_gene_g17618"	5.77001244607473e-11	1.16542853693729e-09	NA	1259	NA	NA	NA	NA	NA	NA	NA	NA	"A0A3M6UH33_POCDACore-binding (CB) domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00024056 PE=4 SV=1"	1259	5	2.78e-152	70.81	1	"F:GO:0003677"	"F:DNA binding"	NA	NA	1258	"Coil (COILS); IPR013762 (G3DSA:1.10.443.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR013087 (PROSITE_PATTERNS)"	"P:GO:0006310; P:GO:0015074; F:GO:0003677"	"P:DNA recombination; P:DNA integration; F:DNA binding"	"PFX18261.1"	1259	1	3.5e-140	38.17	3	"P:GO:0006310; P:GO:0015074; F:GO:0003677"	"P:DNA recombination; P:DNA integration; F:DNA binding"	NA	NA
"Pver_gene_g19628"	5.81490078829005e-11	1.16542853693729e-09	"POL_SRV1Gag-Pro-Pol polyprotein OS=Simian retrovirus SRV-1 OX=11942 GN=pol PE=3 SV=2"	395	5	2.06e-08	50.19	5	"P:GO:0016032; P:GO:0090304; F:GO:0005488; F:GO:0016787; C:GO:0033643"	"P:viral process; P:nucleic acid metabolic process; F:binding; F:hydrolase activity; C:host cell part"	"EC:3"	"Hydrolases"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	394	"IPR036397 (G3DSA:3.30.420.GENE3D); IPR036397 (G3DSA:3.30.420.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR34072 (PANTHER); IPR001584 (PROSITE_PROFILES); IPR012337 (SUPERFAMILY); IPR012337 (SUPERFAMILY)"	"P:GO:0015074; F:GO:0003676"	"P:DNA integration; F:nucleic acid binding"	"XP_015772436.1"	395	1	3.9e-138	68.69	NA	NA	NA	NA	NA
"Pver_gene_g22138"	6.9331903761853e-11	1.37508275794342e-09	"POL_SFV1Pro-Pol polyprotein OS=Simian foamy virus type 1 OX=338478 GN=pol PE=1 SV=3"	240	5	2.59e-56	50.83	3	"P:GO:0006259; F:GO:0005488; F:GO:0016787"	"P:DNA metabolic process; F:binding; F:hydrolase activity"	"EC:3"	"Hydrolases"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	240	"IPR036397 (G3DSA:3.30.420.GENE3D); G3DSA:1.10.340.70 (GENE3D); IPR041588 (PFAM); IPR001584 (PFAM); PTHR24559:SF370 (PANTHER); PTHR24559 (PANTHER); IPR001584 (PROSITE_PROFILES); IPR012337 (SUPERFAMILY)"	"P:GO:0015074; F:GO:0003676"	"P:DNA integration; F:nucleic acid binding"	"PFX22695.1"	240	1	2.8e-131	96.27	2	"P:GO:0015074; F:GO:0003676"	"P:DNA integration; F:nucleic acid binding"	NA	NA
"Pver_gene_g4441"	7.90807386527659e-11	1.55226522056563e-09	NA	264	NA	NA	NA	NA	NA	NA	NA	NA	"A0A3M6V2Y6_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00023836 PE=4 SV=1"	264	5	6.93e-148	68.5	NA	NA	NA	NA	NA	263	"mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)"	NA	NA	"RMX60306.1"	264	1	5.5e-112	82.4	NA	NA	NA	NA	NA
"Pver_gene_g22693"	8.01682326301994e-11	1.55755423395816e-09	"YI31B_YEASTTransposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-I PE=1 SV=2"	173	5	4.9e-10	51.47	7	"P:GO:0090304; F:GO:0004518; F:GO:0016740; F:GO:0097159; F:GO:0140640; F:GO:1901363; C:GO:0005634"	"P:nucleic acid metabolic process; F:nuclease activity; F:transferase activity; F:organic cyclic compound binding; F:catalytic activity, acting on a nucleic acid; F:heterocyclic compound binding; C:nucleus"	"EC:3.1; EC:2"	"Acting on ester bonds; Transferases"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	173	"IPR043128 (G3DSA:3.30.70.GENE3D); G3DSA:3.10.10.10 (GENE3D); PTHR34072 (PANTHER); IPR043502 (SUPERFAMILY)"	NA	NA	"XP_022779406.1"	173	1	1.5e-73	97.92	NA	NA	NA	NA	NA
"Pver_gene_g20827"	8.54768284392835e-11	1.64391799341814e-09	"CFDP2_BOVINCraniofacial development protein 2 OS=Bos taurus OX=9913 GN=CFDP2 PE=1 SV=2"	786	3	3.64e-26	48.75	3	"F:GO:0003824; C:GO:0005634; C:GO:0005737"	"F:catalytic activity; C:nucleus; C:cytoplasm"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	785	"IPR036691 (G3DSA:3.60.10.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR47027:SF10 (PANTHER); PTHR47027 (PANTHER); cd09076 (CDD); IPR036691 (SUPERFAMILY)"	NA	NA	"RXN08554.1"	786	1	1.7e-297	53.61	2	"P:GO:0006278; F:GO:0003964"	"P:RNA-dependent DNA biosynthetic process; F:RNA-directed DNA polymerase activity"	NA	NA
"Pver_gene_g7013"	9.10247122795197e-11	1.73311052180206e-09	NA	661	NA	NA	NA	NA	NA	NA	NA	NA	"A0A2B4SS73_STYPIPutative L-type lectin-domain containing receptor kinase I.11 OS=Stylophora pistillata OX=50429 GN=LECRK111 PE=4 SV=1"	661	5	0	77.82	4	"P:GO:0006468; F:GO:0004672; F:GO:0005524; F:GO:0030246"	"P:protein phosphorylation; F:protein kinase activity; F:ATP binding; F:carbohydrate binding"	"EC:2.7.1"	"Transferring phosphorus-containing groups"	660	"mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR33309:SF5 (PANTHER); PTHR33309 (PANTHER)"	NA	NA	"XP_022780110.1"	661	1	0	89.96	NA	NA	NA	NA	NA
"Pver_gene_g16469"	1.30262368734782e-10	2.45563910961411e-09	NA	836	NA	NA	NA	NA	NA	NA	NA	NA	"A0A6S7J5Q2_PARCTRNA-directed DNA polymerase from transposon X-element OS=Paramuricea clavata OX=317549 GN=PACLA_6A063516 PE=4 SV=1"	836	5	3.48e-173	76.26	2	"P:GO:0006278; F:GO:0003964"	"P:RNA-dependent DNA biosynthetic process; F:RNA-directed DNA polymerase activity"	NA	NA	835	"IPR036691 (G3DSA:3.60.10.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR47510 (PANTHER); IPR036691 (SUPERFAMILY)"	NA	NA	"XP_015759427.1"	836	1	3.6e-226	71.81	NA	NA	NA	NA	NA
"Pver_gene_g22704"	3.30943330382623e-10	6.17760883380896e-09	NA	147	NA	NA	NA	NA	NA	NA	NA	NA	"A0A6S7H967_PARCTRNA-directed DNA polymerase from transposon BS (Fragment) OS=Paramuricea clavata OX=317549 GN=PACLA_6A044260 PE=4 SV=1"	147	5	1.02e-31	55.9	4	"P:GO:0006278; F:GO:0003676; F:GO:0003964; F:GO:0008270"	"P:RNA-dependent DNA biosynthetic process; F:nucleic acid binding; F:RNA-directed DNA polymerase activity; F:zinc ion binding"	NA	NA	147	"IPR008042 (PFAM); PTHR22955:SF60 (PANTHER); PTHR22955 (PANTHER)"	NA	NA	"XP_020910816.1"	147	1	2.7e-36	53.95	NA	NA	NA	NA	NA
"Pver_gene_g11823"	3.98334469692638e-10	7.36338670189109e-09	"POLR2_ARATHRetrovirus-related Pol polyprotein from transposon RE2 OS=Arabidopsis thaliana OX=3702 GN=RE2 PE=4 SV=1"	3033	5	2.2e-52	48.77	4	"P:GO:0090304; F:GO:0016787; F:GO:0097159; F:GO:1901363"	"P:nucleic acid metabolic process; F:hydrolase activity; F:organic cyclic compound binding; F:heterocyclic compound binding"	"EC:3"	"Hydrolases"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3032	"IPR001878 (SMART); IPR015095 (PFAM); IPR013103 (PFAM); G3DSA:3.10.10.10 (GENE3D); G3DSA:1.10.340.70 (GENE3D); IPR001878 (PFAM); IPR001584 (PFAM); IPR041588 (PFAM); IPR036691 (G3DSA:3.60.10.GENE3D); G3DSA:4.10.60.10 (GENE3D); IPR025398 (PFAM); IPR041577 (PFAM); PF14223 (PFAM); IPR043128 (G3DSA:3.30.70.GENE3D); IPR018289 (PFAM); IPR036397 (G3DSA:3.30.420.GENE3D); IPR000477 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR34072 (PANTHER); IPR001969 (PROSITE_PATTERNS); IPR001584 (PROSITE_PROFILES); IPR001584 (PROSITE_PROFILES); IPR001878 (PROSITE_PROFILES); cd09274 (CDD); cd09272 (CDD); IPR036691 (SUPERFAMILY); IPR036875 (SUPERFAMILY); IPR043502 (SUPERFAMILY); IPR043502 (SUPERFAMILY); IPR012337 (SUPERFAMILY); IPR012337 (SUPERFAMILY)"	"P:GO:0006508; P:GO:0015074; F:GO:0003676; F:GO:0004190; F:GO:0008168; F:GO:0008270; F:GO:0016706"	"P:proteolysis; P:DNA integration; F:nucleic acid binding; F:aspartic-type endopeptidase activity; F:methyltransferase activity; F:zinc ion binding; F:2-oxoglutarate-dependent dioxygenase activity"	"XP_015772436.1"	3033	1	0	68.46	NA	NA	NA	NA	NA
"Pver_gene_g22002"	5.25821788595738e-10	9.6265835142912e-09	NA	322	NA	NA	NA	NA	NA	NA	NA	NA	"A0A6S7H967_PARCTRNA-directed DNA polymerase from transposon BS (Fragment) OS=Paramuricea clavata OX=317549 GN=PACLA_6A044260 PE=4 SV=1"	322	5	4.16e-127	74.68	1	"F:GO:0005488"	"F:binding"	NA	NA	322	"G3DSA:3.10.10.10 (GENE3D); IPR043128 (G3DSA:3.30.70.GENE3D); PTHR22955 (PANTHER); PTHR22955:SF60 (PANTHER); IPR043502 (SUPERFAMILY)"	NA	NA	"KXJ05449.1"	322	1	1.3e-126	67.72	NA	NA	NA	NA	NA
"Pver_gene_g21134"	8.00730726417583e-10	1.45199171723722e-08	NA	293	NA	NA	NA	NA	NA	NA	NA	NA	"A0A2B4RQL2_STYPIIntegrase catalytic domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene16531 PE=4 SV=1"	293	5	1.22e-95	79.07	2	"P:GO:0015074; F:GO:0003676"	"P:DNA integration; F:nucleic acid binding"	NA	NA	292	"Coil (COILS); IPR036397 (G3DSA:3.30.420.GENE3D); IPR040676 (PFAM); PTHR22955 (PANTHER); PTHR22955:SF60 (PANTHER); IPR001584 (PROSITE_PROFILES); IPR012337 (SUPERFAMILY)"	"P:GO:0015074; F:GO:0003676"	"P:DNA integration; F:nucleic acid binding"	"XP_029209463.1"	293	1	2e-78	71.29	NA	NA	NA	NA	NA
"Pver_gene_g719"	1.02122547770399e-09	1.83435217881924e-08	"XERD_SELRUIntegrase/recombinase xerD homolog OS=Selenomonas ruminantium OX=971 GN=xerD PE=3 SV=1"	465	1	4.8e-09	42.01	6	"P:GO:0006310; P:GO:0015074; P:GO:0044826; P:GO:0046718; P:GO:0075713; F:GO:0003677"	"P:DNA recombination; P:DNA integration; P:viral genome integration into host DNA; P:viral entry into host cell; P:establishment of integrated proviral latency; F:DNA binding"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	464	"IPR013762 (G3DSA:1.10.443.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR34605 (PANTHER); IPR011010 (SUPERFAMILY)"	"P:GO:0006310; P:GO:0015074; F:GO:0003677"	"P:DNA recombination; P:DNA integration; F:DNA binding"	"XP_015749229.1"	465	1	6.4e-55	46.72	NA	NA	NA	NA	NA
"Pver_gene_g3230"	1.29182726079977e-09	2.29872813510539e-08	"NDRG1_HUMANProtein NDRG1 OS=Homo sapiens OX=9606 GN=NDRG1 PE=1 SV=1"	808	5	1.06e-41	51.59	9	"P:GO:0007165; P:GO:0016043; P:GO:0033554; P:GO:0042127; F:GO:0015631; C:GO:0005737; C:GO:0005815; C:GO:0030054; C:GO:0043231"	"P:signal transduction; P:cellular component organization; P:cellular response to stress; P:regulation of cell population proliferation; F:tubulin binding; C:cytoplasm; C:microtubule organizing center; C:cell junction; C:intracellular membrane-bounded organelle"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	807	"IPR036691 (G3DSA:3.60.10.GENE3D); IPR005135 (PFAM); IPR004142 (PFAM); IPR029058 (G3DSA:3.40.50.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR004142 (PANTHER); PTHR11034:SF40 (PANTHER); IPR036691 (SUPERFAMILY); IPR029058 (SUPERFAMILY)"	"F:GO:0003824"	"F:catalytic activity"	"XP_027045888.1"	808	1	9.1e-174	100	NA	NA	NA	NA	NA
"Pver_gene_g18124"	1.31879581968336e-09	2.32498818581215e-08	NA	931	NA	NA	NA	NA	NA	NA	NA	NA	"A0A2B4SYB7_STYPIATP-dependent DNA helicase OS=Stylophora pistillata OX=50429 GN=Pif1 PE=3 SV=1"	931	5	2.62e-149	87.03	10	"P:GO:0000723; P:GO:0006281; P:GO:0006310; P:GO:0015074; P:GO:0032508; F:GO:0003676; F:GO:0003678; F:GO:0005524; F:GO:0008270; F:GO:0016787"	"P:telomere maintenance; P:DNA repair; P:DNA recombination; P:DNA integration; P:DNA duplex unwinding; F:nucleic acid binding; F:DNA helicase activity; F:ATP binding; F:zinc ion binding; F:hydrolase activity"	"EC:3.6.4.12"	"DNA helicase"	930	"IPR001878 (SMART); G3DSA:4.10.60.10 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR33198 (PANTHER); PTHR33198:SF9 (PANTHER); IPR001878 (PROSITE_PROFILES)"	"F:GO:0003676; F:GO:0008270"	"F:nucleic acid binding; F:zinc ion binding"	"XP_015770939.1"	931	1	2.9e-139	82.12	NA	NA	NA	NA	NA
"Pver_gene_g1185"	1.46613110585528e-09	2.5377396595895e-08	NA	716	NA	NA	NA	NA	NA	NA	NA	NA	"A0A2B4S5T5_STYPIMitogen-activated protein kinase kinase kinase A OS=Stylophora pistillata OX=50429 GN=mkkA PE=4 SV=1"	716	5	0	51.39	4	"P:GO:0006468; F:GO:0004672; F:GO:0005524; C:GO:0016021"	"P:protein phosphorylation; F:protein kinase activity; F:ATP binding; C:integral component of membrane"	"EC:2.7.1"	"Transferring phosphorus-containing groups"	715	"Coil (COILS); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)"	NA	NA	"PFX24756.1"	716	1	0	84.05	4	"P:GO:0006468; F:GO:0004672; F:GO:0005524; C:GO:0016021"	"P:protein phosphorylation; F:protein kinase activity; F:ATP binding; C:integral component of membrane"	"EC:2.7.1"	"Transferring phosphorus-containing groups"
"Pver_gene_g19461"	1.4649898645003e-09	2.5377396595895e-08	"YI31B_YEASTTransposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-I PE=1 SV=2"	1347	5	3.45e-12	45.26	5	"P:GO:0090304; F:GO:0016787; F:GO:0097159; F:GO:1901363; C:GO:0033643"	"P:nucleic acid metabolic process; F:hydrolase activity; F:organic cyclic compound binding; F:heterocyclic compound binding; C:host cell part"	"EC:3"	"Hydrolases"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1347	"IPR010998 (G3DSA:1.10.150.GENE3D); IPR043128 (G3DSA:3.30.70.GENE3D); IPR000477 (PFAM); G3DSA:3.10.10.10 (GENE3D); G3DSA:3.10.10.10 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR31660 (PANTHER); PTHR31660:SF78 (PANTHER); IPR000477 (PROSITE_PROFILES); cd03714 (CDD); cd09275 (CDD); SSF47823 (SUPERFAMILY); IPR043502 (SUPERFAMILY); IPR043502 (SUPERFAMILY)"	NA	NA	"XP_029199709.1"	1347	1	2.4e-251	43.13	NA	NA	NA	NA	NA
"Pver_gene_g6181"	1.66128049559598e-09	2.8496198771304e-08	"ANK3_HUMANAnkyrin-3 OS=Homo sapiens OX=9606 GN=ANK3 PE=1 SV=3"	1410	5	4.21e-59	50.61	20	"P:GO:0010959; P:GO:0032412; P:GO:0042391; P:GO:0043270; P:GO:0045184; P:GO:0048522; P:GO:0048666; P:GO:0050896; P:GO:0061024; P:GO:0072659; P:GO:0098876; P:GO:1904062; F:GO:0005515; C:GO:0005737; C:GO:0012505; C:GO:0043231; C:GO:0043232; C:GO:0044304; C:GO:0045202; C:GO:0098590"	"P:regulation of metal ion transport; P:regulation of ion transmembrane transporter activity; P:regulation of membrane potential; P:positive regulation of ion transport; P:establishment of protein localization; P:positive regulation of cellular process; P:neuron development; P:response to stimulus; P:membrane organization; P:protein localization to plasma membrane; P:vesicle-mediated transport to the plasma membrane; P:regulation of cation transmembrane transport; F:protein binding; C:cytoplasm; C:endomembrane system; C:intracellular membrane-bounded organelle; C:intracellular non-membrane-bounded organelle; C:main axon; C:synapse; C:plasma membrane region"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1409	"Coil (COILS); IPR002110 (SMART); IPR036770 (G3DSA:1.25.40.GENE3D); IPR000477 (PFAM); IPR020683 (PFAM); IPR036691 (G3DSA:3.60.10.GENE3D); IPR036770 (G3DSA:1.25.40.GENE3D); IPR036770 (G3DSA:1.25.40.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24178:SF9 (PANTHER); PTHR24178:SF9 (PANTHER); PTHR24178 (PANTHER); PTHR24178:SF9 (PANTHER); PTHR24178 (PANTHER); PTHR24178 (PANTHER); PTHR24178 (PANTHER); PTHR24178:SF9 (PANTHER); PS50297 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR000477 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); cd01650 (CDD); IPR036770 (SUPERFAMILY); IPR043502 (SUPERFAMILY); IPR036691 (SUPERFAMILY); IPR036770 (SUPERFAMILY)"	"F:GO:0005515"	"F:protein binding"	"XP_015759427.1"	1410	1	0	72.35	NA	NA	NA	NA	NA
"Pver_gene_g463"	2.10781488725035e-09	3.5832853083256e-08	"CUED2_MOUSECUE domain-containing protein 2 OS=Mus musculus OX=10090 GN=Cuedc2 PE=1 SV=1"	338	5	3.63e-46	51.5	1	"C:GO:0005634"	"C:nucleus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	337	"IPR039784 (PANTHER); IPR039805 (CDD)"	NA	NA	"XP_027045706.1"	338	1	5.1e-179	98.81	NA	NA	NA	NA	NA
"Pver_gene_g22477"	3.05755413525385e-09	5.15184342789675e-08	NA	206	NA	NA	NA	NA	NA	NA	NA	NA	"A0A432IA40_9GAMMCCHC-type domain-containing protein OS=Gammaproteobacteria bacterium OX=1913989 GN=DSY43_00675 PE=4 SV=1"	206	5	1.34e-84	73.99	2	"F:GO:0003676; F:GO:0008270"	"F:nucleic acid binding; F:zinc ion binding"	NA	NA	206	"PTHR22955:SF60 (PANTHER); PTHR22955 (PANTHER)"	NA	NA	"XP_029181536.1"	206	1	9.1e-70	60.58	NA	NA	NA	NA	NA
"Pver_gene_g20221"	3.11457628071033e-09	5.2018888056776e-08	"MAK5_CRYNBATP-dependent RNA helicase MAK5 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=MAK5 PE=3 SV=1"	495	5	7.85e-46	49.64	13	"P:GO:0006364; P:GO:0008150; P:GO:0042254; F:GO:0000166; F:GO:0003676; F:GO:0003723; F:GO:0003724; F:GO:0004386; F:GO:0005524; F:GO:0016787; F:GO:0140603; C:GO:0005634; C:GO:0005730"	"P:rRNA processing; P:biological_process; P:ribosome biogenesis; F:nucleotide binding; F:nucleic acid binding; F:RNA binding; F:RNA helicase activity; F:helicase activity; F:ATP binding; F:hydrolase activity; F:obsolete ATP hydrolysis activity; C:nucleus; C:nucleolus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	494	"IPR014001 (SMART); IPR011545 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR011545 (PFAM); IPR011545 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24031 (PANTHER); PTHR24031:SF91 (PANTHER); PTHR24031:SF91 (PANTHER); IPR000629 (PROSITE_PATTERNS); IPR000629 (PROSITE_PATTERNS); IPR014001 (PROSITE_PROFILES); IPR014001 (PROSITE_PROFILES); IPR027417 (SUPERFAMILY); IPR027417 (SUPERFAMILY); IPR027417 (SUPERFAMILY)"	"F:GO:0003676; F:GO:0005524"	"F:nucleic acid binding; F:ATP binding"	"PFX31289.1"	495	1	7.4e-118	72.64	2	"F:GO:0000166; F:GO:0004386"	"F:nucleotide binding; F:helicase activity"	NA	NA
"Pver_gene_g16561"	3.66160763444984e-09	6.06234863999347e-08	NA	1116	NA	NA	NA	NA	NA	NA	NA	NA	"A0A3M6UUF6_POCDARetrotrans_gag domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00023520 PE=4 SV=1"	1116	5	5.51e-165	95.54	NA	NA	NA	NA	NA	1116	"Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)"	NA	NA	"RMX57229.1"	1116	1	2e-126	92.16	NA	NA	NA	NA	NA
"Pver_gene_g15730"	4.32059366993783e-09	7.09173305824278e-08	"YRD6_CAEELUncharacterized protein K02A2.6 OS=Caenorhabditis elegans OX=6239 GN=K02A2.6 PE=4 SV=1"	847	1	1.04e-15	44.92	4	"P:GO:0015074; F:GO:0003676; F:GO:0008270; F:GO:0046872"	"P:DNA integration; F:nucleic acid binding; F:zinc ion binding; F:metal ion binding"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	846	"Coil (COILS); G3DSA:3.10.10.10 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR33198:SF9 (PANTHER); PTHR33198 (PANTHER); PTHR33198 (PANTHER); IPR043502 (SUPERFAMILY)"	NA	NA	"XP_015770939.1"	847	1	1.3e-207	70.82	NA	NA	NA	NA	NA
