"gene"	"pval.treatment"	"adj.pval.treatment"	"Query"	"Source"	"Hit_accession"	"Hit_description"	"Query_length"	"Hit_length"	"Identity."	"bitscore"	"evalue"	"Coverage"	"Organism"	"Gene_ontology_IDs"
"Pver_gene_g18882"	2.31979638521342e-64	3.16673295639679e-61	"Pver_g18882.t1"	"trembl"	"A0A2B4REX4"	"ATP synthase subunit gamma, mitochondrial"	457	139	74.8	154	4.08e-39	41.00294985	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0015986; GO:0045261; GO:0046933"
"Pver_gene_g16429"	1.4443203369485e-63	1.80732618163489e-60	"Pver_g16429.t1"	"swiss-prot"	"P04323"	"Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]"	1775	438	42.9	360	4.33e-103	41.39886578	"Drosophila melanogaster (Fruit fly)"	"GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074"
"Pver_gene_g15129"	1.89239535757363e-63	2.1858622068712e-60	"Pver_g15129.t2"	"swiss-prot"	"A6ZM04"	"ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1) (Petite integration frequency protein 1) (Telomere stability protein 1)"	2428	339	27.7	96.3	2.1e-18	39.4644936	"Saccharomyces cerevisiae (strain YJM789) (Baker's yeast)"	"GO:0000002; GO:0000723; GO:0005524; GO:0005730; GO:0005743; GO:0006281; GO:0006310; GO:0010521; GO:0032211; GO:0043139; GO:0051880"
"Pver_gene_g18663"	1.89437994724304e-62	2.03185780627153e-59	"Pver_g18663.t1"	"trembl"	"A0A2B4REM0"	"Uncharacterized protein"	773	407	61.2	530	3.71e-174	49.81640147	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003676; GO:0008270"
"Pver_gene_g20104"	1.03220612952615e-61	1.03330714939764e-58	"Pver_g20104.t1"	"trembl"	"A0A2B4RBG6"	"Nucleotide-binding oligomerization domain-containing protein 2"	1229	541	29	214	2.85e-52	20.11900335	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0015074"
"Pver_gene_g3139"	5.3636150150354e-60	5.03375269161072e-57	"Pver_g3139.t1"	"swiss-prot"	"P0CT40"	"Transposon Tf2-9 polyprotein (Retrotransposable element Tf2 155 kDa protein)"	1661	996	25.2	265	1.04e-70	74.71867967	"Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)"	"GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0005737; GO:0006310; GO:0015074; GO:0046872"
"Pver_gene_g3320"	5.66787658217485e-58	4.7632692217067e-55	"Pver_g3320.t1"	"trembl"	"A0A2B4SJE5"	"SEFIR domain-containing protein"	473	269	71.4	402	6.46e-131	42.63074485	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0005102; GO:0007399; GO:0016021"
"Pver_gene_g20246"	5.70983257796487e-58	4.7632692217067e-55	"Pver_g20246.t1"	"trembl"	"A0A2B4STA7"	"HECT domain-containing protein"	888	366	28.4	142	7.65e-31	22.15496368	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003677; GO:0004842"
"Pver_gene_g3224"	1.379550067153e-49	1.0902802004405e-46	"Pver_g3224.t1"	"trembl"	"A0A2B4RGN4"	"Putative RNA-directed DNA polymerase from transposon X-element"	738	255	43.137	239	6.85e-65	33.68560106	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003964"
"Pver_gene_g26480"	2.54190647214236e-49	1.90846337928448e-46	"Pver_g26480.t1"	"trembl"	"A0A3M6TB70"	"Uncharacterized protein"	1067	106	96.2	225	1.03e-56	9.878844362	"Pocillopora damicornis"	""
"Pver_gene_g5096"	4.5257060150552e-48	3.23609531057471e-45	"Pver_g5096.t1"	"swiss-prot"	"Q8CBF3"	"Ephrin type-B receptor 1 (EC 2.7.10.1)"	868	444	51.4	467	3.51e-149	45.12195122	"Mus musculus (Mouse)"	"GO:0001525; GO:0001771; GO:0004713; GO:0004714; GO:0005005; GO:0005524; GO:0005737; GO:0005783; GO:0005829; GO:0005886; GO:0005887; GO:0007169; GO:0007411; GO:0008046; GO:0014719; GO:0016020; GO:0021545; GO:0021631; GO:0021952; GO:0022008; GO:0030010; GO:0030424; GO:0030425; GO:0031290; GO:0031589; GO:0031901; GO:0032433; GO:0043235; GO:0044877; GO:0045121; GO:0046328; GO:0046777; GO:0048013; GO:0048593; GO:0050804; GO:0050965; GO:0051965; GO:0060326; GO:0060996; GO:0060997; GO:0061351; GO:0070372; GO:0098978; GO:1901214; GO:1902723; GO:1902725"
"Pver_gene_g21328"	6.06305295025964e-48	4.13830923186813e-45	"Pver_g21328.t1"	"swiss-prot"	"Q5SVZ6"	"Zinc finger MYM-type protein 1"	404	262	31.3	124	2.09e-29	22.94220665	"Homo sapiens (Human)"	"GO:0000981; GO:0005634; GO:0006357; GO:0008270; GO:0022604; GO:0046983"
"Pver_gene_g10920"	4.44042918026211e-47	2.89902106829634e-44	"Pver_g10920.t1"	"trembl"	"A0A0V0VBB5"	"Integrase catalytic domain-containing protein"	1269	1245	29.3	526	2.2e-158	75	"Trichinella sp. T9"	"GO:0015074"
"Pver_gene_g22383"	2.00719169058012e-45	1.2558329344063e-42	"Pver_g22383.t1"	"trembl"	"A0A2B4RWF6"	"TRAF-type zinc finger domain-containing protein 1"	225	226	62.832	315	3.17e-98	24.59194777	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003676; GO:0008270; GO:0015074"
"Pver_gene_g23362"	4.59425424347148e-45	2.75949286879871e-42	"Pver_g23362.t2"	"swiss-prot"	"Q2Q426"	"Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312)"	1985	130	44.6	108	1.7e-22	15.81508516	"Macaca mulatta (Rhesus macaque)"	"GO:0004930; GO:0005509; GO:0005887; GO:0006954; GO:0007155; GO:0007166; GO:0007189; GO:0016477; GO:0031256; GO:0032587; GO:0035374; GO:0071621"
"Pver_gene_g20911"	7.61350113743788e-45	4.3970897338372e-42	"Pver_g20911.t1"	"trembl"	"A0A2B4SDI7"	"DED domain-containing protein"	789	420	92.9	832	0	30.28118241	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0042981"
"Pver_gene_g18917"	3.26312541329685e-43	1.8147811557802e-40	"Pver_g18917.t1"	"swiss-prot"	"P03363"	"Gag-Pro-Pol polyprotein (Pr160Gag-Pro-Pol) [Cleaved into: Matrix protein p19 (MA); Capsid protein p24 (CA); Nucleocapsid protein p15-pro (NC') (NC-pro); Protease (PR) (EC 3.4.23.-); p1; Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]"	361	111	35.1	63.9	9.69e-10	7.597535934	"Human T-cell leukemia virus 2 (HTLV-2)"	"GO:0003677; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0005198; GO:0006310; GO:0008270; GO:0015074; GO:0019013; GO:0039657; GO:0044826; GO:0046718; GO:0075713"
"Pver_gene_g19236"	6.13902119310122e-43	3.29226936555742e-40	"Pver_g19236.t2"	"swiss-prot"	"Q91ZX1"	"CD209 antigen-like protein A (Dendritic cell-specific ICAM-3-grabbing non-integrin) (DC-SIGN) (CD antigen CD209)"	721	100	36	52.8	3.05e-06	42.01680672	"Mus musculus (Mouse)"	"GO:0001618; GO:0005537; GO:0006897; GO:0009986; GO:0016021; GO:0030246; GO:0042129; GO:0046872; GO:0048306; GO:0097367"
"Pver_gene_g1162"	3.22050034126527e-42	1.66636556395604e-39	"Pver_g1162.t1"	"trembl"	"A0A2B4SW95"	"Uncharacterized protein"	514	352	62.784	457	5.19e-155	82.43559719	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0009405; GO:0090729"
"Pver_gene_g23759"	3.329180002576e-42	1.66636556395604e-39	"Pver_g23759.t1"	"trembl"	"A0A2B4RPY3"	"Histidine ammonia-lyase"	754	450	49.333	372	1.33e-116	81.52173913	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0016829"
"Pver_gene_g16862"	5.68838563886861e-42	2.75538060494358e-39	"Pver_g16862.t1"	"swiss-prot"	"O00370"	"LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]"	952	501	24.6	144	9.56e-34	39.29411765	"Homo sapiens (Human)"	"GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305"
"Pver_gene_g17189"	1.51318594483713e-39	7.10062504614824e-37	"Pver_g17189.t1"	"swiss-prot"	"P21329"	"RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)"	899	412	26.9	136	1.58e-31	44.97816594	"Drosophila funebris (Fruit fly)"	"GO:0003964"
"Pver_gene_g22382"	5.14374285479906e-39	2.34055886992917e-36	"Pver_g22382.t1"	"trembl"	"A0A2B4S391"	"Retrovirus-related Pol polyprotein"	226	149	59.1	186	1.52e-50	13.3393017	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003676; GO:0004842; GO:0015074"
"Pver_gene_g25550"	1.42950094823223e-38	6.31334889372212e-36	"Pver_g25550.t1"	"swiss-prot"	"Q5SVZ6"	"Zinc finger MYM-type protein 1"	234	273	22	68.6	5.29e-12	23.90542907	"Homo sapiens (Human)"	"GO:0000981; GO:0005634; GO:0006357; GO:0008270; GO:0022604; GO:0046983"
"Pver_gene_g22397"	1.57301848612066e-38	6.74869873931083e-36	"Pver_g22397.t1"	"swiss-prot"	"P20825"	"Retrovirus-related Pol polyprotein from transposon 297 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]"	194	136	36.029	90.9	3.08e-20	12.84230406	"Drosophila melanogaster (Fruit fly)"	"GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074"
"Pver_gene_g13767"	6.042271261046e-38	2.52029847932963e-35	"Pver_g13767.t1"	"trembl"	"A0A2B4RLU3"	"TBC1 domain family member 2B"	1699	171	63.7	207	7.72e-50	9.721432632	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003676; GO:0008270"
"Pver_gene_g18916"	1.33295177179931e-36	5.40962265009146e-34	"Pver_g18916.t2"	"swiss-prot"	"Q00962"	"Enzymatic polyprotein [Includes: Aspartic protease (EC 3.4.23.-); Endonuclease; Reverse transcriptase (EC 2.7.7.49)]"	578	145	33.8	80.5	1.31e-14	21.32352941	"Cauliflower mosaic virus (strain NY8153) (CaMV)"	"GO:0003964; GO:0004190; GO:0004519"
"Pver_gene_g23360"	4.64757079695565e-36	1.83652429176542e-33	"Pver_g23360.t1"	"swiss-prot"	"P0CT34"	"Transposon Tf2-1 polyprotein (Retrotransposable element Tf2 155 kDa protein)"	720	499	23.046	127	6.27e-29	37.43435859	"Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)"	"GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0005634; GO:0006310; GO:0015074; GO:0046872"
"Pver_gene_g22425"	5.99146414238731e-36	2.30686732210482e-33	"Pver_g22425.t1"	"swiss-prot"	"Q09575"	"Uncharacterized protein K02A2.6"	217	208	41.3	154	4.25e-42	16.40378549	"Caenorhabditis elegans"	"GO:0003676; GO:0008270; GO:0015074"
"Pver_gene_g16468"	6.50717750869542e-36	2.44279443676426e-33	"Pver_g16468.t1"	"trembl"	"A0A2B4RDL9"	"Ubiquitin thioesterase otu2"	442	175	48	173	7.8e-45	32.22836096	"Stylophora pistillata (Smooth cauliflower coral)"	""
"Pver_gene_g21811"	2.19893814097881e-34	8.05347685974092e-32	"Pver_g21811.t1"	"trembl"	"A0A2B4RCX6"	"CCHC-type domain-containing protein"	268	163	49.7	157	3.29e-40	25.27131783	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003676; GO:0008270; GO:0016021"
"Pver_gene_g6852"	4.23600547118042e-34	1.51447281322012e-31	"Pver_g6852.t1"	"swiss-prot"	"Q96RW7"	"Hemicentin-1 (Fibulin-6) (FIBL-6)"	2308	326	28.5	99	6.36e-19	5.78527063	"Homo sapiens (Human)"	"GO:0005201; GO:0005509; GO:0005604; GO:0005913; GO:0005938; GO:0007049; GO:0007156; GO:0007157; GO:0007601; GO:0009617; GO:0032154; GO:0038023; GO:0042803; GO:0050839; GO:0051301; GO:0062023; GO:0070062"
"Pver_gene_g18398"	5.85079636426377e-34	2.0431525164136e-31	"Pver_g18398.t1"	"trembl"	"A0A2B4RCU6"	"Proto-oncogene tyrosine-protein kinase receptor Ret"	1588	354	85	619	0	65.55555556	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0004672; GO:0005524"
"Pver_gene_g26663"	9.15220450790735e-33	3.12339779297129e-30	"Pver_g26663.t2"	"swiss-prot"	"P14381"	"Transposon TX1 uncharacterized 149 kDa protein (ORF 2)"	1992	91	47.253	84	1.13e-14	6.957186544	"Xenopus laevis (African clawed frog)"	""
"Pver_gene_g18124"	1.40231935360235e-32	4.67938386970954e-30	"Pver_g18124.t1"	"trembl"	"A0A2B4S0C2"	"Transposon Ty3-I Gag-Pol polyprotein"	931	297	59.3	353	7.54e-101	22.95208655	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003676; GO:0008270; GO:0015074"
"Pver_gene_g18399"	2.00572343861462e-31	6.54737894657328e-29	"Pver_g18399.t1"	"trembl"	"A0A2B4R5D9"	"Uncharacterized protein"	961	308	97.7	614	0	50.82508251	"Stylophora pistillata (Smooth cauliflower coral)"	""
"Pver_gene_g18915"	3.5114125542591e-31	1.12185895563308e-28	"Pver_g18915.t1"	"swiss-prot"	"Q9PUK5"	"Paired box protein Pax-8 (XPax-8)"	266	122	34.4	70.1	1.66e-12	26.23655914	"Xenopus laevis (African clawed frog)"	"GO:0001655; GO:0005654; GO:0007367; GO:0035565; GO:0039003; GO:0039020; GO:0042981; GO:0044212; GO:0045893; GO:0048793; GO:0071300; GO:1900212; GO:1900218; GO:2000611"
"Pver_gene_g21139"	1.00249723432189e-30	3.13614551470365e-28	"Pver_g21139.t1"	"swiss-prot"	"Q99315"	"Transposon Ty3-G Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-1 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p61 (IN); Integrase p58 (IN)]"	743	209	32.5	104	1.26e-21	13.51001939	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	"GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0008233; GO:0008270; GO:0015074; GO:0032197"
"Pver_gene_g22454"	7.99310271123657e-30	2.44947816963119e-27	"Pver_g22454.t1"	"swiss-prot"	"P04323"	"Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]"	211	129	38.8	92.8	1.4e-20	12.19281664	"Drosophila melanogaster (Fruit fly)"	"GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074"
"Pver_gene_g21675"	1.61938372401125e-29	4.8633331999506e-27	"Pver_g21675.t1"	"swiss-prot"	"P10394"	"Retrovirus-related Pol polyprotein from transposon 412 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]"	463	237	34.2	138	9.32e-34	19.15925627	"Drosophila melanogaster (Fruit fly)"	"GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074"
"Pver_gene_g15592"	5.83350794658697e-29	1.71756775148921e-26	"Pver_g15592.t2"	"swiss-prot"	"Q96F44"	"E3 ubiquitin-protein ligase TRIM11 (EC 2.3.2.27) (Protein BIA1) (RING finger protein 92) (RING-type E3 ubiquitin transferase TRIM11) (Tripartite motif-containing protein 11)"	2492	55	43.6	59.7	2.1e-07	11.75213675	"Homo sapiens (Human)"	"GO:0005654; GO:0005737; GO:0005829; GO:0008134; GO:0008270; GO:0019904; GO:0032897; GO:0045087; GO:0045892; GO:0046597; GO:0046598; GO:0050768; GO:0051607; GO:0061630; GO:1902187"
"Pver_gene_g22608"	3.19641358221483e-28	9.23025891356497e-26	"Pver_g22608.t1"	"swiss-prot"	"P04323"	"Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]"	189	182	37.4	125	2.81e-32	17.20226843	"Drosophila melanogaster (Fruit fly)"	"GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074"
"Pver_gene_g18593"	4.64877997692654e-26	1.31709585157602e-23	"Pver_g18593.t1"	"swiss-prot"	"Q8AV58"	"Protein sidekick-1"	1378	219	34.7	89.7	1.43e-16	10.09681881	"Gallus gallus (Chicken)"	"GO:0005886; GO:0007156; GO:0007416; GO:0010842; GO:0016021; GO:0030054; GO:0042802; GO:0045202"
"Pver_gene_g15368"	9.18783440223663e-26	2.55489854414787e-23	"Pver_g15368.t1"	"swiss-prot"	"P08548"	"LINE-1 reverse transcriptase homolog (EC 2.7.7.49)"	829	165	24.2	53.1	9.95e-06	13.0952381	"Nycticebus coucang (Slow loris)"	"GO:0003964; GO:0046872"
"Pver_gene_g22207"	1.74854001688922e-25	4.77383216247427e-23	"Pver_g22207.t1"	"trembl"	"A0A2B4REM0"	"Uncharacterized protein"	264	265	45.7	225	1.31e-64	32.43574051	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003676; GO:0008270"
"Pver_gene_g19578"	3.95101041610331e-25	1.05943522157513e-22	"Pver_g19578.t1"	"swiss-prot"	"P34456"	"Uncharacterized protein F54H12.2"	2632	279	21.1	58.2	7.22e-07	66.58711217	"Caenorhabditis elegans"	"GO:0004748; GO:0005829; GO:0009263"
"Pver_gene_g18605"	6.91522045115845e-25	1.82173597008062e-22	"Pver_g18605.t1"	"trembl"	"A0A085NQS3"	"Integrase catalytic domain-containing protein"	1816	832	41.5	625	0	46.61064426	"Trichuris suis (pig whipworm)"	"GO:0003676; GO:0008270; GO:0015074"
"Pver_gene_g14764"	4.72620547447393e-24	1.22359830008104e-21	"Pver_g14764.t2"	"swiss-prot"	"P42698"	"DNA-damage-repair/toleration protein DRT111, chloroplastic (REQUIRED FOR SNC4-1D protein 2)"	1523	138	50	129	8.85e-31	35.65891473	"Arabidopsis thaliana (Mouse-ear cress)"	"GO:0000380; GO:0000381; GO:0003723; GO:0005634; GO:0005737; GO:0006281; GO:0009507; GO:0043484"
"Pver_gene_g3229"	4.97923898022015e-24	1.26725851740654e-21	"Pver_g3229.t1"	"trembl"	"A0A2B4S3W2"	"Uncharacterized protein"	2725	245	80.8	408	1.44e-122	47.66536965	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0008270"
"Pver_gene_g15930"	1.15434261874183e-23	2.88893479383789e-21	"Pver_g15930.t1"	"swiss-prot"	"Q54P70"	"OTU domain-containing protein DDB_G0284757 (EC 3.1.2.-)"	601	133	39.1	81.3	1.12e-14	17.36292428	"Dictyostelium discoideum (Slime mold)"	"GO:0004843"
"Pver_gene_g19902"	1.87896169219336e-23	4.62532602786484e-21	"Pver_g19902.t1"	"swiss-prot"	"B0BN95"	"Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)"	345	281	40.2	213	2.69e-65	80.51575931	"Rattus norvegicus (Rat)"	"GO:0004518; GO:0005634; GO:0005737; GO:0046872"
"Pver_gene_g22341"	5.75529456244656e-23	1.3938952120919e-20	"Pver_g22341.t1"	"trembl"	"V4AX35"	"Integrase catalytic domain-containing protein"	220	169	66.864	237	6.09e-72	30.95238095	"Lottia gigantea (Giant owl limpet)"	"GO:0015074"
"Pver_gene_g19875"	6.09877441093462e-23	1.45363804054912e-20	"Pver_g19875.t1"	"swiss-prot"	"A9UXG6"	"RNA-splicing ligase RtcB homolog (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase)"	263	80	86.3	150	4.15e-41	16.09657948	"Monosiga brevicollis (Choanoflagellate)"	"GO:0000971; GO:0003972; GO:0005524; GO:0005634; GO:0006388; GO:0046872; GO:0072669"
"Pver_gene_g13552"	1.23050350211087e-22	2.88706884182764e-20	"Pver_g13552.t1"	"swiss-prot"	"Q95SX7"	"Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)"	675	144	38.2	90.9	1.33e-17	15.89403974	"Drosophila melanogaster (Fruit fly)"	"GO:0003964; GO:0006313"
"Pver_gene_g23615"	1.43002986794794e-22	3.30358899955481e-20	"Pver_g23615.t1"	"swiss-prot"	"O02751"	"Craniofacial development protein 2 (p97 bucentaur protein)"	1025	245	27.8	110	1.64e-23	41.38513514	"Bos taurus (Bovine)"	"GO:0005634; GO:0005737"
"Pver_gene_g21900"	1.54561317150555e-22	3.516504148989e-20	"Pver_g21900.t1"	"trembl"	"A0A2B4SVL4"	"Putative 115 kDa protein"	262	261	46.7	246	6.42e-71	9.592061742	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003676; GO:0015074"
"Pver_gene_g20411"	2.80167964494066e-22	6.27910769379536e-20	"Pver_g20411.t1"	"trembl"	"A0A2B4REM0"	"Uncharacterized protein"	1949	205	83.415	349	7.61e-99	25.09179927	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003676; GO:0008270"
"Pver_gene_g1841"	2.99986802510269e-22	6.62441445072676e-20	"Pver_g1841.t2"	"trembl"	"A0A2B4RWF6"	"TRAF-type zinc finger domain-containing protein 1"	865	496	60.9	590	0	53.97170838	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003676; GO:0008270; GO:0015074"
"Pver_gene_g20055"	6.19639375552554e-22	1.34847896569524e-19	"Pver_g20055.t1"	"trembl"	"A0A2B4R8Q2"	"Uncharacterized protein"	2453	204	91.176	377	9.24e-102	11.02106969	"Stylophora pistillata (Smooth cauliflower coral)"	""
"Pver_gene_g18032"	9.73801346533906e-22	2.0889430027933e-19	"Pver_g18032.t1"	"trembl"	"A0A2B4RI31"	"Neurofilament medium polypeptide"	498	422	38.6	276	5.44e-79	39.43925234	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003677; GO:0006310; GO:0015074"
"Pver_gene_g22503"	1.66392128667262e-21	3.5190763437572e-19	"Pver_g22503.t1"	"swiss-prot"	"Q8BPK2"	"Zinc finger CCHC domain-containing protein 3"	203	76	35.5	62.8	1.41e-10	19	"Mus musculus (Mouse)"	"GO:0002218; GO:0003690; GO:0003723; GO:0005737; GO:0008270; GO:0009597; GO:0032481; GO:0045087; GO:0051607; GO:0071360; GO:1900246"
