Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110205BF3C56A578D7D6DFD1FC81EE5DA77302442306
A0A2B4SD63	A0A2B4SD63_STYPI	unreviewed	adrb1 AWC38_SpisGene8843	Stylophora pistillata (Smooth cauliflower coral)	Beta-1 adrenergic receptor	1233	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX26472.1
A0A3M6UE16	A0A3M6UE16_POCDA	unreviewed	pdam_00012172	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F3_4 domain-containing protein	992	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled GABA receptor activity [GO:0004965]	GO:0004965; GO:0005886; GO:0016021	RMX51920.1
A0A3M6UQ55	A0A3M6UQ55_POCDA	unreviewed	pdam_00015510	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1485	integral component of membrane [GO:0016021]	GO:0016021	RMX55751.1
A0A3M6UQ37	A0A3M6UQ37_POCDA	unreviewed	pdam_00015506	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	575	integral component of membrane [GO:0016021]	GO:0016021	RMX55731.1
A0A3M6UQ19	A0A3M6UQ19_POCDA	unreviewed	pdam_00015505	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	368			RMX55732.1
A0A3M6UQ17	A0A3M6UQ17_POCDA	unreviewed	pdam_00015498	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BHLH domain-containing protein	341	protein dimerization activity [GO:0046983]	GO:0046983	RMX55750.1
A0A3M6UX92	A0A3M6UX92_POCDA	unreviewed	pdam_00000006	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	350			RMX58271.1
A0A2B4RAG9	A0A2B4RAG9_STYPI	unreviewed	nphp3 AWC38_SpisGene22550	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	1223	kinesin complex [GO:0005871]; microtubule [GO:0005874]	GO:0005871; GO:0005874	PFX13368.1
A0A3M6TBN1	A0A3M6TBN1_POCDA	unreviewed	pdam_00016769	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PWWP domain-containing protein	595			RMX38806.1
A0A3M6TBQ4	A0A3M6TBQ4_POCDA	unreviewed	pdam_00016771	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	UPAR/Ly6 domain-containing protein (Fragment)	124	integral component of membrane [GO:0016021]	GO:0016021	RMX38812.1
A0A2B4RSD5	A0A2B4RSD5_STYPI	unreviewed	Pkd1l2 AWC38_SpisGene16337	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 2	2856	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005886; GO:0016021	PFX19267.1
A0A3M6UG31	A0A3M6UG31_POCDA	unreviewed	pdam_00019397	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	655			RMX52576.1
A0A2B4S409	A0A2B4S409_STYPI	unreviewed	LRG1 AWC38_SpisGene12161	Stylophora pistillata (Smooth cauliflower coral)	Leucine-rich alpha-2-glycoprotein	974	integral component of membrane [GO:0016021]	GO:0016021	PFX23298.1
A0A3M6T7U5	A0A3M6T7U5_POCDA	unreviewed	pdam_00024112	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	VWFA domain-containing protein (Fragment)	1259	integral component of membrane [GO:0016021]; calcium channel activity [GO:0005262]	GO:0005262; GO:0016021	RMX37485.1
A0A3M6V5C3	A0A3M6V5C3_POCDA	unreviewed	pdam_00010519	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	UPAR/Ly6 domain-containing protein	448	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]	GO:0016811	RMX61080.1
A0A2B4S395	A0A2B4S395_STYPI	unreviewed	ABCC4 AWC38_SpisGene12462	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	1251	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	PFX22992.1
A0A3M6V152	A0A3M6V152_POCDA	unreviewed	pdam_00020257	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	935	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	RMX59610.1
A0A3M6V1P4	A0A3M6V1P4_POCDA	unreviewed	pdam_00020337	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	621			RMX59845.1
A0A3M6T4T6	A0A3M6T4T6_POCDA	unreviewed	pdam_00003850	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	678	calcium ion binding [GO:0005509]	GO:0005509	RMX35551.1
A0A2B4RI60	A0A2B4RI60_STYPI	unreviewed	AWC38_SpisGene19714	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	401			PFX16047.1
A0A2B4RXV7	A0A2B4RXV7_STYPI	unreviewed	HELZ2 AWC38_SpisGene14435	Stylophora pistillata (Smooth cauliflower coral)	Helicase with zinc finger domain 2	6685	helicase activity [GO:0004386]; metal ion binding [GO:0046872]; nuclear receptor coactivator activity [GO:0030374]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]	GO:0003723; GO:0004386; GO:0004540; GO:0030374; GO:0046872	PFX21082.1
A0A2B4SMD7	A0A2B4SMD7_STYPI	unreviewed	K02A2.6 AWC38_SpisGene5157	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	868			PFX30040.1
A0A3M6TGS2	A0A3M6TGS2_POCDA	unreviewed	pdam_00022723	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2203	catalytic activity [GO:0003824]; signal transduction [GO:0007165]	GO:0003824; GO:0007165	RMX40602.1
A0A3M6UQA4	A0A3M6UQA4_POCDA	unreviewed	pdam_00009567	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	971	zinc ion binding [GO:0008270]	GO:0008270	RMX55805.1
A0A2B4SZK7	A0A2B4SZK7_STYPI	unreviewed	RNF14 AWC38_SpisGene883	Stylophora pistillata (Smooth cauliflower coral)	Phosphatidylinositol-3,4-bisphosphate 4-phosphatase (EC 3.1.3.66)	1339	metal ion binding [GO:0046872]; phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity [GO:0016316]; phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity [GO:0034597]; transferase activity [GO:0016740]	GO:0016316; GO:0016740; GO:0034597; GO:0046872	PFX34300.1
A0A3M6UR39	A0A3M6UR39_POCDA	unreviewed	pdam_00009582	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	470			RMX55818.1
A0A3M6UQC8	A0A3M6UQC8_POCDA	unreviewed	pdam_00009583	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	AKAP7_NLS domain-containing protein	366			RMX55819.1
A0A2B4SYV3	A0A2B4SYV3_STYPI	unreviewed	mab21l2 AWC38_SpisGene874	Stylophora pistillata (Smooth cauliflower coral)	Protein mab-21-like 2	1814			PFX34273.1
A0A2B4SUN0	A0A2B4SUN0_STYPI	unreviewed	AWC38_SpisGene2292	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	584			PFX32859.1
A0A3M6URU5	A0A3M6URU5_POCDA	unreviewed	pdam_00011433	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	339			RMX56277.1
A0A2B4SHE8	A0A2B4SHE8_STYPI	unreviewed	Slc9b2 AWC38_SpisGene6474	Stylophora pistillata (Smooth cauliflower coral)	Mitochondrial sodium/hydrogen exchanger 9B2	762	integral component of membrane [GO:0016021]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; solute:proton antiporter activity [GO:0015299]	GO:0003924; GO:0005525; GO:0015299; GO:0016021	PFX28806.1
A0A2B4SDM5	A0A2B4SDM5_STYPI	unreviewed	AWC38_SpisGene6480	Stylophora pistillata (Smooth cauliflower coral)	Putative methyltransferase-like C25B8.10	325	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259	PFX28774.1
A0A3M6URS3	A0A3M6URS3_POCDA	unreviewed	pdam_00011447	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	793			RMX56264.1
A0A3M6URI3	A0A3M6URI3_POCDA	unreviewed	pdam_00011448	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Metalloendopeptidase (EC 3.4.24.-)	346	extracellular region [GO:0005576]; nematocyst [GO:0042151]; metalloendopeptidase activity [GO:0004222]; toxin activity [GO:0090729]; zinc ion binding [GO:0008270]	GO:0004222; GO:0005576; GO:0008270; GO:0042151; GO:0090729	RMX56261.1
A0A3M6TGX8	A0A3M6TGX8_POCDA	unreviewed	pdam_00009878	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	528	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211	RMX40655.1
A0A3M6TGV2	A0A3M6TGV2_POCDA	unreviewed	pdam_00009885	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	572	integral component of membrane [GO:0016021]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037	RMX40625.1
A0A3M6UGF3	A0A3M6UGF3_POCDA	unreviewed	pdam_00014222	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	129			RMX52767.1
A0A2B4SX28	A0A2B4SX28_STYPI	unreviewed	Svep1 AWC38_SpisGene1216	Stylophora pistillata (Smooth cauliflower coral)	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	320			PFX33886.1
A0A3M6UUD8	A0A3M6UUD8_POCDA	unreviewed	pdam_00010588	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	5133	integral component of membrane [GO:0016021]	GO:0016021	RMX57245.1
A0A2B4RYL7	A0A2B4RYL7_STYPI	unreviewed	Col6a6 AWC38_SpisGene13211	Stylophora pistillata (Smooth cauliflower coral)	Collagen alpha-6(VI) chain	1163	collagen trimer [GO:0005581]	GO:0005581	PFX22256.1
A0A2B4SVE9	A0A2B4SVE9_STYPI	unreviewed	K02A2.6 AWC38_SpisGene2017	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	950	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX33159.1
A0A2B4RWE0	A0A2B4RWE0_STYPI	unreviewed	Chek2 AWC38_SpisGene14865	Stylophora pistillata (Smooth cauliflower coral)	Serine/threonine-protein kinase Chk2	1026	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	PFX20648.1
A0A2B4RZF6	A0A2B4RZF6_STYPI	unreviewed	CKM AWC38_SpisGene12437	Stylophora pistillata (Smooth cauliflower coral)	Creatine kinase M-type	722	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]	GO:0004111; GO:0005524; GO:0046314	PFX23021.1
A0A2B4S1U3	A0A2B4S1U3_STYPI	unreviewed	Pdik1l AWC38_SpisGene12435	Stylophora pistillata (Smooth cauliflower coral)	Serine/threonine-protein kinase PDIK1L	804	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	PFX23019.1
A0A3M6TUV2	A0A3M6TUV2_POCDA	unreviewed	pdam_00022665	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	203	calcium ion binding [GO:0005509]	GO:0005509	RMX45183.1
A0A2B4S3E9	A0A2B4S3E9_STYPI	unreviewed	Trim45 AWC38_SpisGene12429	Stylophora pistillata (Smooth cauliflower coral)	Tripartite motif-containing protein 45 (Fragment)	681	zinc ion binding [GO:0008270]	GO:0008270	PFX23005.1
A0A2B4RQV9	A0A2B4RQV9_STYPI	unreviewed	rab32A AWC38_SpisGene17003	Stylophora pistillata (Smooth cauliflower coral)	Ras-related protein Rab-32A	480	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	PFX18622.1
A0A2B4S3V6	A0A2B4S3V6_STYPI	unreviewed	Trim3 AWC38_SpisGene10825	Stylophora pistillata (Smooth cauliflower coral)	Tripartite motif-containing protein 3	1071			PFX24581.1
A0A3M6TNX9	A0A3M6TNX9_POCDA	unreviewed	pdam_00001781	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	215			RMX42944.1
A0A2B4SVK4	A0A2B4SVK4_STYPI	unreviewed	AWC38_SpisGene2669	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	476			PFX32497.1
A0A3M6TNG6	A0A3M6TNG6_POCDA	unreviewed	pdam_00001776	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Late endosomal/lysosomal adaptor and MAPK and MTOR activator 4	97	Ragulator complex [GO:0071986]; cellular response to amino acid stimulus [GO:0071230]; positive regulation of TOR signaling [GO:0032008]	GO:0032008; GO:0071230; GO:0071986	RMX42937.1
A0A3M6TNP9	A0A3M6TNP9_POCDA	unreviewed	pdam_00001771	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1152			RMX42931.1
A0A3M6UUM9	A0A3M6UUM9_POCDA	unreviewed	pdam_00023481	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1489	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]	GO:0005216; GO:0016021	RMX57396.1
A0A2B4S069	A0A2B4S069_STYPI	unreviewed	AWC38_SpisGene13535	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	326	integral component of membrane [GO:0016021]	GO:0016021	PFX21958.1
A0A2B4SQM5	A0A2B4SQM5_STYPI	unreviewed	AWC38_SpisGene2939	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein (Fragment)	963	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]	GO:0005216; GO:0016021	PFX32211.1
A0A2B4RX69	A0A2B4RX69_STYPI	unreviewed	Snap25 AWC38_SpisGene13274	Stylophora pistillata (Smooth cauliflower coral)	Synaptosomal-associated protein	460	neuron projection [GO:0043005]; nucleus [GO:0005634]; synapse [GO:0045202]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	GO:0000981; GO:0003677; GO:0005634; GO:0043005; GO:0045202	PFX22211.1
A0A3M6UG12	A0A3M6UG12_POCDA	unreviewed	pdam_00019384	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Kinesin motor domain-containing protein (Fragment)	2376	ATP binding [GO:0005524]; ATP-dependent microtubule motor activity [GO:1990939]; microtubule binding [GO:0008017]; microtubule-based movement [GO:0007018]	GO:0005524; GO:0007018; GO:0008017; GO:1990939	RMX52582.1
A0A3M6TG77	A0A3M6TG77_POCDA	unreviewed	pdam_00022241	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	6592	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX40407.1
A0A3M6UUC4	A0A3M6UUC4_POCDA	unreviewed	pdam_00021149	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1934	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX56918.1
A0A2B4RUP5	A0A2B4RUP5_STYPI	unreviewed	ubiE AWC38_SpisGene15276	Stylophora pistillata (Smooth cauliflower coral)	Demethylmenaquinone methyltransferase	223	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259	PFX20280.1
A0A2B4RJD5	A0A2B4RJD5_STYPI	unreviewed	AWC38_SpisGene17135	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	838	integral component of membrane [GO:0016021]	GO:0016021	PFX18504.1
A0A2B4SLB2	A0A2B4SLB2_STYPI	unreviewed	exu AWC38_SpisGene3751	Stylophora pistillata (Smooth cauliflower coral)	Maternal protein exuperantia	386	nucleic acid binding [GO:0003676]	GO:0003676	PFX31474.1
A0A3M6UE32	A0A3M6UE32_POCDA	unreviewed	pdam_00011648	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SF3b1 domain-containing protein	1318	spliceosomal complex [GO:0005681]; mRNA binding [GO:0003729]; spliceosomal complex assembly [GO:0000245]	GO:0000245; GO:0003729; GO:0005681	RMX51764.1
A0A3M6V6J2	A0A3M6V6J2_POCDA	unreviewed	pdam_00013726	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	THAP-type domain-containing protein	152	nucleoplasm [GO:0005654]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; cell cycle [GO:0007049]	GO:0005654; GO:0007049; GO:0043565; GO:0046872	RMX61552.1
A0A3M6TB28	A0A3M6TB28_POCDA	unreviewed	pdam_00010245	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	202			RMX38541.1
A0A3M6TTJ0	A0A3M6TTJ0_POCDA	unreviewed	pdam_00018126	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1352	integral component of membrane [GO:0016021]; apoptotic process [GO:0006915]; signal transduction [GO:0007165]	GO:0006915; GO:0007165; GO:0016021	RMX44554.1
A0A3M6TTB1	A0A3M6TTB1_POCDA	unreviewed	pdam_00018123	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TNFR-Cys domain-containing protein	291	integral component of membrane [GO:0016021]	GO:0016021	RMX44559.1
A0A3M6TD69	A0A3M6TD69_POCDA	unreviewed	pdam_00022904	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	559			RMX39239.1
A0A2B4SWX5	A0A2B4SWX5_STYPI	unreviewed	NOTUM AWC38_SpisGene1252	Stylophora pistillata (Smooth cauliflower coral)	Protein notum-like	758	integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]	GO:0016021; GO:0016787	PFX33836.1
A0A3M6UPR0	A0A3M6UPR0_POCDA	unreviewed	pdam_00022895	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	277			RMX55524.1
A0A3M6TPQ6	A0A3M6TPQ6_POCDA	unreviewed	pdam_00022678	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	395	deoxyribonucleotide biosynthetic process [GO:0009263]	GO:0009263	RMX43405.1
A0A3M6UPH7	A0A3M6UPH7_POCDA	unreviewed	pdam_00022890	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	289			RMX55521.1
A0A3M6UJP4	A0A3M6UJP4_POCDA	unreviewed	pdam_00022359	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	403			RMX53890.1
A0A2B4SDU6	A0A2B4SDU6_STYPI	unreviewed	klhl12 AWC38_SpisGene7235	Stylophora pistillata (Smooth cauliflower coral)	Kelch-like protein 12	1828	extracellular region [GO:0005576]	GO:0005576	PFX28051.1
A0A2B4SBI5	A0A2B4SBI5_STYPI	unreviewed	katnb1 AWC38_SpisGene7238	Stylophora pistillata (Smooth cauliflower coral)	Katanin p80 WD40 repeat-containing subunit B1	1931			PFX28044.1
A0A3M6TTL0	A0A3M6TTL0_POCDA	unreviewed	pdam_00002720	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Peroxiredoxin-like 2 activated in M-CSF stimulated monocytes (Peroxiredoxin-like 2A) (Redox-regulatory protein FAM213A)	196	cytoplasm [GO:0005737]; antioxidant activity [GO:0016209]	GO:0005737; GO:0016209	RMX44661.1
A0A2B4RB74	A0A2B4RB74_STYPI	unreviewed	Cd209e AWC38_SpisGene22283	Stylophora pistillata (Smooth cauliflower coral)	CD209 antigen-like protein E	1062	calcium ion binding [GO:0005509]	GO:0005509	PFX13617.1
A0A2B4SIY0	A0A2B4SIY0_STYPI	unreviewed	AWC38_SpisGene6130	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	781	ADP binding [GO:0043531]; regulation of apoptotic process [GO:0042981]	GO:0042981; GO:0043531	PFX29079.1
A0A3M6UY72	A0A3M6UY72_POCDA	unreviewed	pdam_00000008	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	440	signal transduction [GO:0007165]	GO:0007165	RMX58268.1
A0A3M6TDM6	A0A3M6TDM6_POCDA	unreviewed	pdam_00006093	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	203			RMX39537.1
A0A2B4RBA0	A0A2B4RBA0_STYPI	unreviewed	AWC38_SpisGene22108	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	289	integral component of membrane [GO:0016021]	GO:0016021	PFX13780.1
A0A3M6TZK7	A0A3M6TZK7_POCDA	unreviewed	pdam_00007671	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1719	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX46855.1
A0A2B4RIN1	A0A2B4RIN1_STYPI	unreviewed	NOTCH2 AWC38_SpisGene19039	Stylophora pistillata (Smooth cauliflower coral)	Neurogenic locus notch-like protein 2	358	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; cell-cell junction assembly [GO:0007043]; heart development [GO:0007507]	GO:0005509; GO:0007043; GO:0007507; GO:0016021	PFX16669.1
A0A3M6TS06	A0A3M6TS06_POCDA	unreviewed	pdam_00019804	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1726			RMX44034.1
A0A3M6UXW0	A0A3M6UXW0_POCDA	unreviewed	pdam_00019691	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	830	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]	GO:0004096; GO:0016702; GO:0020037; GO:0046872	RMX58429.1
A0A3M6TU16	A0A3M6TU16_POCDA	unreviewed	pdam_00019150	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	193			RMX44724.1
A0A3M6TTL2	A0A3M6TTL2_POCDA	unreviewed	pdam_00019151	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1199	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX44725.1
A0A3M6T884	A0A3M6T884_POCDA	unreviewed	pdam_00019641	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	976	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX37543.1
A0A3M6UZZ0	A0A3M6UZZ0_POCDA	unreviewed	pdam_00023710	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	302			RMX58878.1
A0A3M6TXP1	A0A3M6TXP1_POCDA	unreviewed	pdam_00002031	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	889	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA duplex unwinding [GO:0032508]	GO:0003677; GO:0005524; GO:0032508	RMX46074.1
