Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110204ABAA9BC7178C81CEBC9459510EDDEA32434B0W
A0A3M6U2P8	A0A3M6U2P8_POCDA	unreviewed	pdam_00010619	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	585	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX47897.1
A0A3M6T862	A0A3M6T862_POCDA	unreviewed	pdam_00007904	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF3883 domain-containing protein (Fragment)	2709			RMX37597.1
A0A3M6T8E7	A0A3M6T8E7_POCDA	unreviewed	pdam_00007906	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	296			RMX37599.1
A0A3M6T873	A0A3M6T873_POCDA	unreviewed	pdam_00007907	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	825	extracellular region [GO:0005576]; peptidase inhibitor activity [GO:0030414]	GO:0005576; GO:0030414	RMX37600.1
A0A3M6T886	A0A3M6T886_POCDA	unreviewed	pdam_00007912	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	326			RMX37616.1
A0A2B4SQA5	A0A2B4SQA5_STYPI	unreviewed	ddx24 AWC38_SpisGene3901	Stylophora pistillata (Smooth cauliflower coral)	RNA helicase (EC 3.6.4.13)	1037	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	GO:0003676; GO:0003724; GO:0005524; GO:0016787	PFX31289.1
A0A3M6T914	A0A3M6T914_POCDA	unreviewed	pdam_00007101	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	743			RMX37887.1
A0A3M6TPQ6	A0A3M6TPQ6_POCDA	unreviewed	pdam_00022678	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	395	deoxyribonucleotide biosynthetic process [GO:0009263]	GO:0009263	RMX43405.1
A0A3M6UPG0	A0A3M6UPG0_POCDA	unreviewed	pdam_00022897	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	GRF-type domain-containing protein	189	zinc ion binding [GO:0008270]	GO:0008270	RMX55522.1
A0A2B4RCF8	A0A2B4RCF8_STYPI	unreviewed	AWC38_SpisGene20978	Stylophora pistillata (Smooth cauliflower coral)	Transposon TX1 uncharacterized 149 kDa protein	1408			PFX14836.1
A0A3M6UB25	A0A3M6UB25_POCDA	unreviewed	pdam_00024039	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C-type lectin domain-containing protein (Fragment)	364	integral component of membrane [GO:0016021]	GO:0016021	RMX50678.1
A0A2B4S3A5	A0A2B4S3A5_STYPI	unreviewed	FCN1 AWC38_SpisGene12489	Stylophora pistillata (Smooth cauliflower coral)	Ficolin-1	1513			PFX22965.1
A0A3M6UQN7	A0A3M6UQN7_POCDA	unreviewed	pdam_00021727	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	951	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX55976.1
A0A2B4SDB0	A0A2B4SDB0_STYPI	unreviewed	ANKRD50 AWC38_SpisGene8802	Stylophora pistillata (Smooth cauliflower coral)	Ankyrin repeat domain-containing protein 50	2016	integral component of membrane [GO:0016021]	GO:0016021	PFX26522.1
A0A3M6UQV5	A0A3M6UQV5_POCDA	unreviewed	pdam_00017454	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	898			RMX56032.1
A0A3M6UQW5	A0A3M6UQW5_POCDA	unreviewed	pdam_00017455	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	378	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX56031.1
A0A3M6URQ9	A0A3M6URQ9_POCDA	unreviewed	pdam_00017458	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Sep15_SelM domain-containing protein	139			RMX56028.1
A0A3M6UR15	A0A3M6UR15_POCDA	unreviewed	pdam_00017465	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	387	integral component of membrane [GO:0016021]; nucleus [GO:0005634]	GO:0005634; GO:0016021	RMX56039.1
A0A3M6UR48	A0A3M6UR48_POCDA	unreviewed	pdam_00017467	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	494			RMX56037.1
A0A3M6UWU0	A0A3M6UWU0_POCDA	unreviewed	pdam_00006744	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MACPF domain-containing protein	1062			RMX57798.1
A0A3M6UVW0	A0A3M6UVW0_POCDA	unreviewed	pdam_00006750	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Metalloendopeptidase (EC 3.4.24.-)	1137	extracellular region [GO:0005576]; nematocyst [GO:0042151]; metalloendopeptidase activity [GO:0004222]; toxin activity [GO:0090729]; zinc ion binding [GO:0008270]	GO:0004222; GO:0005576; GO:0008270; GO:0042151; GO:0090729	RMX57775.1
A0A3M6TPI5	A0A3M6TPI5_POCDA	unreviewed	pdam_00021518	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C-type lectin domain-containing protein	485			RMX43335.1
A0A3M6UPC0	A0A3M6UPC0_POCDA	unreviewed	pdam_00013318	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2331	nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; DNA-dependent DNA replication [GO:0006261]	GO:0003677; GO:0003887; GO:0004386; GO:0005524; GO:0005634; GO:0006261; GO:0016787	RMX55480.1
A0A3M6UP54	A0A3M6UP54_POCDA	unreviewed	pdam_00013315	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	661			RMX55477.1
A0A2B4RXR3	A0A2B4RXR3_STYPI	unreviewed	POGK AWC38_SpisGene13079 AWC38_SpisGene15430 AWC38_SpisGene16979 AWC38_SpisGene18190 AWC38_SpisGene19288 AWC38_SpisGene22382 AWC38_SpisGene2255 AWC38_SpisGene2283 AWC38_SpisGene8669	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	416	DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	GO:0003677; GO:0004803; GO:0006313	PFX13527.1
A0A3M6UPH6	A0A3M6UPH6_POCDA	unreviewed	pdam_00013309	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	525			RMX55499.1
A0A2B4T1N9	A0A2B4T1N9_STYPI	unreviewed	qkib AWC38_SpisGene429	Stylophora pistillata (Smooth cauliflower coral)	Protein quaking-B	357	single-stranded RNA binding [GO:0003727]; regulation of translation [GO:0006417]	GO:0003727; GO:0006417	PFX34577.1
A0A3M6UFU5	A0A3M6UFU5_POCDA	unreviewed	pdam_00019906	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	413			RMX52439.1
A0A2B4T1A0	A0A2B4T1A0_STYPI	unreviewed	AWC38_SpisGene58	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	771			PFX34920.1
A0A3M6UKT5	A0A3M6UKT5_POCDA	unreviewed	pdam_00012002	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	334	nucleus [GO:0005634]	GO:0005634	RMX54287.1
A0A3M6TMU8	A0A3M6TMU8_POCDA	unreviewed	pdam_00010280	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	207	integral component of membrane [GO:0016021]	GO:0016021	RMX42641.1
A0A432I5M7	A0A432I5M7_9GAMM	unreviewed	DSY43_04430	Gammaproteobacteria bacterium	Uncharacterized protein	831			RUA05530.1
A0A2B4SJC2	A0A2B4SJC2_STYPI	unreviewed	AWC38_SpisGene5756	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	731			PFX29456.1
A0A2B4RHS6	A0A2B4RHS6_STYPI	unreviewed	QARS AWC38_SpisGene19722	Stylophora pistillata (Smooth cauliflower coral)	Glutaminyl-tRNA synthetase	775	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutamine-tRNA ligase activity [GO:0004819]; glutaminyl-tRNA aminoacylation [GO:0006425]	GO:0004819; GO:0005524; GO:0005737; GO:0006425	PFX16030.1
A0A3M6V6W1	A0A3M6V6W1_POCDA	unreviewed	pdam_00013736	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MFS domain-containing protein (Fragment)	963	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX61531.1
A0A3M6V6N7	A0A3M6V6N7_POCDA	unreviewed	pdam_00013730	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EF-hand domain-containing protein	1455	calcium ion binding [GO:0005509]	GO:0005509	RMX61537.1
A0A3M6TY23	A0A3M6TY23_POCDA	unreviewed	pdam_00007854	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF3504 domain-containing protein	160			RMX46169.1
A0A3M6UCQ6	A0A3M6UCQ6_POCDA	unreviewed	pdam_00023831	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	829			RMX51460.1
A0A3M6V219	A0A3M6V219_POCDA	unreviewed	pdam_00001139	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	790			RMX59975.1
A0A3M6V232	A0A3M6V232_POCDA	unreviewed	pdam_00001140	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	850			RMX59962.1
A0A3M6V1Y7	A0A3M6V1Y7_POCDA	unreviewed	pdam_00001141	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	888			RMX59963.1
A0A3M6V1U3	A0A3M6V1U3_POCDA	unreviewed	pdam_00001150	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RRM domain-containing protein	1305	RNA binding [GO:0003723]	GO:0003723	RMX59895.1
A0A2B4R8W9	A0A2B4R8W9_STYPI	unreviewed	Nrx-IV AWC38_SpisGene22307	Stylophora pistillata (Smooth cauliflower coral)	Neurexin-4	943	protein dimerization activity [GO:0046983]	GO:0046983	PFX13596.1
A0A2B4SLY3	A0A2B4SLY3_STYPI	unreviewed	AWC38_SpisGene5839	Stylophora pistillata (Smooth cauliflower coral)	Dimer_Tnp_hAT domain-containing protein	704	protein dimerization activity [GO:0046983]	GO:0046983	PFX29415.1
A0A2B4RAU9	A0A2B4RAU9_STYPI	unreviewed	RTase AWC38_SpisGene22269	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	1231	protein dimerization activity [GO:0046983]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0046983	PFX13630.1
A0A2B4RLU4	A0A2B4RLU4_STYPI	unreviewed	Hnrnpab AWC38_SpisGene18368	Stylophora pistillata (Smooth cauliflower coral)	Heterogeneous nuclear ribonucleoprotein A/B	340	RNA binding [GO:0003723]	GO:0003723	PFX17317.1
A0A2B4RTS4	A0A2B4RTS4_STYPI	unreviewed	BUB1B AWC38_SpisGene14991	Stylophora pistillata (Smooth cauliflower coral)	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta	1292	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; mitotic spindle assembly checkpoint [GO:0007094]	GO:0004672; GO:0005524; GO:0007094	PFX20566.1
A0A3M6UF22	A0A3M6UF22_POCDA	unreviewed	pdam_00003766	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	438	nBAF complex [GO:0071565]; zinc ion binding [GO:0008270]	GO:0008270; GO:0071565	RMX52018.1
A0A2B4RSI1	A0A2B4RSI1_STYPI	unreviewed	PTK7 AWC38_SpisGene14984	Stylophora pistillata (Smooth cauliflower coral)	Tyrosine-protein kinase receptor (EC 2.7.10.1)	1050	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	GO:0004714; GO:0005524; GO:0007169; GO:0016021	PFX20561.1
A0A3M6UEN6	A0A3M6UEN6_POCDA	unreviewed	pdam_00003757	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	203			RMX52029.1
A0A3M6UEC1	A0A3M6UEC1_POCDA	unreviewed	pdam_00003756	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CN hydrolase domain-containing protein	1639	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; nitrogen compound metabolic process [GO:0006807]	GO:0006807; GO:0016811	RMX52030.1
A0A3M6UYU7	A0A3M6UYU7_POCDA	unreviewed	pdam_00009503	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2072	integral component of membrane [GO:0016021]; kidney development [GO:0001822]	GO:0001822; GO:0016021	RMX58704.1
A0A3M6UYH0	A0A3M6UYH0_POCDA	unreviewed	pdam_00009500	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	390			RMX58705.1
A0A3M6TQC2	A0A3M6TQC2_POCDA	unreviewed	pdam_00023422	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1242			RMX43592.1
A0A3M6TGX0	A0A3M6TGX0_POCDA	unreviewed	pdam_00009892	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	333	calcium ion binding [GO:0005509]	GO:0005509	RMX40647.1
A0A2B4RT93	A0A2B4RT93_STYPI	unreviewed	AWC38_SpisGene16065	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	283			PFX19538.1
A0A3M6UE66	A0A3M6UE66_POCDA	unreviewed	pdam_00004730	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	563			RMX51967.1
A0A2B4RHV6	A0A2B4RHV6_STYPI	unreviewed	AWC38_SpisGene18493	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	185			PFX17191.1
A0A3M6TM41	A0A3M6TM41_POCDA	unreviewed	pdam_00010867	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2236			RMX42449.1
A0A2B4RSQ0	A0A2B4RSQ0_STYPI	unreviewed	pol AWC38_SpisGene14905	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	848	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0008168; GO:0016706	PFX20631.1
A0A3M6TCX1	A0A3M6TCX1_POCDA	unreviewed	pdam_00016201	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-)	409	NAD+ ADP-ribosyltransferase activity [GO:0003950]	GO:0003950	RMX39213.1
A0A3M6TCU5	A0A3M6TCU5_POCDA	unreviewed	pdam_00016199	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2188	metal ion binding [GO:0046872]; NAD+ ADP-ribosyltransferase activity [GO:0003950]	GO:0003950; GO:0046872	RMX39226.1
A0A3M6TD47	A0A3M6TD47_POCDA	unreviewed	pdam_00016189	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BZIP domain-containing protein	631	DNA-binding transcription factor activity [GO:0003700]	GO:0003700	RMX39219.1
A0A3M6TCX9	A0A3M6TCX9_POCDA	unreviewed	pdam_00016186	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Urb2 domain-containing protein	1632			RMX39220.1
A0A3M6TCQ7	A0A3M6TCQ7_POCDA	unreviewed	pdam_00016184	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	452			RMX39217.1
A0A3M6TCT6	A0A3M6TCT6_POCDA	unreviewed	pdam_00016178	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ZP domain-containing protein (Fragment)	736			RMX39237.1
A0A2B4S373	A0A2B4S373_STYPI	unreviewed	AWC38_SpisGene12247	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	499	metal ion binding [GO:0046872]	GO:0046872	PFX23230.1
A0A3M6UKK6	A0A3M6UKK6_POCDA	unreviewed	pdam_00014807	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2194	extracellular region [GO:0005576]; peptidase inhibitor activity [GO:0030414]	GO:0005576; GO:0030414	RMX54109.1
A0A3M6TRY6	A0A3M6TRY6_POCDA	unreviewed	pdam_00023855	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	264			RMX44207.1
A0A3M6TG03	A0A3M6TG03_POCDA	unreviewed	pdam_00008694	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DAGKc domain-containing protein	424	NAD+ kinase activity [GO:0003951]	GO:0003951	RMX40313.1
A0A3M6UW08	A0A3M6UW08_POCDA	unreviewed	pdam_00004940	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	523	RNA binding [GO:0003723]	GO:0003723	RMX57724.1
A0A3M6UVM5	A0A3M6UVM5_POCDA	unreviewed	pdam_00004946	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1747	helicase activity [GO:0004386]	GO:0004386	RMX57722.1
A0A3M6UVK5	A0A3M6UVK5_POCDA	unreviewed	pdam_00004942	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	590	RNA binding [GO:0003723]	GO:0003723	RMX57726.1
A0A3M6TD69	A0A3M6TD69_POCDA	unreviewed	pdam_00022904	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	559			RMX39239.1
A0A3M6UQG9	A0A3M6UQG9_POCDA	unreviewed	pdam_00006237	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	464			RMX55892.1
A0A3M6URE4	A0A3M6URE4_POCDA	unreviewed	pdam_00021632	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	108	integral component of membrane [GO:0016021]	GO:0016021	RMX56127.1
A0A2B4R2Q3	A0A2B4R2Q3_STYPI	unreviewed	Slc11a2 AWC38_SpisGene23383	Stylophora pistillata (Smooth cauliflower coral)	Natural resistance-associated macrophage protein 2	710	integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873]	GO:0016021; GO:0046873	PFX12624.1
A0A3M6U9H6	A0A3M6U9H6_POCDA	unreviewed	pdam_00006916	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	5234	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; scavenger receptor activity [GO:0005044]; cell adhesion [GO:0007155]	GO:0005044; GO:0005509; GO:0007155; GO:0016021; GO:0030246	RMX50310.1
A0A3M6UUI1	A0A3M6UUI1_POCDA	unreviewed	pdam_00012864	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Apple domain-containing protein	542			RMX57295.1
A0A3M6UK39	A0A3M6UK39_POCDA	unreviewed	pdam_00022334	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glycos_transf_1 domain-containing protein (Fragment)	683	cysteine-type endopeptidase activity [GO:0004197]; transferase activity, transferring glycosyl groups [GO:0016757]	GO:0004197; GO:0016757	RMX54007.1
A0A2B4RE76	A0A2B4RE76_STYPI	unreviewed	Slc24a5 AWC38_SpisGene20673	Stylophora pistillata (Smooth cauliflower coral)	Sodium/potassium/calcium exchanger 5	2213	integral component of membrane [GO:0016021]; antiporter activity [GO:0015297]; catalytic activity [GO:0003824]; calcium ion transport [GO:0006816]	GO:0003824; GO:0006816; GO:0015297; GO:0016021	PFX15119.1
A0A3M6T8Z6	A0A3M6T8Z6_POCDA	unreviewed	pdam_00023264	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	907	catalytic activity [GO:0003824]	GO:0003824	RMX37842.1
A0A2B4R9V1	A0A2B4R9V1_STYPI	unreviewed	LUC7L2 AWC38_SpisGene20674	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-binding protein Luc7-like 2	2300	integral component of membrane [GO:0016021]; U1 snRNP [GO:0005685]; mRNA binding [GO:0003729]; transferase activity, transferring glycosyl groups [GO:0016757]; mRNA splice site selection [GO:0006376]	GO:0003729; GO:0005685; GO:0006376; GO:0016021; GO:0016757	PFX15124.1
A0A3M6USR6	A0A3M6USR6_POCDA	unreviewed	pdam_00024552	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	141			RMX56690.1
A0A2B4SMA2	A0A2B4SMA2_STYPI	unreviewed	FOXB1 AWC38_SpisGene3349	Stylophora pistillata (Smooth cauliflower coral)	Forkhead box protein B1	817	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0043565	PFX31824.1
A0A2B4RSL0	A0A2B4RSL0_STYPI	unreviewed	PRKRIR AWC38_SpisGene15813	Stylophora pistillata (Smooth cauliflower coral)	52 kDa repressor of the inhibitor of the protein kinase	655	kinase activity [GO:0016301]; protein dimerization activity [GO:0046983]	GO:0016301; GO:0046983	PFX19783.1
A0A2B4RDR7	A0A2B4RDR7_STYPI	unreviewed	jockey\pol AWC38_SpisGene21318	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	951	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX14518.1
A0A2B4REC9	A0A2B4REC9_STYPI	unreviewed	SELP AWC38_SpisGene21083	Stylophora pistillata (Smooth cauliflower coral)	P-selectin	550	integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]	GO:0016021; GO:0030246	PFX14738.1
A0A3M6U598	A0A3M6U598_POCDA	unreviewed	pdam_00023703	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1071	integral component of membrane [GO:0016021]	GO:0016021	RMX48843.1
A0A3M6V8H5	A0A3M6V8H5_POCDA	unreviewed	pdam_00023465	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1289	calcium ion binding [GO:0005509]	GO:0005509	RMX61338.1
A0A432I433	A0A432I433_9GAMM	unreviewed	DSY43_05490	Gammaproteobacteria bacterium	Uncharacterized protein (Fragment)	992			RUA05016.1
A0A2B4RHW1	A0A2B4RHW1_STYPI	unreviewed	AWC38_SpisGene19343	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	259			PFX16379.1
A0A3M6ULS4	A0A3M6ULS4_POCDA	unreviewed	pdam_00023671	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1155	integral component of membrane [GO:0016021]	GO:0016021	RMX54592.1
A0A3M6UUC4	A0A3M6UUC4_POCDA	unreviewed	pdam_00021149	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1934	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX56918.1
