Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A352441EC3
A0A2B4SJ59	A0A2B4SJ59_STYPI	unreviewed	Dtnb AWC38_SpisGene5307	Stylophora pistillata (Smooth cauliflower coral)	Dystrobrevin beta	1710	extracellular region [GO:0005576]; phospholipase A2 activity [GO:0004623]; zinc ion binding [GO:0008270]; arachidonic acid secretion [GO:0050482]; phospholipid metabolic process [GO:0006644]	GO:0004623; GO:0005576; GO:0006644; GO:0008270; GO:0050482	PFX29921.1
A0A3M6V1A0	A0A3M6V1A0_POCDA	unreviewed	pdam_00011901	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	107			RMX59328.1
A0A3M6UUF6	A0A3M6UUF6_POCDA	unreviewed	pdam_00023520	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Retrotrans_gag domain-containing protein	279			RMX57229.1
A0A2B4SH48	A0A2B4SH48_STYPI	unreviewed	MYL9 AWC38_SpisGene6846	Stylophora pistillata (Smooth cauliflower coral)	Myosin regulatory light polypeptide 9	366	calcium ion binding [GO:0005509]	GO:0005509	PFX28419.1
A0A3M6UDQ3	A0A3M6UDQ3_POCDA	unreviewed	pdam_00011655	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	449			RMX51782.1
A0A3M6UHX3	A0A3M6UHX3_POCDA	unreviewed	pdam_00019486	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	6580	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; polysaccharide catabolic process [GO:0000272]	GO:0000272; GO:0005509; GO:0005886; GO:0007156; GO:0016021	RMX53262.1
A0A3M6UHX8	A0A3M6UHX8_POCDA	unreviewed	pdam_00019491	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	418	integral component of membrane [GO:0016021]; symporter activity [GO:0015293]; carbohydrate transport [GO:0008643]	GO:0008643; GO:0015293; GO:0016021	RMX53267.1
A0A3M6UPI6	A0A3M6UPI6_POCDA	unreviewed	pdam_00024121	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BAAT_C domain-containing protein (Fragment)	268			RMX55509.1
A0A2B4S6K8	A0A2B4S6K8_STYPI	unreviewed	UBA1 AWC38_SpisGene10724	Stylophora pistillata (Smooth cauliflower coral)	Ubiquitin-activating enzyme E1 (EC 6.2.1.45)	2046	ATP binding [GO:0005524]; ubiquitin activating enzyme activity [GO:0004839]	GO:0004839; GO:0005524	PFX24673.1
A0A3M6V017	A0A3M6V017_POCDA	unreviewed	pdam_00007722	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Tartrate-resistant acid ATPase (EC 3.1.3.2) (Tartrate-resistant acid phosphatase type 5) (Type 5 acid phosphatase)	699	acid phosphatase activity [GO:0003993]	GO:0003993	RMX59179.1
A0A3M6UZR8	A0A3M6UZR8_POCDA	unreviewed	pdam_00007724	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	529			RMX59173.1
A0A3M6UZU9	A0A3M6UZU9_POCDA	unreviewed	pdam_00007729	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RTTN_N domain-containing protein	2376	centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium organization [GO:0044782]	GO:0005813; GO:0036064; GO:0044782	RMX59182.1
A0A3M6UQ35	A0A3M6UQ35_POCDA	unreviewed	pdam_00020916	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	208			RMX55770.1
A0A3M6U117	A0A3M6U117_POCDA	unreviewed	pdam_00012576	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	214			RMX47340.1
A0A3M6U150	A0A3M6U150_POCDA	unreviewed	pdam_00012575	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	530	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX47362.1
A0A3M6TCQ6	A0A3M6TCQ6_POCDA	unreviewed	pdam_00013526	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2206	signal transduction [GO:0007165]	GO:0007165	RMX39186.1
A0A3M6TLT3	A0A3M6TLT3_POCDA	unreviewed	pdam_00022608	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	461	integral component of membrane [GO:0016021]	GO:0016021	RMX42258.1
A0A2B4SH70	A0A2B4SH70_STYPI	unreviewed	Tmem173 AWC38_SpisGene6055	Stylophora pistillata (Smooth cauliflower coral)	Stimulator of interferon genes protein	1498	nucleotide binding [GO:0000166]; activation of innate immune response [GO:0002218]; positive regulation of type I interferon production [GO:0032481]	GO:0000166; GO:0002218; GO:0032481	PFX29241.1
A0A3M6TF67	A0A3M6TF67_POCDA	unreviewed	pdam_00025412	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	117			RMX39969.1
A0A3M6UAG7	A0A3M6UAG7_POCDA	unreviewed	pdam_00017157	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glycos_transf_1 domain-containing protein (Fragment)	726	transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016757	RMX50660.1
A0A3M6V1V0	A0A3M6V1V0_POCDA	unreviewed	pdam_00025561	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	776			RMX59867.1
A0A2B4S664	A0A2B4S664_STYPI	unreviewed	AWC38_SpisGene9968	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	513			PFX25391.1
A0A3M6US51	A0A3M6US51_POCDA	unreviewed	pdam_00025267	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	235			RMX56394.1
A0A432I1K7	A0A432I1K7_9GAMM	unreviewed	DSY43_07085	Gammaproteobacteria bacterium	Reverse transcriptase domain-containing protein	1023			RUA04113.1
A0A3M6UD02	A0A3M6UD02_POCDA	unreviewed	pdam_00025431	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MULE domain-containing protein (Fragment)	398			RMX51563.1
A0A2B4SVK7	A0A2B4SVK7_STYPI	unreviewed	PRSS21 AWC38_SpisGene2609	Stylophora pistillata (Smooth cauliflower coral)	Testisin	929	serine-type endopeptidase activity [GO:0004252]	GO:0004252	PFX32572.1
A0A3M6V310	A0A3M6V310_POCDA	unreviewed	pdam_00017027	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	39S ribosomal protein L52, mitochondrial	122	mitochondrial large ribosomal subunit [GO:0005762]; structural constituent of ribosome [GO:0003735]; mitochondrial translation [GO:0032543]	GO:0003735; GO:0005762; GO:0032543	RMX60194.1
A0A2B4R5K1	A0A2B4R5K1_STYPI	unreviewed	AWC38_SpisGene24737	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	551			PFX11502.1
A0A2B4SXY7	A0A2B4SXY7_STYPI	unreviewed	AWC38_SpisGene1799	Stylophora pistillata (Smooth cauliflower coral)	OTU domain-containing protein	1085			PFX33287.1
A0A3M6V356	A0A3M6V356_POCDA	unreviewed	pdam_00021319	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	739			RMX60376.1
A0A3M6V468	A0A3M6V468_POCDA	unreviewed	pdam_00021315	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Cir_N domain-containing protein	497	nucleus [GO:0005634]; mRNA processing [GO:0006397]	GO:0005634; GO:0006397	RMX60378.1
A0A3M6V3H7	A0A3M6V3H7_POCDA	unreviewed	pdam_00021314	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	883	signal transduction [GO:0007165]	GO:0007165	RMX60379.1
A0A3M6V4G7	A0A3M6V4G7_POCDA	unreviewed	pdam_00025842	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	421	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	RMX60795.1
A0A2B4S3G0	A0A2B4S3G0_STYPI	unreviewed	SCAND3 AWC38_SpisGene10162	Stylophora pistillata (Smooth cauliflower coral)	SCAN domain-containing protein 3	693	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX25244.1
A0A2B4RY21	A0A2B4RY21_STYPI	unreviewed	pol AWC38_SpisGene14064	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	613	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX21450.1
A0A3M6TU99	A0A3M6TU99_POCDA	unreviewed	pdam_00017360	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	177			RMX44982.1
A0A2B4REK7	A0A2B4REK7_STYPI	unreviewed	trim71 AWC38_SpisGene19684	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	1348	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	PFX16061.1
A0A3M6T522	A0A3M6T522_POCDA	unreviewed	pdam_00021980	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	675			RMX36515.1
A0A3M6UMM8	A0A3M6UMM8_POCDA	unreviewed	pdam_00015103	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	390	integral component of membrane [GO:0016021]	GO:0016021	RMX54890.1
A0A2B4S3C4	A0A2B4S3C4_STYPI	unreviewed	AWC38_SpisGene12404	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	91			PFX23068.1
A0A3M6U945	A0A3M6U945_POCDA	unreviewed	pdam_00004813	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F3_4 domain-containing protein (Fragment)	730	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX50212.1
A0A3M6U967	A0A3M6U967_POCDA	unreviewed	pdam_00004818	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	779			RMX50207.1
A0A2B4SKW0	A0A2B4SKW0_STYPI	unreviewed	AWC38_SpisGene6083	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	492	integral component of membrane [GO:0016021]	GO:0016021	PFX29167.1
A0A3M6UMB3	A0A3M6UMB3_POCDA	unreviewed	pdam_00014120	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	423	integral component of membrane [GO:0016021]	GO:0016021	RMX54785.1
A0A3M6UMD6	A0A3M6UMD6_POCDA	unreviewed	pdam_00014117	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	213			RMX54805.1
A0A3M6TWS8	A0A3M6TWS8_POCDA	unreviewed	pdam_00015596	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Flavin-containing monooxygenase (EC 1.-.-.-)	466	flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]	GO:0004499; GO:0050660; GO:0050661	RMX45836.1
A0A3M6UL54	A0A3M6UL54_POCDA	unreviewed	pdam_00016907	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1516	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	RMX54244.1
A0A3M6UDB6	A0A3M6UDB6_POCDA	unreviewed	pdam_00020299	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	766	integral component of membrane [GO:0016021]	GO:0016021	RMX51652.1
A0A3M6TMQ9	A0A3M6TMQ9_POCDA	unreviewed	pdam_00025733	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	THAP-type domain-containing protein (Fragment)	423	nucleoplasm [GO:0005654]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; cell cycle [GO:0007049]	GO:0005654; GO:0007049; GO:0043565; GO:0046872	RMX42713.1
A0A3M6TGR7	A0A3M6TGR7_POCDA	unreviewed	pdam_00019929	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	284	integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; 2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]	GO:0016021; GO:0043231; GO:0046872; GO:0051537	RMX40596.1
A0A3M6TGT1	A0A3M6TGT1_POCDA	unreviewed	pdam_00019925	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	360			RMX40593.1
A0A3M6V8H5	A0A3M6V8H5_POCDA	unreviewed	pdam_00023465	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1289	calcium ion binding [GO:0005509]	GO:0005509	RMX61338.1
A0A3M6UAX9	A0A3M6UAX9_POCDA	unreviewed	pdam_00021433	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF_CA domain-containing protein (Fragment)	374	calcium ion binding [GO:0005509]	GO:0005509	RMX50674.1
A0A3M6UQS0	A0A3M6UQS0_POCDA	unreviewed	pdam_00006218	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Sushi domain-containing protein (Fragment)	316			RMX55907.1
A0A3M6UR87	A0A3M6UR87_POCDA	unreviewed	pdam_00006220	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Mediator of RNA polymerase II transcription subunit 7	487	integral component of membrane [GO:0016021]; mediator complex [GO:0016592]; mitochondrial inner membrane [GO:0005743]; copper ion binding [GO:0005507]; transcription coregulator activity [GO:0003712]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003712; GO:0005507; GO:0005743; GO:0006357; GO:0016021; GO:0016592	RMX55858.1
A0A3M6UQB2	A0A3M6UQB2_POCDA	unreviewed	pdam_00006222	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	B box-type domain-containing protein	928	transferase activity, transferring glycosyl groups [GO:0016757]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016757	RMX55856.1
A0A3M6UI00	A0A3M6UI00_POCDA	unreviewed	pdam_00025479	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	316			RMX53189.1
A0A2B4RRE5	A0A2B4RRE5_STYPI	unreviewed	H2B-V AWC38_SpisGene16785	Stylophora pistillata (Smooth cauliflower coral)	Histone H2B	422	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	GO:0000786; GO:0003677; GO:0005634; GO:0046982	PFX18835.1
A0A3M6U452	A0A3M6U452_POCDA	unreviewed	pdam_00020460	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1725	cytoplasm [GO:0005737]; GTPase activator activity [GO:0005096]; positive regulation of GTPase activity [GO:0043547]; signal transduction [GO:0007165]	GO:0005096; GO:0005737; GO:0007165; GO:0043547	RMX48432.1
A0A2B4RJB7	A0A2B4RJB7_STYPI	unreviewed	AWC38_SpisGene18414	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	463	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX17276.1
A0A3M6UIW7	A0A3M6UIW7_POCDA	unreviewed	pdam_00025543	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RING-type domain-containing protein	375	metal ion binding [GO:0046872]	GO:0046872	RMX53611.1
A0A2B4RY06	A0A2B4RY06_STYPI	unreviewed	PTK7 AWC38_SpisGene14298	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1390	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX21217.1
