Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M20211020A084FC58F6BBA219896F365D15F2EB44240168N
A0A3M6TAX8	A0A3M6TAX8_POCDA	unreviewed	pdam_00016802	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	326			RMX38479.1
A0A2B4R6Z0	A0A2B4R6Z0_STYPI	unreviewed	TTC28 AWC38_SpisGene23929	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1453			PFX12158.1
A0A3M6U958	A0A3M6U958_POCDA	unreviewed	pdam_00002872	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	268			RMX50079.1
A0A2B4SJZ0	A0A2B4SJZ0_STYPI	unreviewed	AWC38_SpisGene6395	Stylophora pistillata (Smooth cauliflower coral)	GIY-YIG domain-containing protein	1309			PFX28898.1
A0A3M6U7L8	A0A3M6U7L8_POCDA	unreviewed	pdam_00002963	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	383	integral component of membrane [GO:0016021]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]; phospholipid biosynthetic process [GO:0008654]	GO:0008654; GO:0016021; GO:0016780	RMX49655.1
A0A3M6U7K7	A0A3M6U7K7_POCDA	unreviewed	pdam_00002964	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Methyltranfer_dom domain-containing protein	294			RMX49650.1
A0A3M6UEE5	A0A3M6UEE5_POCDA	unreviewed	pdam_00018949	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	4495	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; endocytosis [GO:0006897]	GO:0005509; GO:0006897; GO:0016021	RMX51874.1
A0A3M6TS91	A0A3M6TS91_POCDA	unreviewed	pdam_00002484	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein	1143	integral component of membrane [GO:0016021]	GO:0016021	RMX44138.1
A0A3M6TXZ4	A0A3M6TXZ4_POCDA	unreviewed	pdam_00022543	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Homeobox domain-containing protein	396	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	GO:0000981; GO:0003677; GO:0005634	RMX46211.1
A0A2B4RYA1	A0A2B4RYA1_STYPI	unreviewed	T AWC38_SpisGene14222	Stylophora pistillata (Smooth cauliflower coral)	Transposable element P transposase	882	DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	GO:0003677; GO:0004803; GO:0006313	PFX21307.1
A0A3M6TLT3	A0A3M6TLT3_POCDA	unreviewed	pdam_00022608	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	461	integral component of membrane [GO:0016021]	GO:0016021	RMX42258.1
A0A3M6TJG9	A0A3M6TJG9_POCDA	unreviewed	pdam_00012259	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	UPAR/Ly6 domain-containing protein	118			RMX41479.1
A0A2B4R5Y8	A0A2B4R5Y8_STYPI	unreviewed	LanB2 AWC38_SpisGene22126	Stylophora pistillata (Smooth cauliflower coral)	Laminin subunit gamma-1	2092			PFX13764.1
A0A3M6U6G5	A0A3M6U6G5_POCDA	unreviewed	pdam_00005839	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	815			RMX49201.1
A0A3M6UKD5	A0A3M6UKD5_POCDA	unreviewed	pdam_00022096	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	370	calcium ion binding [GO:0005509]	GO:0005509	RMX54085.1
A0A2B4SD29	A0A2B4SD29_STYPI	unreviewed	AWC38_SpisGene8989	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	129	integral component of membrane [GO:0016021]	GO:0016021	PFX26345.1
A0A2B4R7Z4	A0A2B4R7Z4_STYPI	unreviewed	ANKRD50 AWC38_SpisGene23398	Stylophora pistillata (Smooth cauliflower coral)	Ankyrin repeat domain-containing protein 50	3797			PFX12610.1
A0A2B4RFR5	A0A2B4RFR5_STYPI	unreviewed	enpp4 AWC38_SpisGene20686	Stylophora pistillata (Smooth cauliflower coral)	Bis(5'-adenosyl)-triphosphatase enpp4	540	catalytic activity [GO:0003824]	GO:0003824	PFX15115.1
A0A2B4RYZ7	A0A2B4RYZ7_STYPI	unreviewed	AWC38_SpisGene13962	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	764			PFX21548.1
A0A3M6TXC5	A0A3M6TXC5_POCDA	unreviewed	pdam_00011054	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	369			RMX45948.1
A0A3M6UD06	A0A3M6UD06_POCDA	unreviewed	pdam_00010314	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	683	integral component of membrane [GO:0016021]	GO:0016021	RMX51542.1
A0A3M6UCX7	A0A3M6UCX7_POCDA	unreviewed	pdam_00010317	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	198	integral component of membrane [GO:0016021]	GO:0016021	RMX51543.1
A0A2B4SJ27	A0A2B4SJ27_STYPI	unreviewed	kita AWC38_SpisGene6161	Stylophora pistillata (Smooth cauliflower coral)	Mast/stem cell growth factor receptor kita	1025	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524; GO:0016021	PFX29093.1
A0A3M6UD87	A0A3M6UD87_POCDA	unreviewed	pdam_00018811	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	753	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX51474.1
A0A3M6THR8	A0A3M6THR8_POCDA	unreviewed	pdam_00017667	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	398	integral component of membrane [GO:0016021]	GO:0016021	RMX40920.1
A0A2B4RX15	A0A2B4RX15_STYPI	unreviewed	TTC28 AWC38_SpisGene14638	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1124			PFX20887.1
A0A2B4RRZ5	A0A2B4RRZ5_STYPI	unreviewed	UBC AWC38_SpisGene16266	Stylophora pistillata (Smooth cauliflower coral)	Polyubiquitin-C	1030			PFX19320.1
A0A2B4RR02	A0A2B4RR02_STYPI	unreviewed	AWC38_SpisGene16841	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	500			PFX18777.1
A0A3M6U9H6	A0A3M6U9H6_POCDA	unreviewed	pdam_00006916	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	5234	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; scavenger receptor activity [GO:0005044]; cell adhesion [GO:0007155]	GO:0005044; GO:0005509; GO:0007155; GO:0016021; GO:0030246	RMX50310.1
A0A2B4RHT8	A0A2B4RHT8_STYPI	unreviewed	F54H12.3 AWC38_SpisGene19704	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized transposon-derived protein F54H12.3	821	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX16040.1
A0A3M6T7I2	A0A3M6T7I2_POCDA	unreviewed	pdam_00024997	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	GLOBIN domain-containing protein (Fragment)	298	heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]	GO:0005344; GO:0019825; GO:0020037; GO:0046872	RMX37259.1
A0A3M6U971	A0A3M6U971_POCDA	unreviewed	pdam_00025142	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	717			RMX50151.1
A0A2B4RJJ7	A0A2B4RJJ7_STYPI	unreviewed	Tie1 AWC38_SpisGene18700	Stylophora pistillata (Smooth cauliflower coral)	Tyrosine-protein kinase receptor Tie-1	1292	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	PFX16993.1
A0A2B4R4Q0	A0A2B4R4Q0_STYPI	unreviewed	AWC38_SpisGene23408	Stylophora pistillata (Smooth cauliflower coral)	FLYWCH-type domain-containing protein	230			PFX12601.1
A0A2B4R5X2	A0A2B4R5X2_STYPI	unreviewed	smi35A AWC38_SpisGene22918	Stylophora pistillata (Smooth cauliflower coral)	Dual specificity tyrosine-phosphorylation-regulated kinase 2	680	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	PFX13041.1
A0A3M6TTN1	A0A3M6TTN1_POCDA	unreviewed	pdam_00023367	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1451	integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0016021	RMX44681.1
A0A3M6URY4	A0A3M6URY4_POCDA	unreviewed	pdam_00019267	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	156			RMX56317.1
A0A2B4RSH4	A0A2B4RSH4_STYPI	unreviewed	Cad96Ca AWC38_SpisGene16373	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1603	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX19205.1
A0A2B4SNL0	A0A2B4SNL0_STYPI	unreviewed	AWC38_SpisGene5106	Stylophora pistillata (Smooth cauliflower coral)	Venom prothrombin activator oscutarin-C non-catalytic subunit	1863	integral component of membrane [GO:0016021]	GO:0016021	PFX30097.1
A0A2B4R6E3	A0A2B4R6E3_STYPI	unreviewed	AWC38_SpisGene24041	Stylophora pistillata (Smooth cauliflower coral)	TLDc domain-containing protein (Fragment)	281			PFX12060.1
A0A3M6UBE3	A0A3M6UBE3_POCDA	unreviewed	pdam_00024495	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1143	integral component of membrane [GO:0016021]	GO:0016021	RMX50975.1
A0A3M6TQI9	A0A3M6TQI9_POCDA	unreviewed	pdam_00006384	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	254			RMX43683.1
A0A3M6T884	A0A3M6T884_POCDA	unreviewed	pdam_00019641	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	976	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX37543.1
A0A3M6TVC6	A0A3M6TVC6_POCDA	unreviewed	pdam_00024993	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	335			RMX45214.1
A0A3M6U6U8	A0A3M6U6U8_POCDA	unreviewed	pdam_00011230	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SET domain-containing protein	440	nucleus [GO:0005634]; histone methyltransferase activity [GO:0042054]	GO:0005634; GO:0042054	RMX49296.1
A0A2B4SI77	A0A2B4SI77_STYPI	unreviewed	TMPRSS9 AWC38_SpisGene5613	Stylophora pistillata (Smooth cauliflower coral)	Transmembrane protease serine 9	824	integral component of membrane [GO:0016021]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0016021	PFX29581.1
A0A2B4RAD6	A0A2B4RAD6_STYPI	unreviewed	AWC38_SpisGene22115	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	1405	RNA-directed DNA polymerase activity [GO:0003964]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	GO:0003964; GO:0004803; GO:0006313	PFX13773.1
A0A2B4RA41	A0A2B4RA41_STYPI	unreviewed	AWC38_SpisGene22214	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	1915	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX13679.1
A0A3M6TIP6	A0A3M6TIP6_POCDA	unreviewed	pdam_00017751	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MACPF domain-containing protein	392			RMX41285.1
A0A3M6U713	A0A3M6U713_POCDA	unreviewed	pdam_00013561	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Exonuclease domain-containing protein	646	nucleic acid binding [GO:0003676]	GO:0003676	RMX49258.1
A0A3M6TMP2	A0A3M6TMP2_POCDA	unreviewed	pdam_00016704	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ABC transmembrane type-1 domain-containing protein (Fragment)	267	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0016021; GO:0042626	RMX42524.1
A0A3M6TM79	A0A3M6TM79_POCDA	unreviewed	pdam_00016705	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Phosphoenolpyruvate carboxykinase (GTP) (EC 4.1.1.32) (Fragment)	647	GTP binding [GO:0005525]; metal ion binding [GO:0046872]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]; gluconeogenesis [GO:0006094]	GO:0004613; GO:0005525; GO:0006094; GO:0046872	RMX42525.1
A0A3M6TQZ6	A0A3M6TQZ6_POCDA	unreviewed	pdam_00022966	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	448			RMX43833.1
A0A3A9CZB2	A0A3A9CZB2_9FIRM	unreviewed	D7W80_38190	Ruminococcus sp. 1xD21-23	Integrase catalytic domain-containing protein (Fragment)	312	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	RKJ18012.1
A0A3M6TKG9	A0A3M6TKG9_POCDA	unreviewed	pdam_00019618	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	527	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	RMX41859.1
A0A3M6TMN2	A0A3M6TMN2_POCDA	unreviewed	pdam_00010264	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	512			RMX42647.1
A0A3M6TMJ5	A0A3M6TMJ5_POCDA	unreviewed	pdam_00010268	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	520			RMX42645.1
A0A3M6TYN4	A0A3M6TYN4_POCDA	unreviewed	pdam_00000540	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	598	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]	GO:0005509; GO:0030246	RMX46461.1
A0A3M6TCS8	A0A3M6TCS8_POCDA	unreviewed	pdam_00022863	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F2_4 domain-containing protein	620	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX39118.1
A0A2B4RNU9	A0A2B4RNU9_STYPI	unreviewed	POL AWC38_SpisGene17718	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	2154	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; DNA integration [GO:0015074]	GO:0003676; GO:0004714; GO:0005524; GO:0015074; GO:0016021; GO:0046872	PFX17945.1
A0A3M6U8U2	A0A3M6U8U2_POCDA	unreviewed	pdam_00016666	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	153			RMX49996.1
A0A2B4R5G3	A0A2B4R5G3_STYPI	unreviewed	POL AWC38_SpisGene22320	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	1126	integral component of membrane [GO:0016021]; aspartic-type endopeptidase activity [GO:0004190]	GO:0004190; GO:0016021	PFX13584.1
A0A2B4RSQ0	A0A2B4RSQ0_STYPI	unreviewed	pol AWC38_SpisGene14905	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	848	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0008168; GO:0016706	PFX20631.1
A0A2B4RM58	A0A2B4RM58_STYPI	unreviewed	lbx1 AWC38_SpisGene17374	Stylophora pistillata (Smooth cauliflower coral)	Transcription factor LBX1	288	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	GO:0000981; GO:0003677; GO:0005634	PFX18256.1
A0A3M6T5B5	A0A3M6T5B5_POCDA	unreviewed	pdam_00017190	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1472	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	RMX36571.1
A0A3M6UHY1	A0A3M6UHY1_POCDA	unreviewed	pdam_00022757	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	243			RMX53261.1
A0A3M6TTY7	A0A3M6TTY7_POCDA	unreviewed	pdam_00020004	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	559	integral component of membrane [GO:0016021]; GTPase activity [GO:0003924]; nucleotide binding [GO:0000166]	GO:0000166; GO:0003924; GO:0016021	RMX44872.1
A0A3M6V1P3	A0A3M6V1P3_POCDA	unreviewed	pdam_00023020	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	315			RMX59861.1
A0A3M6UMT8	A0A3M6UMT8_POCDA	unreviewed	pdam_00020780	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1098	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	RMX55007.1
A0A3M6U6J1	A0A3M6U6J1_POCDA	unreviewed	pdam_00005836	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1105	protein localization to juxtaparanode region of axon [GO:0071205]	GO:0071205	RMX49206.1
A0A3M6V1W0	A0A3M6V1W0_POCDA	unreviewed	pdam_00025022	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	622	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX59877.1
A0A3M6UFS9	A0A3M6UFS9_POCDA	unreviewed	pdam_00014376	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	333	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX52354.1
A0A3M6TK44	A0A3M6TK44_POCDA	unreviewed	pdam_00025261	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	174			RMX41716.1
A0A2B4RU58	A0A2B4RU58_STYPI	unreviewed	CELSR2 AWC38_SpisGene14375	Stylophora pistillata (Smooth cauliflower coral)	Cadherin EGF LAG seven-pass G-type receptor 2	2555	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0004930; GO:0005509; GO:0005886; GO:0007156; GO:0007166; GO:0016021	PFX21141.1
A0A2B4R5H2	A0A2B4R5H2_STYPI	unreviewed	K02A2.6 AWC38_SpisGene22308	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	1488	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; zinc ion binding [GO:0008270]	GO:0003677; GO:0008270; GO:0046983	PFX13594.1
A0A3M6V4Y5	A0A3M6V4Y5_POCDA	unreviewed	pdam_00007577	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	3652	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; G protein-coupled receptor activity [GO:0004930]; heparin binding [GO:0008201]; protein kinase activity [GO:0004672]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]	GO:0004672; GO:0004930; GO:0005524; GO:0005886; GO:0007399; GO:0008201; GO:0016021; GO:0030154	RMX61023.1
A0A2B4S2V7	A0A2B4S2V7_STYPI	unreviewed	ybeQ AWC38_SpisGene10400	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein YbeQ	934			PFX25034.1
A0A3M6U8Y5	A0A3M6U8Y5_POCDA	unreviewed	pdam_00002809	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fumarate hydratase (EC 4.2.1.2)	420	tricarboxylic acid cycle enzyme complex [GO:0045239]; fumarate hydratase activity [GO:0004333]; fumarate metabolic process [GO:0006106]; tricarboxylic acid cycle [GO:0006099]	GO:0004333; GO:0006099; GO:0006106; GO:0045239	RMX50061.1
A0A3M6TUQ6	A0A3M6TUQ6_POCDA	unreviewed	pdam_00016501	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1124	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX45133.1
A0A3M6UG91	A0A3M6UG91_POCDA	unreviewed	pdam_00019389	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1112	calcium ion binding [GO:0005509]	GO:0005509	RMX52589.1
A0A2B4S540	A0A2B4S540_STYPI	unreviewed	pol AWC38_SpisGene11517	Stylophora pistillata (Smooth cauliflower coral)	Pro-Pol polyprotein	1586	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX23920.1
A0A3M6TUV9	A0A3M6TUV9_POCDA	unreviewed	pdam_00023639	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	214			RMX45069.1
A0A3M6UEG7	A0A3M6UEG7_POCDA	unreviewed	pdam_00003743	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	392	calcium ion binding [GO:0005509]	GO:0005509	RMX52083.1
A0A3M6UEE4	A0A3M6UEE4_POCDA	unreviewed	pdam_00003750	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	102			RMX52032.1
A0A2B4RQ26	A0A2B4RQ26_STYPI	unreviewed	AWC38_SpisGene16302	Stylophora pistillata (Smooth cauliflower coral)	Rhamnosyl O-methyltransferase	255	methyltransferase activity [GO:0008168]; lipid biosynthetic process [GO:0008610]; methylation [GO:0032259]	GO:0008168; GO:0008610; GO:0032259	PFX19286.1
A0A2B4S421	A0A2B4S421_STYPI	unreviewed	N AWC38_SpisGene12221	Stylophora pistillata (Smooth cauliflower coral)	Neurogenic locus Notch protein	968	calcium ion binding [GO:0005509]	GO:0005509	PFX23215.1
A0A2B4SW33	A0A2B4SW33_STYPI	unreviewed	F5 AWC38_SpisGene2019	Stylophora pistillata (Smooth cauliflower coral)	Coagulation factor V	387			PFX33090.1
A0A2B4RG91	A0A2B4RG91_STYPI	unreviewed	pol AWC38_SpisGene19093	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon 17.6	970			PFX16631.1
A0A3M6UMJ7	A0A3M6UMJ7_POCDA	unreviewed	pdam_00024285	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	342	integral component of membrane [GO:0016021]	GO:0016021	RMX54829.1
A0A3M6U118	A0A3M6U118_POCDA	unreviewed	pdam_00018747	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	235			RMX47373.1
A0A3M6T7N2	A0A3M6T7N2_POCDA	unreviewed	pdam_00022218	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	383	signal transduction [GO:0007165]	GO:0007165	RMX37426.1
