Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110205BF3C56A578D7D6DFD1FC81EE5DA77302442196
A0A3M6UJN7	A0A3M6UJN7_POCDA	unreviewed	pdam_00000452	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TGF_BETA_2 domain-containing protein	348	extracellular region [GO:0005576]; growth factor activity [GO:0008083]	GO:0005576; GO:0008083	RMX53744.1
A0A3M6UIZ6	A0A3M6UIZ6_POCDA	unreviewed	pdam_00000448	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1424	membrane [GO:0016020]; calcium ion binding [GO:0005509]; heme binding [GO:0020037]; peroxidase activity [GO:0004601]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to oxidative stress [GO:0006979]	GO:0004601; GO:0005509; GO:0006979; GO:0007156; GO:0016020; GO:0020037	RMX53663.1
A0A3M6TJU3	A0A3M6TJU3_POCDA	unreviewed	pdam_00013091	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	608			RMX41538.1
A0A3M6TBU2	A0A3M6TBU2_POCDA	unreviewed	pdam_00022994	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TNFR-Cys domain-containing protein	409	integral component of membrane [GO:0016021]	GO:0016021	RMX38852.1
A0A3M6U4U5	A0A3M6U4U5_POCDA	unreviewed	pdam_00014334	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	199			RMX48690.1
A0A3M6TKC2	A0A3M6TKC2_POCDA	unreviewed	pdam_00020236	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	190	integral component of membrane [GO:0016021]	GO:0016021	RMX41728.1
A0A2B4SSX2	A0A2B4SSX2_STYPI	unreviewed	recQ AWC38_SpisGene3012	Stylophora pistillata (Smooth cauliflower coral)	ATP-dependent DNA helicase RecQ	2040	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]; protein kinase activity [GO:0004672]	GO:0003676; GO:0004386; GO:0004672; GO:0005524	PFX32199.1
A0A3M6UKS4	A0A3M6UKS4_POCDA	unreviewed	pdam_00013651	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	880	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX54225.1
A0A3M6UKP2	A0A3M6UKP2_POCDA	unreviewed	pdam_00013650	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	260			RMX54226.1
A0A2B4RDB8	A0A2B4RDB8_STYPI	unreviewed	Plch2 AWC38_SpisGene21512	Stylophora pistillata (Smooth cauliflower coral)	Phosphoinositide phospholipase C (EC 3.1.4.11)	1293	calcium ion binding [GO:0005509]; phosphatidylinositol phospholipase C activity [GO:0004435]; intracellular signal transduction [GO:0035556]; lipid catabolic process [GO:0016042]	GO:0004435; GO:0005509; GO:0016042; GO:0035556	PFX14337.1
A0A3M6UKV3	A0A3M6UKV3_POCDA	unreviewed	pdam_00013642	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	626			RMX54199.1
A0A3M6UKM2	A0A3M6UKM2_POCDA	unreviewed	pdam_00013636	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	681	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX54206.1
A0A3M6TNN0	A0A3M6TNN0_POCDA	unreviewed	pdam_00001795	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	120			RMX43033.1
A0A3M6UEI1	A0A3M6UEI1_POCDA	unreviewed	pdam_00003745	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	290			RMX52081.1
Q2V085	Q2V085_POCDA	unreviewed	EF1-alpha	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Elongation factor 1-alpha	462	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0003924; GO:0005525	BAE66714.2
A0A3M6UJW9	A0A3M6UJW9_POCDA	unreviewed	pdam_00014910	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	665	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX53993.1
A0A3M6UKT9	A0A3M6UKT9_POCDA	unreviewed	pdam_00014915	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	690	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005886; GO:0007155; GO:0007411; GO:0016021	RMX53988.1
A0A3M6V8H5	A0A3M6V8H5_POCDA	unreviewed	pdam_00023465	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1289	calcium ion binding [GO:0005509]	GO:0005509	RMX61338.1
A0A3M6TT08	A0A3M6TT08_POCDA	unreviewed	pdam_00010086	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	OTU domain-containing protein (Fragment)	541			RMX44428.1
A0A3M6UGJ1	A0A3M6UGJ1_POCDA	unreviewed	pdam_00014227	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	104	signal transduction [GO:0007165]	GO:0007165	RMX52762.1
A0A3M6UGE3	A0A3M6UGE3_POCDA	unreviewed	pdam_00014218	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	948	ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524	RMX52750.1
A0A2B4RWN4	A0A2B4RWN4_STYPI	unreviewed	AWC38_SpisGene12601	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	123	syntaxin binding [GO:0019905]; exocytosis [GO:0006887]; neurotransmitter transport [GO:0006836]	GO:0006836; GO:0006887; GO:0019905	PFX22864.1
A0A3M6U1F9	A0A3M6U1F9_POCDA	unreviewed	pdam_00002098	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	771	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX47472.1
A0A3M6TYL1	A0A3M6TYL1_POCDA	unreviewed	pdam_00024814	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	266	integral component of membrane [GO:0016021]	GO:0016021	RMX46493.1
A0A3M6U4P9	A0A3M6U4P9_POCDA	unreviewed	pdam_00017134	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ZU5 domain-containing protein (Fragment)	523	integral component of membrane [GO:0016021]; netrin receptor activity [GO:0005042]	GO:0005042; GO:0016021	RMX48591.1
A0A2B4R5H2	A0A2B4R5H2_STYPI	unreviewed	K02A2.6 AWC38_SpisGene22308	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	1488	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; zinc ion binding [GO:0008270]	GO:0003677; GO:0008270; GO:0046983	PFX13594.1
A0A2B4RJ99	A0A2B4RJ99_STYPI	unreviewed	pkd2 AWC38_SpisGene17973	Stylophora pistillata (Smooth cauliflower coral)	Polycystin-2	1481	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	PFX17691.1
A0A3M6U9Z1	A0A3M6U9Z1_POCDA	unreviewed	pdam_00006935	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PLAT domain-containing protein	1000	integral component of membrane [GO:0016021]	GO:0016021	RMX50344.1
A0A3M6U9R5	A0A3M6U9R5_POCDA	unreviewed	pdam_00006936	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	717	spliceosomal complex [GO:0005681]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	GO:0003723; GO:0005681; GO:0006397; GO:0008380	RMX50341.1
A0A3M6U4J9	A0A3M6U4J9_POCDA	unreviewed	pdam_00008512	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1154	ADP binding [GO:0043531]; signal transduction [GO:0007165]	GO:0007165; GO:0043531	RMX48517.1
A0A3M6TC33	A0A3M6TC33_POCDA	unreviewed	pdam_00008169	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Integrin_alpha2 domain-containing protein	994	integrin complex [GO:0008305]; cell adhesion [GO:0007155]; integrin-mediated signaling pathway [GO:0007229]	GO:0007155; GO:0007229; GO:0008305	RMX38977.1
A0A3M6TCJ0	A0A3M6TCJ0_POCDA	unreviewed	pdam_00008157	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	263	integral component of membrane [GO:0016021]	GO:0016021	RMX38974.1
A0A3M6TT39	A0A3M6TT39_POCDA	unreviewed	pdam_00025271	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	93			RMX44563.1
A0A3M6UQH1	A0A3M6UQH1_POCDA	unreviewed	pdam_00006287	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	614	transferase activity, transferring glycosyl groups [GO:0016757]; signal transduction [GO:0007165]	GO:0007165; GO:0016757	RMX55885.1
A0A3M6UQA0	A0A3M6UQA0_POCDA	unreviewed	pdam_00006284	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Thyroglobulin type-1 domain-containing protein	260			RMX55883.1
A0A3M6UQK9	A0A3M6UQK9_POCDA	unreviewed	pdam_00006267	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	425	membrane [GO:0016020]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal transduction [GO:0007165]	GO:0003924; GO:0005525; GO:0007165; GO:0016020	RMX55899.1
A0A3M6UQI9	A0A3M6UQI9_POCDA	unreviewed	pdam_00006261	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	375	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX55905.1
A0A3M6TCQ3	A0A3M6TCQ3_POCDA	unreviewed	pdam_00013527	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	320	signal transduction [GO:0007165]	GO:0007165	RMX39185.1
A0A3M6UYM9	A0A3M6UYM9_POCDA	unreviewed	pdam_00009498	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	356	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX58727.1
A0A3M6TQC2	A0A3M6TQC2_POCDA	unreviewed	pdam_00023422	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1242			RMX43592.1
A0A3M6TSJ1	A0A3M6TSJ1_POCDA	unreviewed	pdam_00021526	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	79			RMX44301.1
A0A3M6TST7	A0A3M6TST7_POCDA	unreviewed	pdam_00021525	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	566	calcium ion binding [GO:0005509]	GO:0005509	RMX44304.1
A0A3M6TSD2	A0A3M6TSD2_POCDA	unreviewed	pdam_00021523	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Proteasome subunit beta	284	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex [GO:0005839]; threonine-type endopeptidase activity [GO:0004298]; proteolysis involved in cellular protein catabolic process [GO:0051603]	GO:0004298; GO:0005634; GO:0005737; GO:0005839; GO:0051603	RMX44300.1
A0A3M6UZM1	A0A3M6UZM1_POCDA	unreviewed	pdam_00009827	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1433			RMX59136.1
A0A2B4S5S4	A0A2B4S5S4_STYPI	unreviewed	AWC38_SpisGene11580	Stylophora pistillata (Smooth cauliflower coral)	Ras-related protein Rab-10	298	integral component of membrane [GO:0016021]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525; GO:0016021	PFX23835.1
A0A3M6UHD0	A0A3M6UHD0_POCDA	unreviewed	pdam_00014591	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	398			RMX53062.1
A0A3M6UHC2	A0A3M6UHC2_POCDA	unreviewed	pdam_00014585	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	537			RMX53045.1
A0A3M6U3V4	A0A3M6U3V4_POCDA	unreviewed	pdam_00005457	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	863			RMX48249.1
A0A3M6U3J4	A0A3M6U3J4_POCDA	unreviewed	pdam_00005453	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1159	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]	GO:0016614; GO:0050660	RMX48245.1
A0A3M6U3P8	A0A3M6U3P8_POCDA	unreviewed	pdam_00005445	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	290			RMX48199.1
A0A3M6U3X7	A0A3M6U3X7_POCDA	unreviewed	pdam_00005431	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	60S ribosomal protein L38	70	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412	RMX48269.1
A0A3M6TD83	A0A3M6TD83_POCDA	unreviewed	pdam_00017904	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	183			RMX39340.1
A0A3M6TD38	A0A3M6TD38_POCDA	unreviewed	pdam_00017901	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	366			RMX39335.1
A0A2B4R6T8	A0A2B4R6T8_STYPI	unreviewed	Pkd2l1 AWC38_SpisGene23096	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease 2-like 1 protein	946	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	PFX12876.1
A0A3M6TZW4	A0A3M6TZW4_POCDA	unreviewed	pdam_00014518	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	252			RMX46916.1
A0A2B4RAT5	A0A2B4RAT5_STYPI	unreviewed	Acan AWC38_SpisGene22421	Stylophora pistillata (Smooth cauliflower coral)	Aggrecan core protein	854	calcium ion binding [GO:0005509]	GO:0005509	PFX13488.1
A0A2B4ST97	A0A2B4ST97_STYPI	unreviewed	GCSH AWC38_SpisGene1997	Stylophora pistillata (Smooth cauliflower coral)	Glycine cleavage system H protein	170	glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]; glycine decarboxylation via glycine cleavage system [GO:0019464]	GO:0005739; GO:0005960; GO:0019464	PFX33131.1
A0A3M6TRX3	A0A3M6TRX3_POCDA	unreviewed	pdam_00002496	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein	642	integral component of membrane [GO:0016021]	GO:0016021	RMX44187.1
A0A3M6TNX4	A0A3M6TNX4_POCDA	unreviewed	pdam_00006900	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	AP complex subunit beta	955	clathrin adaptor complex [GO:0030131]; clathrin binding [GO:0030276]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	GO:0006886; GO:0016192; GO:0030131; GO:0030276	RMX43113.1
A0A3M6TP38	A0A3M6TP38_POCDA	unreviewed	pdam_00006887	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	104			RMX43140.1
A0A2B4RF47	A0A2B4RF47_STYPI	unreviewed	AWC38_SpisGene20919	Stylophora pistillata (Smooth cauliflower coral)	G-protein coupled receptor GRL101	581	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	PFX14892.1
A0A2B4RBP5	A0A2B4RBP5_STYPI	unreviewed	AWC38_SpisGene22099	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	415			PFX13787.1
A0A3M6UMN7	A0A3M6UMN7_POCDA	unreviewed	pdam_00011138	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Kinesin motor domain-containing protein (Fragment)	1754	ATP binding [GO:0005524]; ATP-dependent microtubule motor activity [GO:1990939]; microtubule binding [GO:0008017]; microtubule-based movement [GO:0007018]	GO:0005524; GO:0007018; GO:0008017; GO:1990939	RMX54869.1
A0A3M6UMF1	A0A3M6UMF1_POCDA	unreviewed	pdam_00011140	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	WD_REPEATS_REGION domain-containing protein (Fragment)	482			RMX54836.1
A0A3M6UMH7	A0A3M6UMH7_POCDA	unreviewed	pdam_00011144	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	364	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX54840.1
A0A3M6UMJ6	A0A3M6UMJ6_POCDA	unreviewed	pdam_00011157	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	528			RMX54852.1
A0A3M6UME8	A0A3M6UME8_POCDA	unreviewed	pdam_00011158	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	378	integral component of membrane [GO:0016021]; neuropeptide Y receptor activity [GO:0004983]	GO:0004983; GO:0016021	RMX54857.1
A0A3M6UMH5	A0A3M6UMH5_POCDA	unreviewed	pdam_00011160	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	VWFA domain-containing protein	242			RMX54866.1
A0A3M6UMK5	A0A3M6UMK5_POCDA	unreviewed	pdam_00011164	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	243	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	RMX54862.1
A0A3M6UME9	A0A3M6UME9_POCDA	unreviewed	pdam_00011167	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Alpha-L-fucosidase (EC 3.2.1.51)	1623	cytoplasm [GO:0005737]; nucleus [GO:0005634]; alpha-L-fucosidase activity [GO:0004560]; calcium ion binding [GO:0005509]; carbohydrate metabolic process [GO:0005975]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; immune response [GO:0006955]	GO:0004560; GO:0005509; GO:0005634; GO:0005737; GO:0005975; GO:0006955; GO:0007249	RMX54863.1
A0A3M6UMK3	A0A3M6UMK3_POCDA	unreviewed	pdam_00011168	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	315	endosome membrane [GO:0010008]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; protein transport [GO:0015031]	GO:0010008; GO:0015031; GO:0032511	RMX54860.1
A0A2B4SZ90	A0A2B4SZ90_STYPI	unreviewed	AWC38_SpisGene487	Stylophora pistillata (Smooth cauliflower coral)	EGF-like domain-containing protein	391			PFX34616.1
A0A3M6UMF9	A0A3M6UMF9_POCDA	unreviewed	pdam_00011173	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1138			RMX54846.1
A0A3M6U8A4	A0A3M6U8A4_POCDA	unreviewed	pdam_00024746	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	196	signal transduction [GO:0007165]	GO:0007165	RMX49754.1
A0A3M6TRZ5	A0A3M6TRZ5_POCDA	unreviewed	pdam_00022981	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	HECT domain-containing protein	620	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	RMX44024.1
A0A6J8EJT0	A0A6J8EJT0_MYTCO	unreviewed	MCOR_52279	Mytilus coruscus (Sea mussel)	Uncharacterized protein	1346	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	CAC5420012.1
A0A497U340	A0A497U340_9BACT	unreviewed	DJ031_00290	bacterium endosymbiont of Escarpia laminata	Integrase catalytic domain-containing protein (Fragment)	810	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	RLJ22758.1
A0A3M6U272	A0A3M6U272_POCDA	unreviewed	pdam_00012358	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1048	calcium ion binding [GO:0005509]	GO:0005509	RMX47721.1
A0A3M6UTJ5	A0A3M6UTJ5_POCDA	unreviewed	pdam_00021154	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	270			RMX56919.1
A0A3M6TMW8	A0A3M6TMW8_POCDA	unreviewed	pdam_00018959	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1474	ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0005524	RMX42720.1
A0A3M6V423	A0A3M6V423_POCDA	unreviewed	pdam_00019954	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	331			RMX60474.1
A0A2B4RY76	A0A2B4RY76_STYPI	unreviewed	Rnf213 AWC38_SpisGene14315	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase RNF213	5388	ATPase activity [GO:0016887]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0016887	PFX21202.1
A0A2B4R8Y6	A0A2B4R8Y6_STYPI	unreviewed	AWC38_SpisGene22651	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	717			PFX13279.1
A0A2B4RSB2	A0A2B4RSB2_STYPI	unreviewed	Hmcn2 AWC38_SpisGene16471	Stylophora pistillata (Smooth cauliflower coral)	Hemicentin-2 (Fragment)	2769			PFX19122.1
A0A3M6U713	A0A3M6U713_POCDA	unreviewed	pdam_00013561	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Exonuclease domain-containing protein	646	nucleic acid binding [GO:0003676]	GO:0003676	RMX49258.1
A0A3M6U6M4	A0A3M6U6M4_POCDA	unreviewed	pdam_00013566	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	WD_REPEATS_REGION domain-containing protein	614			RMX49261.1
A0A3M6U703	A0A3M6U703_POCDA	unreviewed	pdam_00013571	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	866	integral component of membrane [GO:0016021]; cholesterol 24-hydroxylase activity [GO:0033781]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; cholesterol catabolic process [GO:0006707]	GO:0005506; GO:0006707; GO:0016021; GO:0020037; GO:0033781	RMX49248.1
A0A3M6U6D4	A0A3M6U6D4_POCDA	unreviewed	pdam_00013579	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	689			RMX49252.1
A0A3M6U6N4	A0A3M6U6N4_POCDA	unreviewed	pdam_00013584	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	IlGF domain-containing protein	115	extracellular region [GO:0005576]; hormone activity [GO:0005179]	GO:0005179; GO:0005576	RMX49271.1
A0A3M6U6J0	A0A3M6U6J0_POCDA	unreviewed	pdam_00013585	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	IlGF domain-containing protein	197	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; hormone activity [GO:0005179]	GO:0005179; GO:0005576; GO:0016021	RMX49270.1
A0A3M6U6F5	A0A3M6U6F5_POCDA	unreviewed	pdam_00013586	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Tyr recombinase domain-containing protein (Fragment)	305	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	RMX49272.1
A0A3M6TVU8	A0A3M6TVU8_POCDA	unreviewed	pdam_00024772	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PPM-type phosphatase domain-containing protein (Fragment)	390	metal ion binding [GO:0046872]; phosphoprotein phosphatase activity [GO:0004721]	GO:0004721; GO:0046872	RMX45481.1
A0A3M6TVQ4	A0A3M6TVQ4_POCDA	unreviewed	pdam_00024773	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	274	MLL3/4 complex [GO:0044666]; Set1C/COMPASS complex [GO:0048188]	GO:0044666; GO:0048188	RMX45482.1
