Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A352441782
A0A2B4RHA9	A0A2B4RHA9_STYPI	unreviewed	AWC38_SpisGene19555	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	2110			PFX16189.1
A0A2B4RCG1	A0A2B4RCG1_STYPI	unreviewed	AWC38_SpisGene21802	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	2532	integral component of membrane [GO:0016021]	GO:0016021	PFX14068.1
A0A3M6UQC0	A0A3M6UQC0_POCDA	unreviewed	pdam_00009552	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Exosome complex component RRP45 (Exosome component 9)	462	cytoplasm [GO:0005737]; exosome (RNase complex) [GO:0000178]; nucleus [GO:0005634]; RNA processing [GO:0006396]	GO:0000178; GO:0005634; GO:0005737; GO:0006396	RMX55809.1
A0A3M6UQ70	A0A3M6UQ70_POCDA	unreviewed	pdam_00009555	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	67	integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; mitochondrial cytochrome c oxidase assembly [GO:0033617]	GO:0005739; GO:0016021; GO:0033617	RMX55810.1
A0A3M6UQ61	A0A3M6UQ61_POCDA	unreviewed	pdam_00009562	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1807	actin binding [GO:0003779]; small GTPase binding [GO:0031267]; actin cytoskeleton organization [GO:0030036]	GO:0003779; GO:0030036; GO:0031267	RMX55800.1
A0A3M6U351	A0A3M6U351_POCDA	unreviewed	pdam_00002594	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	3544	cytoplasm [GO:0005737]; microtubule [GO:0005874]; calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; spectrin binding [GO:0030507]; neuron projection development [GO:0031175]	GO:0005516; GO:0005737; GO:0005874; GO:0008017; GO:0030507; GO:0031175	RMX48082.1
A0A3M6U315	A0A3M6U315_POCDA	unreviewed	pdam_00002595	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	355			RMX48083.1
A0A2B4RJK4	A0A2B4RJK4_STYPI	unreviewed	DCTN4 AWC38_SpisGene17869	Stylophora pistillata (Smooth cauliflower coral)	Dynactin subunit 4	1029	dynactin complex [GO:0005869]; integral component of membrane [GO:0016021]	GO:0005869; GO:0016021	PFX17801.1
A0A3M6U379	A0A3M6U379_POCDA	unreviewed	pdam_00002605	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF4704 domain-containing protein	1542			RMX48112.1
A0A2B4R7C7	A0A2B4R7C7_STYPI	unreviewed	Cad96Ca AWC38_SpisGene23271	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1048	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; scavenger receptor activity [GO:0005044]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005044; GO:0005524; GO:0016021	PFX12723.1
A0A3M6UFP7	A0A3M6UFP7_POCDA	unreviewed	pdam_00019909	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	461			RMX52436.1
A0A2B4RSQ0	A0A2B4RSQ0_STYPI	unreviewed	pol AWC38_SpisGene14905	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	848	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0008168; GO:0016706	PFX20631.1
A0A3M6U4S3	A0A3M6U4S3_POCDA	unreviewed	pdam_00014308	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	230			RMX48695.1
A0A3M6U4Y2	A0A3M6U4Y2_POCDA	unreviewed	pdam_00014322	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein Wnt	378	extracellular region [GO:0005576]; signaling receptor binding [GO:0005102]; multicellular organism development [GO:0007275]; Wnt signaling pathway [GO:0016055]	GO:0005102; GO:0005576; GO:0007275; GO:0016055	RMX48671.1
A0A3M6T7X6	A0A3M6T7X6_POCDA	unreviewed	pdam_00011699	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	226	growth factor activity [GO:0008083]	GO:0008083	RMX37451.1
A0A2B4RUG5	A0A2B4RUG5_STYPI	unreviewed	SUMF1 AWC38_SpisGene15707	Stylophora pistillata (Smooth cauliflower coral)	Sulfatase-modifying factor 1	862	zinc ion binding [GO:0008270]	GO:0008270	PFX19872.1
A0A3M6T7T9	A0A3M6T7T9_POCDA	unreviewed	pdam_00011718	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	449			RMX37467.1
A0A2B4R7K9	A0A2B4R7K9_STYPI	unreviewed	pol AWC38_SpisGene23869	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	344	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX12212.1
A0A3M6V225	A0A3M6V225_POCDA	unreviewed	pdam_00020264	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2458	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	RMX59608.1
A0A3M6UA62	A0A3M6UA62_POCDA	unreviewed	pdam_00025857	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	182			RMX50424.1
A0A3M6UZ90	A0A3M6UZ90_POCDA	unreviewed	pdam_00018169	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1250			RMX58993.1
A0A3M6UZA4	A0A3M6UZA4_POCDA	unreviewed	pdam_00018168	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	191			RMX58992.1
A0A3M6UZA8	A0A3M6UZA8_POCDA	unreviewed	pdam_00018163	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	825	cytoskeletal anchor activity [GO:0008093]; dynein complex binding [GO:0070840]	GO:0008093; GO:0070840	RMX58995.1
A0A2B4S344	A0A2B4S344_STYPI	unreviewed	MTMR14 AWC38_SpisGene11627	Stylophora pistillata (Smooth cauliflower coral)	Myotubularin-related protein 14	1547	phosphatidylinositol-3-phosphatase activity [GO:0004438]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004438; GO:0004725	PFX23826.1
A0A3M6TW30	A0A3M6TW30_POCDA	unreviewed	pdam_00012947	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	249	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	GO:0005737; GO:0005886	RMX45551.1
A0A3M6T495	A0A3M6T495_POCDA	unreviewed	pdam_00025752	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	294			RMX34493.1
A0A2B4RM80	A0A2B4RM80_STYPI	unreviewed	ADRA1B AWC38_SpisGene18240	Stylophora pistillata (Smooth cauliflower coral)	Alpha-1B adrenergic receptor	786	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX17447.1
A0A2B4STX4	A0A2B4STX4_STYPI	unreviewed	AWC38_SpisGene2429	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	401			PFX32796.1
A0A3M6UCI3	A0A3M6UCI3_POCDA	unreviewed	pdam_00004695	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	217			RMX51259.1
A0A3M6UCA0	A0A3M6UCA0_POCDA	unreviewed	pdam_00004706	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RRF domain-containing protein	271	translation [GO:0006412]	GO:0006412	RMX51282.1
A0A3M6TM49	A0A3M6TM49_POCDA	unreviewed	pdam_00014639	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	575			RMX42334.1
A0A2B4RIE1	A0A2B4RIE1_STYPI	unreviewed	pol AWC38_SpisGene18746	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	743	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX16956.1
A0A3M6TLN4	A0A3M6TLN4_POCDA	unreviewed	pdam_00014643	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CCHC-type domain-containing protein	531	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	RMX42335.1
A0A2B4RD72	A0A2B4RD72_STYPI	unreviewed	AWC38_SpisGene21066	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	612			PFX14753.1
A0A3M6UK11	A0A3M6UK11_POCDA	unreviewed	pdam_00014882	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1048	plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005509; GO:0005886; GO:0007155; GO:0007411	RMX53996.1
A0A2B4SBK0	A0A2B4SBK0_STYPI	unreviewed	AWC38_SpisGene25874	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	125			PFX25957.1
A0A3M6UXT9	A0A3M6UXT9_POCDA	unreviewed	pdam_00000110	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	787	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	GO:0007165; GO:0016021	RMX58344.1
A0A2B4S4Y5	A0A2B4S4Y5_STYPI	unreviewed	pol AWC38_SpisGene10448	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	357	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX24951.1
A0A3M6TP54	A0A3M6TP54_POCDA	unreviewed	pdam_00006855	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Beta/gamma crystallin 'Greek key' domain-containing protein	104			RMX43126.1
A0A3M6TPE8	A0A3M6TPE8_POCDA	unreviewed	pdam_00006857	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	619	integral component of membrane [GO:0016021]	GO:0016021	RMX43128.1
A0A3M6TNZ9	A0A3M6TNZ9_POCDA	unreviewed	pdam_00006868	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	435	RNA binding [GO:0003723]	GO:0003723	RMX43122.1
A0A3M6TP10	A0A3M6TP10_POCDA	unreviewed	pdam_00006871	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Reverse transcriptase domain-containing protein	427			RMX43147.1
A0A2B4S3V6	A0A2B4S3V6_STYPI	unreviewed	Trim3 AWC38_SpisGene10825	Stylophora pistillata (Smooth cauliflower coral)	Tripartite motif-containing protein 3	1071			PFX24581.1
A0A2B4RRF6	A0A2B4RRF6_STYPI	unreviewed	AWC38_SpisGene16755	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	415	DNA-binding transcription factor activity [GO:0003700]; positive regulation of transcription from RNA polymerase II promoter in response to calcium ion [GO:0061400]	GO:0003700; GO:0061400	PFX18845.1
A0A3M6V2Y6	A0A3M6V2Y6_POCDA	unreviewed	pdam_00023836	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	240			RMX60306.1
A0A2B4RHW2	A0A2B4RHW2_STYPI	unreviewed	MTMR9 AWC38_SpisGene18942	Stylophora pistillata (Smooth cauliflower coral)	Myotubularin-related protein 9	887	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]	GO:0008168; GO:0016706	PFX16766.1
A0A3M6U660	A0A3M6U660_POCDA	unreviewed	pdam_00003922	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	111			RMX49155.1
A0A2B4SPT6	A0A2B4SPT6_STYPI	unreviewed	Slc9a2 AWC38_SpisGene4827	Stylophora pistillata (Smooth cauliflower coral)	Sodium/hydrogen exchanger	1376	integral component of membrane [GO:0016021]; sodium:proton antiporter activity [GO:0015385]; regulation of pH [GO:0006885]	GO:0006885; GO:0015385; GO:0016021	PFX30385.1
A0A3M6UG76	A0A3M6UG76_POCDA	unreviewed	pdam_00016866	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	110			RMX52626.1
A0A3M6UYK2	A0A3M6UYK2_POCDA	unreviewed	pdam_00021420	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	176			RMX58669.1
A0A2B4RX50	A0A2B4RX50_STYPI	unreviewed	ABCC4 AWC38_SpisGene13782	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	1269	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	PFX21736.1
A0A3M6TSY3	A0A3M6TSY3_POCDA	unreviewed	pdam_00010078	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	553			RMX44441.1
A0A3M6TSS2	A0A3M6TSS2_POCDA	unreviewed	pdam_00010079	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Phosphatidylinositol-glycan biosynthesis class X protein	352	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; GPI anchor biosynthetic process [GO:0006506]	GO:0005789; GO:0006506; GO:0016021	RMX44442.1
A0A3M6TSR0	A0A3M6TSR0_POCDA	unreviewed	pdam_00010080	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	754			RMX44430.1
A0A3M6UUZ4	A0A3M6UUZ4_POCDA	unreviewed	pdam_00020980	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Centromere protein M (Fragment)	210	chromosome [GO:0005694]; nucleus [GO:0005634]	GO:0005634; GO:0005694	RMX57491.1
A0A2B4S0P4	A0A2B4S0P4_STYPI	unreviewed	nol12 AWC38_SpisGene12861	Stylophora pistillata (Smooth cauliflower coral)	Nucleolar protein 12	246	nucleolus [GO:0005730]	GO:0005730	PFX22619.1
A0A2B4RED9	A0A2B4RED9_STYPI	unreviewed	AWC38_SpisGene21120	Stylophora pistillata (Smooth cauliflower coral)	Tyrosine-protein kinase SPK-1	1542	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	PFX14707.1
A0A2B4T0N4	A0A2B4T0N4_STYPI	unreviewed	AWC38_SpisGene384	Stylophora pistillata (Smooth cauliflower coral)	OTU domain-containing protein	743			PFX34700.1
A0A3M6T806	A0A3M6T806_POCDA	unreviewed	pdam_00022476	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	337			RMX37418.1
A0A3M6UUQ7	A0A3M6UUQ7_POCDA	unreviewed	pdam_00021306	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1233	metalloendopeptidase activity [GO:0004222]	GO:0004222	RMX57319.1
A0A3M6UA15	A0A3M6UA15_POCDA	unreviewed	pdam_00008746	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Anoctamin	4688	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein dimerization activity [GO:0046983]	GO:0005886; GO:0016021; GO:0046983	RMX50532.1
A0A2B4SI20	A0A2B4SI20_STYPI	unreviewed	2 AWC38_SpisGene5740	Stylophora pistillata (Smooth cauliflower coral)	Histone H3	575	integral component of membrane [GO:0016021]; nucleosome [GO:0000786]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	GO:0000786; GO:0003677; GO:0016021; GO:0046982	PFX29521.1
A0A2B4SKX4	A0A2B4SKX4_STYPI	unreviewed	ADRB2 AWC38_SpisGene5743	Stylophora pistillata (Smooth cauliflower coral)	Beta-2 adrenergic receptor	573	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX29520.1
A0A3M6UA63	A0A3M6UA63_POCDA	unreviewed	pdam_00008762	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1243	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX50540.1
A0A3M6UA83	A0A3M6UA83_POCDA	unreviewed	pdam_00008772	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	667	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX50563.1
A0A3M6TED4	A0A3M6TED4_POCDA	unreviewed	pdam_00023605	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	1057	transferase activity, transferring glycosyl groups [GO:0016757]; signal transduction [GO:0007165]	GO:0007165; GO:0016757	RMX39669.1
A0A2B4S6C9	A0A2B4S6C9_STYPI	unreviewed	GBP3 AWC38_SpisGene10781	Stylophora pistillata (Smooth cauliflower coral)	Guanylate-binding protein 3	919	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	PFX24609.1
A0A3M6TB70	A0A3M6TB70_POCDA	unreviewed	pdam_00024704	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1073			RMX38635.1
A0A432IAB2	A0A432IAB2_9GAMM	unreviewed	DSY43_00290	Gammaproteobacteria bacterium	Reverse transcriptase domain-containing protein	315			RUA07247.1
A0A3M6V3C0	A0A3M6V3C0_POCDA	unreviewed	pdam_00017776	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RRM domain-containing protein	211	RNA binding [GO:0003723]	GO:0003723	RMX60436.1
A0A3M6V3E6	A0A3M6V3E6_POCDA	unreviewed	pdam_00017773	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	545	extracellular region [GO:0005576]; enzyme inhibitor activity [GO:0004857]; metal ion binding [GO:0046872]; metalloendopeptidase inhibitor activity [GO:0008191]	GO:0004857; GO:0005576; GO:0008191; GO:0046872	RMX60441.1
A0A2B4SZ57	A0A2B4SZ57_STYPI	unreviewed	AWC38_SpisGene839	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein C7orf57-like	459			PFX34363.1
A0A3M6TDQ4	A0A3M6TDQ4_POCDA	unreviewed	pdam_00017911	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	319			RMX39354.1
A0A2B4RWZ6	A0A2B4RWZ6_STYPI	unreviewed	AWC38_SpisGene13340	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	806			PFX22141.1
A0A2B4S0N4	A0A2B4S0N4_STYPI	unreviewed	K02A2.6 AWC38_SpisGene12884	Stylophora pistillata (Smooth cauliflower coral)	18S rRNA aminocarboxypropyltransferase (EC 2.5.1.-)	1301	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]; S-adenosyl-L-methionine binding [GO:1904047]; transferase activity [GO:0016740]; DNA integration [GO:0015074]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	GO:0000455; GO:0003676; GO:0005737; GO:0015074; GO:0016740; GO:1904047	PFX22609.1
A0A2B4R6G4	A0A2B4R6G4_STYPI	unreviewed	AWC38_SpisGene24016	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	735	integral component of membrane [GO:0016021]	GO:0016021	PFX12080.1
A0A3M6T8R1	A0A3M6T8R1_POCDA	unreviewed	pdam_00006549	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	312			RMX37719.1
A0A2B4S2S4	A0A2B4S2S4_STYPI	unreviewed	AWC38_SpisGene12630	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	707			PFX22858.1
A0A3M6V1V0	A0A3M6V1V0_POCDA	unreviewed	pdam_00025561	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	776			RMX59867.1
A0A3M6TNC2	A0A3M6TNC2_POCDA	unreviewed	pdam_00014151	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Mab-21 domain-containing protein	351			RMX42734.1
A0A3M6TAA9	A0A3M6TAA9_POCDA	unreviewed	pdam_00022867	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein (Fragment)	1634	transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016757	RMX38283.1
A0A3M6U6B7	A0A3M6U6B7_POCDA	unreviewed	pdam_00003926	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	248			RMX49151.1
A0A3M6TWV6	A0A3M6TWV6_POCDA	unreviewed	pdam_00022698	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	UBC core domain-containing protein (Fragment)	151			RMX45841.1
A0A3M6TJL4	A0A3M6TJL4_POCDA	unreviewed	pdam_00008911	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	543	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]	GO:0046872; GO:0061630	RMX41612.1
A0A3M6TJT3	A0A3M6TJT3_POCDA	unreviewed	pdam_00008908	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	711	RNA binding [GO:0003723]	GO:0003723	RMX41645.1
A0A3M6TJQ1	A0A3M6TJQ1_POCDA	unreviewed	pdam_00008892	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Septin	392	ciliary membrane [GO:0060170]; cleavage furrow [GO:0032154]; midbody [GO:0030496]; spindle [GO:0005819]; GTP binding [GO:0005525]; cell division [GO:0051301]	GO:0005525; GO:0005819; GO:0030496; GO:0032154; GO:0051301; GO:0060170	RMX41615.1
A0A288MWZ7	A0A288MWZ7_POCDA	unreviewed		Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Caspase 3	344	cysteine-type endopeptidase activity [GO:0004197]	GO:0004197	AMZ03552.1
A0A3M6V0F0	A0A3M6V0F0_POCDA	unreviewed	pdam_00024546	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	159			RMX59018.1
A0A3M6UDA7	A0A3M6UDA7_POCDA	unreviewed	pdam_00025342	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	211			RMX51642.1
A0A3M6TU97	A0A3M6TU97_POCDA	unreviewed	pdam_00017365	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2038	integral component of membrane [GO:0016021]	GO:0016021	RMX44985.1
A0A3M6US01	A0A3M6US01_POCDA	unreviewed	pdam_00008794	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	341	bioluminescence [GO:0008218]	GO:0008218	RMX56440.1
A0A2B4S1S4	A0A2B4S1S4_STYPI	unreviewed	ABCC4 AWC38_SpisGene12472	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	1240	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	PFX23003.1
A0A3M6UUC4	A0A3M6UUC4_POCDA	unreviewed	pdam_00021149	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1934	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX56918.1
A0A3M6UEE5	A0A3M6UEE5_POCDA	unreviewed	pdam_00018949	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	4495	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; endocytosis [GO:0006897]	GO:0005509; GO:0006897; GO:0016021	RMX51874.1
A0A3M6TZ78	A0A3M6TZ78_POCDA	unreviewed	pdam_00023914	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1542			RMX46687.1
A0A2B4R7C8	A0A2B4R7C8_STYPI	unreviewed	TTC28 AWC38_SpisGene23681	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1616	integral component of membrane [GO:0016021]	GO:0016021	PFX12380.1
A0A3M6TII5	A0A3M6TII5_POCDA	unreviewed	pdam_00003243	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	915	integral component of membrane [GO:0016021]; calcium channel activity [GO:0005262]	GO:0005262; GO:0016021	RMX41088.1
A0A2B4RPU7	A0A2B4RPU7_STYPI	unreviewed	Tnpo3 AWC38_SpisGene17348	Stylophora pistillata (Smooth cauliflower coral)	Transportin-3	1385	small GTPase binding [GO:0031267]; intracellular protein transport [GO:0006886]	GO:0006886; GO:0031267	PFX18285.1
