Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M2021102092C7BAECDB1C5C413EE0E0348724B6822441ACZ
A0A3M6U272	A0A3M6U272_POCDA	unreviewed	pdam_00012358	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1048	calcium ion binding [GO:0005509]	GO:0005509	RMX47721.1
A0A2B4ST97	A0A2B4ST97_STYPI	unreviewed	GCSH AWC38_SpisGene1997	Stylophora pistillata (Smooth cauliflower coral)	Glycine cleavage system H protein	170	glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]; glycine decarboxylation via glycine cleavage system [GO:0019464]	GO:0005739; GO:0005960; GO:0019464	PFX33131.1
A0A2B4RR31	A0A2B4RR31_STYPI	unreviewed	ABCC4 AWC38_SpisGene16791	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	1333	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	PFX18807.1
A0A432I433	A0A432I433_9GAMM	unreviewed	DSY43_05490	Gammaproteobacteria bacterium	Uncharacterized protein (Fragment)	992			RUA05016.1
A0A2B4RY06	A0A2B4RY06_STYPI	unreviewed	PTK7 AWC38_SpisGene14298	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1390	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX21217.1
A0A2B4RJC4	A0A2B4RJC4_STYPI	unreviewed	Hmcn2 AWC38_SpisGene19127	Stylophora pistillata (Smooth cauliflower coral)	Hemicentin-2	908	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein tyrosine kinase activity [GO:0004713]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0004713; GO:0005886; GO:0007155; GO:0007411; GO:0016021	PFX16590.1
A0A2B4RPL2	A0A2B4RPL2_STYPI	unreviewed	TY3B-G AWC38_SpisGene17169	Stylophora pistillata (Smooth cauliflower coral)	Transposon Ty3-G Gag-Pol polyprotein	865			PFX18470.1
A0A3M6T5Q3	A0A3M6T5Q3_POCDA	unreviewed	pdam_00023131	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1732	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0016787; GO:0046872	RMX36756.1
A0A3M6V1V0	A0A3M6V1V0_POCDA	unreviewed	pdam_00025561	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	776			RMX59867.1
A0A2B4S041	A0A2B4S041_STYPI	unreviewed	AWC38_SpisGene13551	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	326			PFX21938.1
A0A3M6T4H4	A0A3M6T4H4_POCDA	unreviewed	pdam_00003806	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	429	extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160]	GO:0005509; GO:0005576; GO:0007160	RMX35530.1
A0A3M6T4G8	A0A3M6T4G8_POCDA	unreviewed	pdam_00003812	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2188	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; catalase activity [GO:0004096]; heme binding [GO:0020037]	GO:0004096; GO:0005509; GO:0016021; GO:0020037	RMX35495.1
A0A2B4S9V2	A0A2B4S9V2_STYPI	unreviewed	AWC38_SpisGene9524	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	97			PFX25813.1
A0A3M6T4M2	A0A3M6T4M2_POCDA	unreviewed	pdam_00003816	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	789			RMX35491.1
A0A2B4SB64	A0A2B4SB64_STYPI	unreviewed	Pkd1l2 AWC38_SpisGene9521	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 2	3349	integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005634; GO:0005886; GO:0016021	PFX25817.1
A0A3M6U291	A0A3M6U291_POCDA	unreviewed	pdam_00012341	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2446	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; catalase activity [GO:0004096]; heme binding [GO:0020037]	GO:0004096; GO:0005509; GO:0005886; GO:0016021; GO:0020037	RMX47737.1
A0A3M6V0F0	A0A3M6V0F0_POCDA	unreviewed	pdam_00024546	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	159			RMX59018.1
A0A2B4RBH1	A0A2B4RBH1_STYPI	unreviewed	AWC38_SpisGene22334	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1695	regulation of apoptotic process [GO:0042981]; signal transduction [GO:0007165]	GO:0007165; GO:0042981	PFX13572.1
A0A3M6T843	A0A3M6T843_POCDA	unreviewed	pdam_00019640	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	917	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX37542.1
A0A3M6V5P6	A0A3M6V5P6_POCDA	unreviewed	pdam_00020936	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	406			RMX61303.1
A0A3M6UQW1	A0A3M6UQW1_POCDA	unreviewed	pdam_00020377	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Rho-GAP domain-containing protein	541	signal transduction [GO:0007165]	GO:0007165	RMX56050.1
A0A2B4SIK9	A0A2B4SIK9_STYPI	unreviewed	AWC38_SpisGene6900	Stylophora pistillata (Smooth cauliflower coral)	BHLH domain-containing protein	431	DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; spermatogenesis [GO:0007283]	GO:0003700; GO:0007283; GO:0046983	PFX28398.1
A0A3M6URS9	A0A3M6URS9_POCDA	unreviewed	pdam_00020375	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	WD_REPEATS_REGION domain-containing protein	576			RMX56048.1
A0A3M6UQW0	A0A3M6UQW0_POCDA	unreviewed	pdam_00020373	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1701	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX56046.1
A0A3M6TLU8	A0A3M6TLU8_POCDA	unreviewed	pdam_00009866	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	LEM domain-containing protein (Fragment)	891	protein phosphatase 2A binding [GO:0051721]; cell cycle [GO:0007049]; cell division [GO:0051301]; positive regulation of protein dephosphorylation [GO:0035307]	GO:0007049; GO:0035307; GO:0051301; GO:0051721	RMX42278.1
A0A2B4RWJ7	A0A2B4RWJ7_STYPI	unreviewed	Ptprd AWC38_SpisGene14966	Stylophora pistillata (Smooth cauliflower coral)	Protein-tyrosine-phosphatase (EC 3.1.3.48)	3450	integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0016021	PFX20592.1
A0A3M6UP19	A0A3M6UP19_POCDA	unreviewed	pdam_00024465	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF3504 domain-containing protein (Fragment)	248	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	RMX55098.1
A0A2B4RCA6	A0A2B4RCA6_STYPI	unreviewed	AWC38_SpisGene21885	Stylophora pistillata (Smooth cauliflower coral)	DNA-directed DNA polymerase (EC 2.7.7.7)	898	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0006260	PFX13997.1
A0A3M6U482	A0A3M6U482_POCDA	unreviewed	pdam_00015216	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	262			RMX48472.1
A0A3M6V488	A0A3M6V488_POCDA	unreviewed	pdam_00006802	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SERPIN domain-containing protein	501	extracellular space [GO:0005615]	GO:0005615	RMX60735.1
A0A3M6UTD3	A0A3M6UTD3_POCDA	unreviewed	pdam_00006289	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109)	746	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]	GO:0004169; GO:0005783; GO:0016021	RMX56859.1
A0A2B4S2Y5	A0A2B4S2Y5_STYPI	unreviewed	Ncald AWC38_SpisGene11639	Stylophora pistillata (Smooth cauliflower coral)	Neurocalcin-delta	742	calcium ion binding [GO:0005509]	GO:0005509	PFX23776.1
A0A3M6UT25	A0A3M6UT25_POCDA	unreviewed	pdam_00006304	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1290			RMX56843.1
A0A3M6UT75	A0A3M6UT75_POCDA	unreviewed	pdam_00006306	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	549			RMX56845.1
A0A3M6UT42	A0A3M6UT42_POCDA	unreviewed	pdam_00006311	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	651			RMX56863.1
A0A3M6UTE6	A0A3M6UTE6_POCDA	unreviewed	pdam_00006319	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	718	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX56869.1
A0A3M6UTF4	A0A3M6UTF4_POCDA	unreviewed	pdam_00006323	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	40S ribosomal protein S25	127	ribosome [GO:0005840]	GO:0005840	RMX56854.1
A0A3M6UPD8	A0A3M6UPD8_POCDA	unreviewed	pdam_00013322	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Phospholipase A2 (EC 3.1.1.4) (Fragment)	1025	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; phospholipase A2 activity [GO:0004623]; phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine) [GO:0102567]; phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine) [GO:0102568]; phospholipid catabolic process [GO:0009395]	GO:0004623; GO:0005737; GO:0009395; GO:0046872; GO:0102567; GO:0102568	RMX55485.1
A0A2B4S6I0	A0A2B4S6I0_STYPI	unreviewed	opuD AWC38_SpisGene9846	Stylophora pistillata (Smooth cauliflower coral)	Glycine betaine transporter OpuD	633	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; nitrogen compound transport [GO:0071705]	GO:0005886; GO:0016021; GO:0022857; GO:0071705	PFX25521.1
A0A3M6V2A9	A0A3M6V2A9_POCDA	unreviewed	pdam_00004516	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1291	metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]	GO:0004181; GO:0008270	RMX60061.1
A0A3M6V2B3	A0A3M6V2B3_POCDA	unreviewed	pdam_00004512	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	319	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX60065.1
A0A3M6V2F4	A0A3M6V2F4_POCDA	unreviewed	pdam_00004510	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Bromo domain-containing protein	1465	CERF complex [GO:0090537]; ATP-dependent chromatin remodeling [GO:0043044]	GO:0043044; GO:0090537	RMX60067.1
A0A3M6V2E2	A0A3M6V2E2_POCDA	unreviewed	pdam_00004501	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1168	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX60095.1
A0A2B4SMX8	A0A2B4SMX8_STYPI	unreviewed	Slc9c1 AWC38_SpisGene3176	Stylophora pistillata (Smooth cauliflower coral)	Sodium/hydrogen exchanger 10	1374	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]; solute:proton antiporter activity [GO:0015299]; sodium ion transport [GO:0006814]	GO:0005216; GO:0006814; GO:0015299; GO:0016021	PFX32044.1
A0A3M6V2D2	A0A3M6V2D2_POCDA	unreviewed	pdam_00004487	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	617	endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; melanosome [GO:0042470]; sarcoplasmic reticulum lumen [GO:0033018]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005576; GO:0005789; GO:0005794; GO:0033018; GO:0042470	RMX60047.1
A0A3M6UCM4	A0A3M6UCM4_POCDA	unreviewed	pdam_00012637	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	636	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX51430.1
A0A2B4SFS7	A0A2B4SFS7_STYPI	unreviewed	Rgs11 AWC38_SpisGene7848	Stylophora pistillata (Smooth cauliflower coral)	Regulator of G-protein signaling 11	515	extracellular region [GO:0005576]; G protein-coupled receptor signaling pathway [GO:0007186]; intracellular signal transduction [GO:0035556]; negative regulation of signal transduction [GO:0009968]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]	GO:0005576; GO:0007186; GO:0008277; GO:0009968; GO:0035556	PFX27458.1
A0A2B4RJC8	A0A2B4RJC8_STYPI	unreviewed	AWC38_SpisGene19392	Stylophora pistillata (Smooth cauliflower coral)	DUF5641 domain-containing protein	1451			PFX16342.1
A0A3M6UD47	A0A3M6UD47_POCDA	unreviewed	pdam_00012609	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Metalloendopeptidase (EC 3.4.24.-) (Fragment)	472	extracellular region [GO:0005576]; nematocyst [GO:0042151]; metalloendopeptidase activity [GO:0004222]; toxin activity [GO:0090729]; zinc ion binding [GO:0008270]	GO:0004222; GO:0005576; GO:0008270; GO:0042151; GO:0090729	RMX51434.1
A0A3M6URF7	A0A3M6URF7_POCDA	unreviewed	pdam_00018228	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	764	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX56231.1
A0A3M6UR02	A0A3M6UR02_POCDA	unreviewed	pdam_00024425	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	633			RMX55778.1
A0A2B4RJQ9	A0A2B4RJQ9_STYPI	unreviewed	AWC38_SpisGene19123	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1824	nucleic acid binding [GO:0003676]	GO:0003676	PFX16598.1
A0A2B4RMV5	A0A2B4RMV5_STYPI	unreviewed	AWC38_SpisGene15792	Stylophora pistillata (Smooth cauliflower coral)	Tachylectin-2	898	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX19764.1
A0A2B4SMQ1	A0A2B4SMQ1_STYPI	unreviewed	Ubiad1 AWC38_SpisGene3200	Stylophora pistillata (Smooth cauliflower coral)	UbiA prenyltransferase domain-containing protein 1	660	integral component of membrane [GO:0016021]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; prenyltransferase activity [GO:0004659]; sequence-specific DNA binding [GO:0043565]; menaquinone biosynthetic process [GO:0009234]	GO:0003700; GO:0004659; GO:0005634; GO:0009234; GO:0016021; GO:0043565	PFX31964.1
A0A3M6TQP2	A0A3M6TQP2_POCDA	unreviewed	pdam_00006397	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SUEL-type lectin domain-containing protein	602	carbohydrate binding [GO:0030246]	GO:0030246	RMX43722.1
A0A1P8AJC4	A0A1P8AJC4_POCDA	unreviewed		Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Galectin	235	carbohydrate binding [GO:0030246]	GO:0030246	AMZ03553.1
A0A3M6TQV2	A0A3M6TQV2_POCDA	unreviewed	pdam_00006402	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	298	MOZ/MORF histone acetyltransferase complex [GO:0070776]; metal ion binding [GO:0046872]; histone acetylation [GO:0016573]; negative regulation of cell population proliferation [GO:0008285]	GO:0008285; GO:0016573; GO:0046872; GO:0070776	RMX43726.1
A0A3M6U3U7	A0A3M6U3U7_POCDA	unreviewed	pdam_00011127	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	933	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	RMX48330.1
A0A3M6U3Y7	A0A3M6U3Y7_POCDA	unreviewed	pdam_00011128	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	99			RMX48306.1
A0A3M6U420	A0A3M6U420_POCDA	unreviewed	pdam_00011130	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DJ-1_PfpI domain-containing protein (Fragment)	244			RMX48346.1
A0A3M6UNS5	A0A3M6UNS5_POCDA	unreviewed	pdam_00025122	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	353			RMX55280.1
A0A3M6U9H6	A0A3M6U9H6_POCDA	unreviewed	pdam_00006916	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	5234	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; scavenger receptor activity [GO:0005044]; cell adhesion [GO:0007155]	GO:0005044; GO:0005509; GO:0007155; GO:0016021; GO:0030246	RMX50310.1
A0A2B4T1C5	A0A2B4T1C5_STYPI	unreviewed	HMCN1 AWC38_SpisGene549	Stylophora pistillata (Smooth cauliflower coral)	Hemicentin-1	1791	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; nematocyst [GO:0042151]; toxin activity [GO:0090729]	GO:0005576; GO:0016021; GO:0042151; GO:0090729	PFX34588.1
A0A3M6TE45	A0A3M6TE45_POCDA	unreviewed	pdam_00003962	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1417			RMX39618.1
A0A3M6TDM6	A0A3M6TDM6_POCDA	unreviewed	pdam_00006093	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	203			RMX39537.1
A0A3M6TE02	A0A3M6TE02_POCDA	unreviewed	pdam_00003988	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	4608	cilium [GO:0005929]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; microtubule-based movement [GO:0007018]	GO:0005524; GO:0005737; GO:0005874; GO:0005929; GO:0007018; GO:0008569; GO:0030286	RMX39603.1
A0A3M6TE18	A0A3M6TE18_POCDA	unreviewed	pdam_00003991	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	231	vacuolar transport [GO:0007034]	GO:0007034	RMX39630.1
A0A3M6TE93	A0A3M6TE93_POCDA	unreviewed	pdam_00003992	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	109			RMX39629.1
A0A3M6TE19	A0A3M6TE19_POCDA	unreviewed	pdam_00003997	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	308	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412	RMX39632.1
A0A3M6TDU0	A0A3M6TDU0_POCDA	unreviewed	pdam_00004001	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ubiquitinyl hydrolase 1 (EC 3.4.19.12)	1050	thiol-dependent deubiquitinase [GO:0004843]; zinc ion binding [GO:0008270]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0004843; GO:0006511; GO:0008270; GO:0016579	RMX39607.1
A0A3M6TDY2	A0A3M6TDY2_POCDA	unreviewed	pdam_00004009	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	443			RMX39615.1
A0A3M6TE78	A0A3M6TE78_POCDA	unreviewed	pdam_00004010	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1559	zinc ion binding [GO:0008270]	GO:0008270	RMX39648.1
A0A3M6TE46	A0A3M6TE46_POCDA	unreviewed	pdam_00004015	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	209			RMX39643.1
A0A3M6TE41	A0A3M6TE41_POCDA	unreviewed	pdam_00004018	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	288			RMX39650.1
A0A3M6TDS8	A0A3M6TDS8_POCDA	unreviewed	pdam_00004020	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	595	hydrolase activity, acting on ester bonds [GO:0016788]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	GO:0000166; GO:0009166; GO:0016788; GO:0046872	RMX39597.1
A0A3M6TDW3	A0A3M6TDW3_POCDA	unreviewed	pdam_00004022	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1279			RMX39595.1
A0A3M6TE44	A0A3M6TE44_POCDA	unreviewed	pdam_00004024	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	3970			RMX39601.1
A0A3M6V3F4	A0A3M6V3F4_POCDA	unreviewed	pdam_00020197	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	330			RMX60445.1
A0A2B4SQT7	A0A2B4SQT7_STYPI	unreviewed	AWC38_SpisGene3710	Stylophora pistillata (Smooth cauliflower coral)	Integrase_H2C2 domain-containing protein	1185	nucleic acid binding [GO:0003676]	GO:0003676	PFX31433.1
A0A2B4RWP4	A0A2B4RWP4_STYPI	unreviewed	AWC38_SpisGene14292	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	306			PFX21239.1
A0A2B4RDI9	A0A2B4RDI9_STYPI	unreviewed	AWC38_SpisGene21436	Stylophora pistillata (Smooth cauliflower coral)	SAP domain-containing protein	1201			PFX14407.1
A0A3M6UL45	A0A3M6UL45_POCDA	unreviewed	pdam_00018405	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	684	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX54355.1
A0A3M6UPP1	A0A3M6UPP1_POCDA	unreviewed	pdam_00001662	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF1080 domain-containing protein	705			RMX55647.1
A0A3M6UQ22	A0A3M6UQ22_POCDA	unreviewed	pdam_00001665	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	490			RMX55644.1
A0A3M6UPS7	A0A3M6UPS7_POCDA	unreviewed	pdam_00001667	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2211	metal ion binding [GO:0046872]; regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]	GO:0023051; GO:0030155; GO:0046872	RMX55642.1
A0A3M6UPU5	A0A3M6UPU5_POCDA	unreviewed	pdam_00001672	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1402			RMX55619.1
