Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A35244169G
A0A3M6T5S6	A0A3M6T5S6_POCDA	unreviewed	pdam_00023575	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	WD_REPEATS_REGION domain-containing protein (Fragment)	949			RMX36659.1
A0A3M6V074	A0A3M6V074_POCDA	unreviewed	pdam_00005693	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	281	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX59239.1
A0A3M6V008	A0A3M6V008_POCDA	unreviewed	pdam_00005703	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	410	integral component of membrane [GO:0016021]; inward rectifier potassium channel activity [GO:0005242]; regulation of ion transmembrane transport [GO:0034765]	GO:0005242; GO:0016021; GO:0034765	RMX59266.1
A0A3M6V014	A0A3M6V014_POCDA	unreviewed	pdam_00005709	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1925	double-strand break repair [GO:0006302]	GO:0006302	RMX59273.1
A0A3M6U632	A0A3M6U632_POCDA	unreviewed	pdam_00024131	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase)	316	cytosol [GO:0005829]; aminocarboxymuconate-semialdehyde decarboxylase activity [GO:0001760]; hydrolase activity [GO:0016787]; negative regulation of quinolinate biosynthetic process [GO:1904985]	GO:0001760; GO:0005829; GO:0016787; GO:1904985	RMX49046.1
A0A3M6UF09	A0A3M6UF09_POCDA	unreviewed	pdam_00019065	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2282			RMX52094.1
A0A3M6UEL4	A0A3M6UEL4_POCDA	unreviewed	pdam_00019056	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	714	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX52102.1
A0A3M6UL45	A0A3M6UL45_POCDA	unreviewed	pdam_00018405	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	684	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX54355.1
A0A3M6UG23	A0A3M6UG23_POCDA	unreviewed	pdam_00021333	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	173	integral component of membrane [GO:0016021]	GO:0016021	RMX52592.1
A0A2B4SCC5	A0A2B4SCC5_STYPI	unreviewed	AWC38_SpisGene6942	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	303	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX28334.1
A0A3M6V281	A0A3M6V281_POCDA	unreviewed	pdam_00001101	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Cellulase domain-containing protein	411	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; organic substance metabolic process [GO:0071704]	GO:0004553; GO:0071704	RMX59909.1
A0A3M6TCQ6	A0A3M6TCQ6_POCDA	unreviewed	pdam_00013526	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2206	signal transduction [GO:0007165]	GO:0007165	RMX39186.1
A0A3M6TCZ4	A0A3M6TCZ4_POCDA	unreviewed	pdam_00013549	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	142			RMX39198.1
A0A3M6U2M1	A0A3M6U2M1_POCDA	unreviewed	pdam_00005379	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	WD_REPEATS_REGION domain-containing protein	691	integral component of membrane [GO:0016021]; sulfotransferase activity [GO:0008146]	GO:0008146; GO:0016021	RMX47933.1
A0A3M6U394	A0A3M6U394_POCDA	unreviewed	pdam_00005384	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	AB hydrolase-1 domain-containing protein	277			RMX47938.1
A0A3M6V5F6	A0A3M6V5F6_POCDA	unreviewed	pdam_00003456	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	UBX domain-containing protein	482			RMX60934.1
A0A2B4SCM0	A0A2B4SCM0_STYPI	unreviewed	pnbA AWC38_SpisGene8500	Stylophora pistillata (Smooth cauliflower coral)	Para-nitrobenzyl esterase	878	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX26839.1
A0A3M6V4U4	A0A3M6V4U4_POCDA	unreviewed	pdam_00003447	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MFS domain-containing protein (Fragment)	475	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX60879.1
A0A3M6V4X4	A0A3M6V4X4_POCDA	unreviewed	pdam_00003435	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	487	integral component of membrane [GO:0016021]	GO:0016021	RMX60919.1
A0A2B4SE65	A0A2B4SE65_STYPI	unreviewed	SPA17 AWC38_SpisGene8521	Stylophora pistillata (Smooth cauliflower coral)	Sperm surface protein Sp17	389			PFX26847.1
A0A3M6V5G5	A0A3M6V5G5_POCDA	unreviewed	pdam_00003424	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	601			RMX60944.1
A0A2B4SB99	A0A2B4SB99_STYPI	unreviewed	Lrrc63 AWC38_SpisGene9508	Stylophora pistillata (Smooth cauliflower coral)	Leucine-rich repeat-containing protein 63	651			PFX25848.1
A0A2B4SSL8	A0A2B4SSL8_STYPI	unreviewed	HELZ AWC38_SpisGene3262	Stylophora pistillata (Smooth cauliflower coral)	Putative helicase with zinc finger domain (Fragment)	1327	helicase activity [GO:0004386]; metal ion binding [GO:0046872]; transferase activity, transferring glycosyl groups [GO:0016757]	GO:0004386; GO:0016757; GO:0046872	PFX31900.1
A0A3M6TWN4	A0A3M6TWN4_POCDA	unreviewed	pdam_00023602	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	549	integral component of membrane [GO:0016021]; sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	RMX45807.1
A0A3M6UZD8	A0A3M6UZD8_POCDA	unreviewed	pdam_00023429	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1538	integral component of membrane [GO:0016021]; sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	RMX58987.1
A0A3M6UZ91	A0A3M6UZ91_POCDA	unreviewed	pdam_00023430	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	978	integral component of membrane [GO:0016021]; sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	RMX58985.1
A0A3M6TAH4	A0A3M6TAH4_POCDA	unreviewed	pdam_00010926	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2605	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; catalase activity [GO:0004096]; heme binding [GO:0020037]	GO:0004096; GO:0005509; GO:0016021; GO:0020037	RMX38298.1
A0A3M6TA43	A0A3M6TA43_POCDA	unreviewed	pdam_00010919	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	21214	integral component of membrane [GO:0016021]; cell communication [GO:0007154]	GO:0007154; GO:0016021	RMX38296.1
A0A2B4STT1	A0A2B4STT1_STYPI	unreviewed	RNF157 AWC38_SpisGene3288	Stylophora pistillata (Smooth cauliflower coral)	RING finger protein 157	975			PFX31897.1
A0A3M6V3R7	A0A3M6V3R7_POCDA	unreviewed	pdam_00001420	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	391	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; intracellular protein transport [GO:0006886]	GO:0005783; GO:0006886; GO:0016021	RMX60551.1
A0A3M6V3U6	A0A3M6V3U6_POCDA	unreviewed	pdam_00001418	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Hydrolase_4 domain-containing protein (Fragment)	301			RMX60540.1
A0A3M6V3V3	A0A3M6V3V3_POCDA	unreviewed	pdam_00001415	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial (EC 6.2.1.4) (GTP-specific succinyl-CoA synthetase subunit beta) (G-SCS) (GTPSCS) (Succinyl-CoA synthetase beta-G chain) (SCS-betaG)	459	mitochondrion [GO:0005739]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinate-CoA ligase (GDP-forming) activity [GO:0004776]; succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]	GO:0000287; GO:0004775; GO:0004776; GO:0005524; GO:0005525; GO:0005739; GO:0006099; GO:0006104	RMX60547.1
A0A3M6V3M2	A0A3M6V3M2_POCDA	unreviewed	pdam_00001395	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	354	tumor necrosis factor receptor binding [GO:0005164]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]	GO:0005164; GO:0043123	RMX60505.1
A0A3M6V464	A0A3M6V464_POCDA	unreviewed	pdam_00021124	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF3504 domain-containing protein	552			RMX60667.1
A0A2B4RXM1	A0A2B4RXM1_STYPI	unreviewed	AWC38_SpisGene13963	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	821			PFX21549.1
A0A3M6V4T4	A0A3M6V4T4_POCDA	unreviewed	pdam_00001387	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	784	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021	RMX60578.1
A0A3M6V3T3	A0A3M6V3T3_POCDA	unreviewed	pdam_00001380	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BTB domain-containing protein	481	voltage-gated potassium channel complex [GO:0008076]; voltage-gated potassium channel activity [GO:0005249]; protein homooligomerization [GO:0051260]; regulation of ion transmembrane transport [GO:0034765]	GO:0005249; GO:0008076; GO:0034765; GO:0051260	RMX60571.1
A0A3M6V3Q1	A0A3M6V3Q1_POCDA	unreviewed	pdam_00001374	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	310			RMX60531.1
A0A3M6V3U5	A0A3M6V3U5_POCDA	unreviewed	pdam_00001372	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	439			RMX60537.1
A0A2B4R4X7	A0A2B4R4X7_STYPI	unreviewed	HMCN1 AWC38_SpisGene24265	Stylophora pistillata (Smooth cauliflower coral)	Hemicentin-1 (Fragment)	1482	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; scavenger receptor activity [GO:0005044]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0004672; GO:0005044; GO:0005524; GO:0005886; GO:0007155; GO:0007411; GO:0016021	PFX11869.1
A0A2B4R7C7	A0A2B4R7C7_STYPI	unreviewed	Cad96Ca AWC38_SpisGene23271	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1048	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; scavenger receptor activity [GO:0005044]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005044; GO:0005524; GO:0016021	PFX12723.1
A0A3M6U6N6	A0A3M6U6N6_POCDA	unreviewed	pdam_00003862	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein (Fragment)	402	ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524	RMX49128.1
A0A3M6TUQ6	A0A3M6TUQ6_POCDA	unreviewed	pdam_00016501	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1124	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX45133.1
A0A2B4R893	A0A2B4R893_STYPI	unreviewed	ANKRD17 AWC38_SpisGene23599	Stylophora pistillata (Smooth cauliflower coral)	Ankyrin repeat domain-containing protein 17 (Fragment)	459			PFX12442.1
A0A2B4SDY1	A0A2B4SDY1_STYPI	unreviewed	AWC38_SpisGene8575	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	520			PFX26742.1
A0A3M6UMQ2	A0A3M6UMQ2_POCDA	unreviewed	pdam_00018672	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	14486	collagen trimer [GO:0005581]; extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; cell differentiation [GO:0030154]	GO:0004222; GO:0005509; GO:0005581; GO:0005615; GO:0008270; GO:0030154	RMX54638.1
A0A2B4RF57	A0A2B4RF57_STYPI	unreviewed	LECRKS5 AWC38_SpisGene20911	Stylophora pistillata (Smooth cauliflower coral)	Putative L-type lectin-domain containing receptor kinase S.5	829	ATP binding [GO:0005524]; carbohydrate binding [GO:0030246]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0030246	PFX14902.1
A0A3M6TRC3	A0A3M6TRC3_POCDA	unreviewed	pdam_00023748	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	550			RMX43963.1
A0A3M6UF12	A0A3M6UF12_POCDA	unreviewed	pdam_00007931	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Harbinger transposase-derived nuclease (Putative nuclease HARBI1)	320	cytoplasm [GO:0005737]; nucleus [GO:0005634]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	GO:0005634; GO:0005737; GO:0016787; GO:0046872	RMX52253.1
A0A3M6TDS4	A0A3M6TDS4_POCDA	unreviewed	pdam_00006090	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1502	integral component of membrane [GO:0016021]	GO:0016021	RMX39536.1
A0A3M6V5K2	A0A3M6V5K2_POCDA	unreviewed	pdam_00014190	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2111	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX60984.1
A0A2B4S724	A0A2B4S724_STYPI	unreviewed	AWC38_SpisGene10522	Stylophora pistillata (Smooth cauliflower coral)	DDE Tnp4 domain-containing protein	261	metal ion binding [GO:0046872]	GO:0046872	PFX24889.1
A0A2B4RS34	A0A2B4RS34_STYPI	unreviewed	Ing1 AWC38_SpisGene15150	Stylophora pistillata (Smooth cauliflower coral)	Inhibitor of growth protein 1	710	metal ion binding [GO:0046872]	GO:0046872	PFX20401.1
A0A3M6TM80	A0A3M6TM80_POCDA	unreviewed	pdam_00010884	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	338			RMX42460.1
A0A2B4RX12	A0A2B4RX12_STYPI	unreviewed	HMCN1 AWC38_SpisGene14421	Stylophora pistillata (Smooth cauliflower coral)	Hemicentin-1	4753	extracellular region [GO:0005576]; nematocyst [GO:0042151]; metalloendopeptidase activity [GO:0004222]; toxin activity [GO:0090729]; zinc ion binding [GO:0008270]	GO:0004222; GO:0005576; GO:0008270; GO:0042151; GO:0090729	PFX21100.1
A0A3M6TMA9	A0A3M6TMA9_POCDA	unreviewed	pdam_00010891	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	346			RMX42448.1
A0A2B4RWA8	A0A2B4RWA8_STYPI	unreviewed	FBXL7 AWC38_SpisGene14416	Stylophora pistillata (Smooth cauliflower coral)	F-box/LRR-repeat protein 7	1197	extracellular region [GO:0005576]; nematocyst [GO:0042151]; toxin activity [GO:0090729]	GO:0005576; GO:0042151; GO:0090729	PFX21109.1
A0A3M6TM85	A0A3M6TM85_POCDA	unreviewed	pdam_00010901	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	GED domain-containing protein	1150	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	RMX42472.1
A0A3M6TM30	A0A3M6TM30_POCDA	unreviewed	pdam_00010902	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	zf-3CxxC domain-containing protein	208			RMX42473.1
A0A2B4S1R7	A0A2B4S1R7_STYPI	unreviewed	AWC38_SpisGene11560	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	369			PFX23851.1
A0A3M6UHK0	A0A3M6UHK0_POCDA	unreviewed	pdam_00021922	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	888	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX53147.1
A0A2B4SJ27	A0A2B4SJ27_STYPI	unreviewed	kita AWC38_SpisGene6161	Stylophora pistillata (Smooth cauliflower coral)	Mast/stem cell growth factor receptor kita	1025	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524; GO:0016021	PFX29093.1
A0A2B4RJB1	A0A2B4RJB1_STYPI	unreviewed	Col5a1 AWC38_SpisGene19265	Stylophora pistillata (Smooth cauliflower coral)	Collagen alpha-1(V) chain	506	collagen trimer [GO:0005581]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005581	PFX16447.1
A0A3M6UFC8	A0A3M6UFC8_POCDA	unreviewed	pdam_00014371	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	416	calcium ion binding [GO:0005509]	GO:0005509	RMX52352.1
A0A2B4SVE9	A0A2B4SVE9_STYPI	unreviewed	K02A2.6 AWC38_SpisGene2017	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	950	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX33159.1
A0A3M6TV54	A0A3M6TV54_POCDA	unreviewed	pdam_00000736	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SH3 domain-containing protein (Fragment)	1136			RMX45303.1
A0A2B4SPX6	A0A2B4SPX6_STYPI	unreviewed	PLS3 AWC38_SpisGene4650	Stylophora pistillata (Smooth cauliflower coral)	Plastin-3	1289	actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; actin filament bundle assembly [GO:0051017]	GO:0005509; GO:0051015; GO:0051017	PFX30572.1
A0A2B4SYX2	A0A2B4SYX2_STYPI	unreviewed	MFGE8 AWC38_SpisGene1345	Stylophora pistillata (Smooth cauliflower coral)	Lactadherin	650			PFX33768.1
A0A3M6UMT6	A0A3M6UMT6_POCDA	unreviewed	pdam_00012708	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1095			RMX54950.1
A0A3M6UMU5	A0A3M6UMU5_POCDA	unreviewed	pdam_00012710	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	XPG_I_2 domain-containing protein (Fragment)	967	eukaryotic translation initiation factor 3 complex [GO:0005852]; translation initiation factor activity [GO:0003743]	GO:0003743; GO:0005852	RMX54960.1
A0A3M6UMY4	A0A3M6UMY4_POCDA	unreviewed	pdam_00012712	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	XPGN domain-containing protein	1240	nuclease activity [GO:0004518]	GO:0004518	RMX54959.1
A0A3M6TQ05	A0A3M6TQ05_POCDA	unreviewed	pdam_00001888	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	VWFA domain-containing protein	1089	integral component of membrane [GO:0016021]; calcium channel activity [GO:0005262]	GO:0005262; GO:0016021	RMX43460.1
A0A3M6TQJ7	A0A3M6TQJ7_POCDA	unreviewed	pdam_00001910	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	737			RMX43538.1
A0A2B4R620	A0A2B4R620_STYPI	unreviewed	GPR133 AWC38_SpisGene22097	Stylophora pistillata (Smooth cauliflower coral)	Putative G-protein coupled receptor 133	1130	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX13794.1
A0A3M6V194	A0A3M6V194_POCDA	unreviewed	pdam_00019007	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PSI domain-containing protein	213	integral component of membrane [GO:0016021]	GO:0016021	RMX59716.1
A0A2B4SCF6	A0A2B4SCF6_STYPI	unreviewed	cry-dash AWC38_SpisGene6955	Stylophora pistillata (Smooth cauliflower coral)	Cryptochrome DASH	970	DNA photolyase activity [GO:0003913]; DNA repair [GO:0006281]; protein-chromophore linkage [GO:0018298]	GO:0003913; GO:0006281; GO:0018298	PFX28354.1
A0A3M6V1B4	A0A3M6V1B4_POCDA	unreviewed	pdam_00019011	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C-type lectin domain-containing protein (Fragment)	192			RMX59733.1
A0A3M6V1E0	A0A3M6V1E0_POCDA	unreviewed	pdam_00019016	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein (Fragment)	157			RMX59732.1
A0A3M6UL34	A0A3M6UL34_POCDA	unreviewed	pdam_00021387	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	355			RMX54376.1
A0A3M6ULD1	A0A3M6ULD1_POCDA	unreviewed	pdam_00021390	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	322			RMX54379.1
A0A3M6UII3	A0A3M6UII3_POCDA	unreviewed	pdam_00023084	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	584	metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259; GO:0046872	RMX53344.1
A0A3M6UI57	A0A3M6UI57_POCDA	unreviewed	pdam_00023086	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ATP-binding domain-containing protein 4 (EC 6.3.1.14) (Diphthamide synthase) (Diphthamide synthetase) (Diphthine--ammonia ligase) (Protein DPH6 homolog)	703	diphthine-ammonia ligase activity [GO:0017178]; peptidyl-diphthamide biosynthetic process from peptidyl-histidine [GO:0017183]	GO:0017178; GO:0017183	RMX53342.1
A0A3M6UI58	A0A3M6UI58_POCDA	unreviewed	pdam_00023087	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ESCRT-II complex subunit VPS25 (Vacuolar protein-sorting-associated protein 25)	184	ESCRT II complex [GO:0000814]; multivesicular body sorting pathway [GO:0071985]; protein transport [GO:0015031]	GO:0000814; GO:0015031; GO:0071985	RMX53341.1
A0A3M6UNX8	A0A3M6UNX8_POCDA	unreviewed	pdam_00019111	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Homeobox domain-containing protein	250	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	GO:0000981; GO:0003677; GO:0005634	RMX55331.1
A0A3M6UBL7	A0A3M6UBL7_POCDA	unreviewed	pdam_00018895	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2021	carbohydrate binding [GO:0030246]	GO:0030246	RMX51060.1
A0A5H2QI57	A0A5H2QI57_POCDA	unreviewed		Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Galectin	293	carbohydrate binding [GO:0030246]	GO:0030246	AYP71850.1
A0A3M6UC11	A0A3M6UC11_POCDA	unreviewed	pdam_00018899	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	383	phospholipase A2 activity [GO:0004623]; arachidonic acid secretion [GO:0050482]; phospholipid metabolic process [GO:0006644]	GO:0004623; GO:0006644; GO:0050482	RMX51064.1
A0A3M6V248	A0A3M6V248_POCDA	unreviewed	pdam_00025580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CHAT domain-containing protein (Fragment)	547			RMX60005.1
