Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M2021102092C7BAECDB1C5C413EE0E0348724B6822441B97
A0A2B4S6T8	A0A2B4S6T8_STYPI	unreviewed	diexf AWC38_SpisGene8951	Stylophora pistillata (Smooth cauliflower coral)	Digestive organ expansion factor	1110	nucleus [GO:0005634]	GO:0005634	PFX26374.1
A0A3M6T859	A0A3M6T859_POCDA	unreviewed	pdam_00012840	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	KH type-2 domain-containing protein	286	small ribosomal subunit [GO:0015935]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003723; GO:0003735; GO:0006412; GO:0015935	RMX37499.1
A0A2B4RYG4	A0A2B4RYG4_STYPI	unreviewed	AWC38_SpisGene12840	Stylophora pistillata (Smooth cauliflower coral)	Pept_C1 domain-containing protein	1244	cysteine-type peptidase activity [GO:0008234]	GO:0008234	PFX22671.1
A0A3M6T7V9	A0A3M6T7V9_POCDA	unreviewed	pdam_00012837	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1182			RMX37487.1
A0A3M6T817	A0A3M6T817_POCDA	unreviewed	pdam_00012827	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	427	integral component of membrane [GO:0016021]; methyltransferase activity [GO:0008168]	GO:0008168; GO:0016021	RMX37512.1
A0A3M6U6T2	A0A3M6U6T2_POCDA	unreviewed	pdam_00022307	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	733			RMX49402.1
A0A2B4S3S6	A0A2B4S3S6_STYPI	unreviewed	AWC38_SpisGene11748	Stylophora pistillata (Smooth cauliflower coral)	SGNH_hydro domain-containing protein	288			PFX23703.1
A0A3M6V118	A0A3M6V118_POCDA	unreviewed	pdam_00010505	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	VWFC domain-containing protein	217	integral component of membrane [GO:0016021]	GO:0016021	RMX59646.1
A0A3M6UYK0	A0A3M6UYK0_POCDA	unreviewed	pdam_00024470	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1267	centriole [GO:0005814]; tubulin binding [GO:0015631]; cell division [GO:0051301]; regulation of centriole replication [GO:0046599]	GO:0005814; GO:0015631; GO:0046599; GO:0051301	RMX58786.1
A0A2B4RY63	A0A2B4RY63_STYPI	unreviewed	GPR133 AWC38_SpisGene13764	Stylophora pistillata (Smooth cauliflower coral)	Putative G-protein coupled receptor 133	1087	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	PFX21739.1
A0A3M6TKM0	A0A3M6TKM0_POCDA	unreviewed	pdam_00006648	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment)	331	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX41945.1
A0A3M6TKL7	A0A3M6TKL7_POCDA	unreviewed	pdam_00006661	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	129			RMX41932.1
A0A3M6TL11	A0A3M6TL11_POCDA	unreviewed	pdam_00006667	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	100	integral component of membrane [GO:0016021]	GO:0016021	RMX41934.1
A0A3M6TKJ6	A0A3M6TKJ6_POCDA	unreviewed	pdam_00006673	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	398	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX41889.1
A0A2B4R6M8	A0A2B4R6M8_STYPI	unreviewed	AWC38_SpisGene23950	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	595			PFX12140.1
A0A2B4R5K8	A0A2B4R5K8_STYPI	unreviewed	RTase AWC38_SpisGene24653	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	365	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX11565.1
A0A2B4T1N6	A0A2B4T1N6_STYPI	unreviewed	RTase AWC38_SpisGene389	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	696	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX34702.1
A0A3M6TZR6	A0A3M6TZR6_POCDA	unreviewed	pdam_00020745	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein-tyrosine-phosphatase (EC 3.1.3.48)	2334	integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0016021	RMX46882.1
A0A3M6V405	A0A3M6V405_POCDA	unreviewed	pdam_00014527	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	HMG box domain-containing protein	1618			RMX60693.1
A0A2B4RG52	A0A2B4RG52_STYPI	unreviewed	AWC38_SpisGene20436	Stylophora pistillata (Smooth cauliflower coral)	Apple domain-containing protein	820			PFX15348.1
A0A3M6TRK2	A0A3M6TRK2_POCDA	unreviewed	pdam_00011303	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DAC domain-containing protein	611			RMX43894.1
A0A3M6U8J9	A0A3M6U8J9_POCDA	unreviewed	pdam_00018378	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	628			RMX49869.1
A0A2B4SI37	A0A2B4SI37_STYPI	unreviewed	AWC38_SpisGene7055	Stylophora pistillata (Smooth cauliflower coral)	SHSP domain-containing protein	207			PFX28238.1
A0A3M6UTG8	A0A3M6UTG8_POCDA	unreviewed	pdam_00002352	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	287	integral component of membrane [GO:0016021]	GO:0016021	RMX56618.1
A0A2B4RJK9	A0A2B4RJK9_STYPI	unreviewed	Ret AWC38_SpisGene18699	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	895	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX17003.1
A0A3M6V1X2	A0A3M6V1X2_POCDA	unreviewed	pdam_00001125	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	233	endoplasmic reticulum [GO:0005783]; protein folding [GO:0006457]	GO:0005783; GO:0006457	RMX59931.1
A0A2B4RMD8	A0A2B4RMD8_STYPI	unreviewed	PGBD5 AWC38_SpisGene17296	Stylophora pistillata (Smooth cauliflower coral)	PiggyBac transposable element-derived protein 5	575			PFX18336.1
A0A3M6TPE2	A0A3M6TPE2_POCDA	unreviewed	pdam_00018551	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	320	oxidoreductase activity [GO:0016491]	GO:0016491	RMX43272.1
A0A3M6TPK7	A0A3M6TPK7_POCDA	unreviewed	pdam_00018558	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CDT1 domain-containing protein	745	cell cycle [GO:0007049]	GO:0007049	RMX43271.1
A0A3M6T640	A0A3M6T640_POCDA	unreviewed	pdam_00008992	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1022	integral component of membrane [GO:0016021]	GO:0016021	RMX36769.1
A0A3M6T5X4	A0A3M6T5X4_POCDA	unreviewed	pdam_00008990	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	148			RMX36771.1
A0A3M6V0X9	A0A3M6V0X9_POCDA	unreviewed	pdam_00003659	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1135	centriole [GO:0005814]; synapse [GO:0045202]; chemical synaptic transmission [GO:0007268]; cilium assembly [GO:0060271]; mitochondrion organization [GO:0007005]	GO:0005814; GO:0007005; GO:0007268; GO:0045202; GO:0060271	RMX59540.1
A0A3M6V0V2	A0A3M6V0V2_POCDA	unreviewed	pdam_00003660	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	893	hydrolase activity [GO:0016787]; nucleotide catabolic process [GO:0009166]	GO:0009166; GO:0016787	RMX59555.1
A0A3M6TW66	A0A3M6TW66_POCDA	unreviewed	pdam_00010603	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2052	calcium ion binding [GO:0005509]	GO:0005509	RMX45626.1
A0A3M6TW64	A0A3M6TW64_POCDA	unreviewed	pdam_00010605	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1159			RMX45632.1
A0A3M6TW29	A0A3M6TW29_POCDA	unreviewed	pdam_00010614	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	E3 ubiquitin-protein ligase (EC 2.3.2.27)	1848	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]	GO:0008270; GO:0061630; GO:0071596	RMX45615.1
A0A3M6UAS3	A0A3M6UAS3_POCDA	unreviewed	pdam_00017962	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C-type lectin domain-containing protein	400			RMX50755.1
A0A3M6V541	A0A3M6V541_POCDA	unreviewed	pdam_00014532	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	382	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; sensory perception of taste [GO:0050909]	GO:0005886; GO:0016021; GO:0050909	RMX60688.1
A0A3M6UX08	A0A3M6UX08_POCDA	unreviewed	pdam_00023940	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	709			RMX57858.1
A0A2B4RJS1	A0A2B4RJS1_STYPI	unreviewed	Edil3 AWC38_SpisGene19247	Stylophora pistillata (Smooth cauliflower coral)	EGF-like repeat and discoidin I-like domain-containing protein 3 (Fragment)	1113	calcium ion binding [GO:0005509]	GO:0005509	PFX16482.1
A0A3M6UL05	A0A3M6UL05_POCDA	unreviewed	pdam_00018400	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	574	calcium ion binding [GO:0005509]	GO:0005509	RMX54353.1
A0A3M6V2Y6	A0A3M6V2Y6_POCDA	unreviewed	pdam_00023836	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	240			RMX60306.1
A0A2B4RD66	A0A2B4RD66_STYPI	unreviewed	AWC38_SpisGene19436	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	724			PFX16304.1
A0A432I1X6	A0A432I1X6_9GAMM	unreviewed	DSY43_06820	Gammaproteobacteria bacterium	C2H2-type domain-containing protein	968			RUA04226.1
A0A3M6TPS5	A0A3M6TPS5_POCDA	unreviewed	pdam_00020482	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	819	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX43349.1
A0A3M6TPT2	A0A3M6TPT2_POCDA	unreviewed	pdam_00020485	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	473			RMX43356.1
A0A3M6V1F6	A0A3M6V1F6_POCDA	unreviewed	pdam_00015340	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	338	bioluminescence [GO:0008218]	GO:0008218	RMX59755.1
A0A2B4RED5	A0A2B4RED5_STYPI	unreviewed	FBN1 AWC38_SpisGene20594	Stylophora pistillata (Smooth cauliflower coral)	Fibrillin-1	505	calcium ion binding [GO:0005509]	GO:0005509	PFX15193.1
A0A2B4SCA1	A0A2B4SCA1_STYPI	unreviewed	CCDC180 AWC38_SpisGene9125	Stylophora pistillata (Smooth cauliflower coral)	Coiled-coil domain-containing protein 180	1848	nucleic acid binding [GO:0003676]	GO:0003676	PFX26207.1
A0A3M6V054	A0A3M6V054_POCDA	unreviewed	pdam_00011914	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	78			RMX59321.1
A0A3M6TPS1	A0A3M6TPS1_POCDA	unreviewed	pdam_00016083	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	249			RMX43370.1
A0A3M6TPM1	A0A3M6TPM1_POCDA	unreviewed	pdam_00016087	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ZnMc domain-containing protein (Fragment)	293	extracellular matrix [GO:0031012]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270; GO:0031012	RMX43367.1
A0A3M6TPP5	A0A3M6TPP5_POCDA	unreviewed	pdam_00016088	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	641	extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; nematocyst [GO:0042151]; metalloendopeptidase activity [GO:0004222]; toxin activity [GO:0090729]; zinc ion binding [GO:0008270]	GO:0004222; GO:0005576; GO:0008270; GO:0031012; GO:0042151; GO:0090729	RMX43373.1
A0A2B4SII3	A0A2B4SII3_STYPI	unreviewed	AWC38_SpisGene5577	Stylophora pistillata (Smooth cauliflower coral)	Chymotrypsinogen B	1254	serine-type endopeptidase activity [GO:0004252]	GO:0004252	PFX29691.1
A0A2B4RFT1	A0A2B4RFT1_STYPI	unreviewed	Cad96Ca AWC38_SpisGene18468	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1458	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX17224.1
A0A2B4STA4	A0A2B4STA4_STYPI	unreviewed	POGK AWC38_SpisGene3406	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	245	nucleic acid binding [GO:0003676]	GO:0003676	PFX31792.1
A0A2B4R737	A0A2B4R737_STYPI	unreviewed	ING5 AWC38_SpisGene24011	Stylophora pistillata (Smooth cauliflower coral)	Inhibitor of growth protein 5	1181	cysteine-type peptidase activity [GO:0008234]; metal ion binding [GO:0046872]	GO:0008234; GO:0046872	PFX12085.1
A0A2B4R595	A0A2B4R595_STYPI	unreviewed	AWC38_SpisGene24670 AWC38_SpisGene24672	Stylophora pistillata (Smooth cauliflower coral)	THAP-type domain-containing protein	515	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872	PFX11548.1
A0A2B4RTE7	A0A2B4RTE7_STYPI	unreviewed	AWC38_SpisGene16046	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	186			PFX19525.1
A0A3M6TZE7	A0A3M6TZE7_POCDA	unreviewed	pdam_00012422	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Replication termination factor 2 (Replication termination factor 2 domain-containing protein 1)	308	nucleus [GO:0005634]; mitotic DNA replication termination [GO:1902979]	GO:0005634; GO:1902979	RMX46638.1
A0A2B4SGG3	A0A2B4SGG3_STYPI	unreviewed	Fam160b2 AWC38_SpisGene6854	Stylophora pistillata (Smooth cauliflower coral)	Protein FAM160B2	864			PFX28446.1
A0A2B4SIQ5	A0A2B4SIQ5_STYPI	unreviewed	XPO7 AWC38_SpisGene6852	Stylophora pistillata (Smooth cauliflower coral)	Exportin-7	943	cytoplasm [GO:0005737]; nucleus [GO:0005634]; nuclear export signal receptor activity [GO:0005049]; small GTPase binding [GO:0031267]; intracellular protein transport [GO:0006886]	GO:0005049; GO:0005634; GO:0005737; GO:0006886; GO:0031267	PFX28448.1
A0A3M6TYX5	A0A3M6TYX5_POCDA	unreviewed	pdam_00012409	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	663			RMX46645.1
A0A3M6U6K9	A0A3M6U6K9_POCDA	unreviewed	pdam_00005842	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	581	calcium ion binding [GO:0005509]	GO:0005509	RMX49189.1
A0A3M6U6F2	A0A3M6U6F2_POCDA	unreviewed	pdam_00005846	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ubiquitin-related modifier 1 homolog	123	cytosol [GO:0005829]; protein urmylation [GO:0032447]; tRNA thio-modification [GO:0034227]; tRNA wobble uridine modification [GO:0002098]	GO:0002098; GO:0005829; GO:0032447; GO:0034227	RMX49191.1
A0A3M6U695	A0A3M6U695_POCDA	unreviewed	pdam_00005849	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Transcriptional adapter 1 (Transcriptional adapter 1-like protein)	480	SAGA-type complex [GO:0070461]	GO:0070461	RMX49212.1
A0A2B4SA03	A0A2B4SA03_STYPI	unreviewed	SLC27A4 AWC38_SpisGene9112	Stylophora pistillata (Smooth cauliflower coral)	Long-chain fatty acid transport protein 4	1706	integral component of membrane [GO:0016021]	GO:0016021	PFX26216.1
A0A3M6U6A4	A0A3M6U6A4_POCDA	unreviewed	pdam_00005861	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1317	integral component of membrane [GO:0016021]	GO:0016021	RMX49195.1
A0A3M6U6G0	A0A3M6U6G0_POCDA	unreviewed	pdam_00005863	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	660	zinc ion binding [GO:0008270]	GO:0008270	RMX49197.1
A0A3M6U0M7	A0A3M6U0M7_POCDA	unreviewed	pdam_00021935	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DED domain-containing protein	256	regulation of apoptotic process [GO:0042981]	GO:0042981	RMX47213.1
A0A2B4SFL2	A0A2B4SFL2_STYPI	unreviewed	AWC38_SpisGene7404	Stylophora pistillata (Smooth cauliflower coral)	DED domain-containing protein	287	regulation of apoptotic process [GO:0042981]	GO:0042981	PFX27843.1
A0A3M6U0J2	A0A3M6U0J2_POCDA	unreviewed	pdam_00021937	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DED domain-containing protein	278	regulation of apoptotic process [GO:0042981]	GO:0042981	RMX47215.1
A0A3M6UTV1	A0A3M6UTV1_POCDA	unreviewed	pdam_00008199	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1229	integral component of membrane [GO:0016021]	GO:0016021	RMX57123.1
A0A2B4RUH5	A0A2B4RUH5_STYPI	unreviewed	TNFRSF19 AWC38_SpisGene15583	Stylophora pistillata (Smooth cauliflower coral)	Tumor necrosis factor receptor superfamily member 19	832	integral component of membrane [GO:0016021]	GO:0016021	PFX19997.1
A0A2B4RA27	A0A2B4RA27_STYPI	unreviewed	AWC38_SpisGene20593	Stylophora pistillata (Smooth cauliflower coral)	Putative serine/threonine-protein kinase	582	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	PFX15194.1
A0A3M6TN03	A0A3M6TN03_POCDA	unreviewed	pdam_00021839	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Nkap_C domain-containing protein	340	chromatin binding [GO:0003682]	GO:0003682	RMX42795.1
A0A3M6TN34	A0A3M6TN34_POCDA	unreviewed	pdam_00021840	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	294			RMX42797.1
A0A3M6TED4	A0A3M6TED4_POCDA	unreviewed	pdam_00023605	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	1057	transferase activity, transferring glycosyl groups [GO:0016757]; signal transduction [GO:0007165]	GO:0007165; GO:0016757	RMX39669.1
A0A3M6TRG1	A0A3M6TRG1_POCDA	unreviewed	pdam_00024909	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1205	transferase activity, transferring glycosyl groups [GO:0016757]; signal transduction [GO:0007165]	GO:0007165; GO:0016757	RMX43858.1
