Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110205BF3C56A578D7D6DFD1FC81EE5DA77302441883
A0A2B4SPZ2	A0A2B4SPZ2_STYPI	unreviewed	Hsd3b2 AWC38_SpisGene3715	Stylophora pistillata (Smooth cauliflower coral)	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2	970	integral component of membrane [GO:0016021]; 3-beta-hydroxy-delta5-steroid dehydrogenase activity [GO:0003854]; isomerase activity [GO:0016853]; steroid biosynthetic process [GO:0006694]	GO:0003854; GO:0006694; GO:0016021; GO:0016853	PFX31436.1
A0A3M6TS93	A0A3M6TS93_POCDA	unreviewed	pdam_00005304	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ABC transporter domain-containing protein	1441	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; hydrolase activity [GO:0016787]	GO:0005524; GO:0016021; GO:0016787; GO:0042626	RMX44211.1
A0A3M6TRZ4	A0A3M6TRZ4_POCDA	unreviewed	pdam_00005302	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2034			RMX44217.1
A0A3M6TS70	A0A3M6TS70_POCDA	unreviewed	pdam_00005298	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ABC transporter domain-containing protein	1377	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	GO:0005524; GO:0016021; GO:0016787	RMX44235.1
A0A3M6TS66	A0A3M6TS66_POCDA	unreviewed	pdam_00005295	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Hexosyltransferase (EC 2.4.1.-)	620	Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; acetylgalactosaminyltransferase activity [GO:0008376]	GO:0008376; GO:0016021; GO:0032580	RMX44230.1
A0A3M6TS59	A0A3M6TS59_POCDA	unreviewed	pdam_00005293	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Spc7 domain-containing protein	1765	attachment of spindle microtubules to kinetochore [GO:0008608]; protein localization to kinetochore [GO:0034501]	GO:0008608; GO:0034501	RMX44232.1
A0A3M6TSB4	A0A3M6TSB4_POCDA	unreviewed	pdam_00005277	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	796	condensed chromosome kinetochore [GO:0000777]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; cell division [GO:0051301]; mitotic cell cycle [GO:0000278]	GO:0000278; GO:0000777; GO:0005634; GO:0005737; GO:0051301	RMX44226.1
A0A3M6TS29	A0A3M6TS29_POCDA	unreviewed	pdam_00005274	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SH3 domain-containing protein	1280	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]	GO:0005216; GO:0016021	RMX44223.1
A0A3M6TRY6	A0A3M6TRY6_POCDA	unreviewed	pdam_00023855	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	264			RMX44207.1
A0A3M6TGC2	A0A3M6TGC2_POCDA	unreviewed	pdam_00009468	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2278			RMX40443.1
A0A3M6TG99	A0A3M6TG99_POCDA	unreviewed	pdam_00009459	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	72	transcription factor TFIIH core complex [GO:0000439]; nucleotide-excision repair [GO:0006289]; transcription initiation from RNA polymerase II promoter [GO:0006367]	GO:0000439; GO:0006289; GO:0006367	RMX40425.1
A0A3M6TGK3	A0A3M6TGK3_POCDA	unreviewed	pdam_00009457	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	H/ACA ribonucleoprotein complex non-core subunit NAF1	707	nucleus [GO:0005634]; sno(s)RNA-containing ribonucleoprotein complex [GO:0005732]; RNA binding [GO:0003723]; box H/ACA snoRNP assembly [GO:0000493]; pseudouridine synthesis [GO:0001522]; rRNA processing [GO:0006364]	GO:0000493; GO:0001522; GO:0003723; GO:0005634; GO:0005732; GO:0006364	RMX40429.1
A0A2B4SWH4	A0A2B4SWH4_STYPI	unreviewed	MAFK AWC38_SpisGene2278	Stylophora pistillata (Smooth cauliflower coral)	Aminoacyl-tRNA hydrolase (EC 3.1.1.29)	356	aminoacyl-tRNA hydrolase activity [GO:0004045]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0004045	PFX32888.1
A0A3M6TGF8	A0A3M6TGF8_POCDA	unreviewed	pdam_00009437	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	433	nucleolus [GO:0005730]	GO:0005730	RMX40450.1
A0A2B4RVU9	A0A2B4RVU9_STYPI	unreviewed	AWC38_SpisGene15091	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	591			PFX20457.1
A0A3M6TTE6	A0A3M6TTE6_POCDA	unreviewed	pdam_00002741	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Metalloendopeptidase (EC 3.4.24.-)	471	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270	RMX44568.1
A0A3M6TTB5	A0A3M6TTB5_POCDA	unreviewed	pdam_00002756	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Carboxypeptidase Q (Plasma glutamate carboxypeptidase)	476	endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; lysosome [GO:0005764]; metallodipeptidase activity [GO:0070573]	GO:0005576; GO:0005764; GO:0005783; GO:0005794; GO:0070573	RMX44643.1
A0A3M6TTF2	A0A3M6TTF2_POCDA	unreviewed	pdam_00002763	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	251	integral component of membrane [GO:0016021]; apoptotic process [GO:0006915]; regulation of apoptotic process [GO:0042981]	GO:0006915; GO:0016021; GO:0042981	RMX44599.1
A0A2B4SGA6	A0A2B4SGA6_STYPI	unreviewed	chonabc AWC38_SpisGene7207	Stylophora pistillata (Smooth cauliflower coral)	Chondroitin sulfate ABC exolyase	3421	extracellular region [GO:0005576]; carbohydrate binding [GO:0030246]; chondroitin ABC lyase activity [GO:0047486]; carbohydrate metabolic process [GO:0005975]; glycosaminoglycan catabolic process [GO:0006027]	GO:0005576; GO:0005975; GO:0006027; GO:0030246; GO:0047486	PFX28093.1
A0A3M6TTE2	A0A3M6TTE2_POCDA	unreviewed	pdam_00002781	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	VWFA domain-containing protein	748			RMX44626.1
A0A2B4SHM5	A0A2B4SHM5_STYPI	unreviewed	TIGAR AWC38_SpisGene7198	Stylophora pistillata (Smooth cauliflower coral)	Fructose-2,6-bisphosphatase TIGAR	518	catalytic activity [GO:0003824]	GO:0003824	PFX28078.1
